;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
78;RuleOfFourFilter;59.4958;6.9502;111.6818
76;PfizerFilter;59.4958;0.3982;100.6692
58;BeyondRo5Filter;59.4958;0.0;100.0
75;PAINSFilter;59.4958;0.0;100.0
71;MolecularWeightFilter;59.4958;0.0;100.0
59;BMSFilter;59.4958;-0.8523;98.5675
73;NIHFilter;59.4958;-0.8523;98.5675
72;NIBRFilter;59.4958;-1.5301;97.4283
68;LINTFilter;59.4958;-1.7045;97.135
67;InpharmaticaFilter;59.4958;-2.2302;96.2515
79;RuleOfVeberFilter;59.4958;-2.6597;95.5296
80;RuleOfXuFilter;59.4958;-2.9818;94.9882
60;BrenkFilter;59.4958;-3.2324;94.5671
69;LipinskiFilter;59.4958;-3.6283;93.9016
64;GlaxoFilter;59.4958;-3.8878;93.4654
81;SureChEMBLFilter;59.4958;-4.9593;91.6645
84;ValenceDiscoveryFilter;59.4958;-6.9435;88.3295
82;TiceHerbicidesFilter;59.4958;-6.9636;88.2957
85;ZINCBasicFilter;59.4958;-7.1671;87.9535
70;MLSMRFilter;59.4958;-7.2029;87.8934
66;HaoFilter;59.4958;-7.7264;87.0136
86;ZINCDruglikeFilter;59.4958;-7.8606;86.788
77;REOSFilter;59.4958;-8.0597;86.4534
83;TiceInsecticidesFilter;59.4958;-8.4288;85.833
61;FAF4DruglikeFilter;59.4958;-8.4489;85.7992
74;OpreaFilter;59.4958;-9.0171;84.8442
63;GhoseFilter;59.4958;-9.6054;83.8553
65;GSKFilter;59.4958;-9.6054;83.8553
62;FAF4LeadlikeFilter;59.4958;-10.1087;83.0094
