;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
80;PfizerFilter;53.7001;14.746;127.4598
82;RuleOfFourFilter;53.7001;1.243;102.3148
75;MolecularWeightFilter;53.7001;0.0;100.0
62;BeyondRo5Filter;53.7001;-0.8371;98.4411
72;LINTFilter;53.7001;-0.9459;98.2386
79;PAINSFilter;53.7001;-1.4858;97.2331
90;ValenceDiscoveryFilter;53.7001;-1.8482;96.5582
91;ZINCBasicFilter;53.7001;-2.1599;95.9779
73;LipinskiFilter;53.7001;-2.2324;95.8429
76;NIBRFilter;53.7001;-2.3773;95.573
65;FAF4DruglikeFilter;53.7001;-2.3773;95.573
71;InpharmaticaFilter;53.7001;-2.4607;95.4177
69;GSKFilter;53.7001;-2.6056;95.1478
85;RuleOfVeberFilter;53.7001;-2.6056;95.1478
63;BMSFilter;53.7001;-2.8339;94.7226
77;NIHFilter;53.7001;-2.8339;94.7226
88;TiceHerbicidesFilter;53.7001;-2.8339;94.7226
81;REOSFilter;53.7001;-2.8702;94.6551
92;ZINCDruglikeFilter;53.7001;-2.9064;94.5877
87;SureChEMBLFilter;53.7001;-3.1094;94.2097
74;MLSMRFilter;53.7001;-3.171;94.095
70;HaoFilter;53.7001;-3.171;94.095
67;GhoseFilter;53.7001;-3.171;94.095
68;GlaxoFilter;53.7001;-3.2906;93.8723
86;RuleOfXuFilter;53.7001;-3.363;93.7373
66;FAF4LeadlikeFilter;53.7001;-3.4355;93.6024
78;OpreaFilter;53.7001;-3.4355;93.6024
89;TiceInsecticidesFilter;53.7001;-3.4355;93.6024
84;RuleOfTwoFilter;53.7001;-3.7001;93.1097
83;RuleOfThreeFilter;53.7001;-3.7001;93.1097
64;BrenkFilter;53.7001;-3.8559;92.8195
