;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
921;"BeyondRo5Filter;PfizerFilter";53.7001;15.6314;129.1087
1216;"MolecularWeightFilter;PfizerFilter";53.7001;15.2908;128.4744
1273;"PAINSFilter;PfizerFilter";53.7001;14.6916;127.3586
1232;"NIBRFilter;PfizerFilter";53.7001;12.9207;124.0608
1290;"PfizerFilter;SureChEMBLFilter";53.7001;12.7491;123.7414
1294;"PfizerFilter;ZINCBasicFilter";53.7001;11.4506;121.3232
978;"BrenkFilter;PfizerFilter";53.7001;11.3153;121.0712
1181;"LipinskiFilter;PfizerFilter";53.7001;10.7342;119.9892
1289;"PfizerFilter;RuleOfXuFilter";53.7001;9.7956;118.2413
1142;"InpharmaticaFilter;PfizerFilter";53.7001;9.5383;117.7622
1055;"GhoseFilter;PfizerFilter";53.7001;9.339;117.391
1101;"GSKFilter;PfizerFilter";53.7001;7.585;114.1247
1164;"LINTFilter;RuleOfFourFilter";53.7001;6.958;112.9572
1293;"PfizerFilter;ValenceDiscoveryFilter";53.7001;6.621;112.3296
1078;"GlaxoFilter;PfizerFilter";53.7001;5.6607;110.5412
1291;"PfizerFilter;TiceHerbicidesFilter";53.7001;5.4287;110.1093
1162;"LINTFilter;PfizerFilter";53.7001;5.3671;109.9946
1247;"NIHFilter;PfizerFilter";53.7001;4.7945;108.9283
950;"BMSFilter;PfizerFilter";53.7001;4.7945;108.9283
1288;"PfizerFilter;RuleOfVeberFilter";53.7001;4.3959;108.186
1295;"PfizerFilter;ZINCDruglikeFilter";53.7001;4.3705;108.1388
1286;"PfizerFilter;REOSFilter";53.7001;4.2401;107.8958
1122;"HaoFilter;PfizerFilter";53.7001;3.5406;106.5933
1005;"FAF4DruglikeFilter;PfizerFilter";53.7001;3.5298;106.5731
1249;"NIHFilter;RuleOfFourFilter";53.7001;3.2036;105.9657
952;"BMSFilter;RuleOfFourFilter";53.7001;3.2036;105.9657
1080;"GlaxoFilter;RuleOfFourFilter";53.7001;2.4099;104.4878
1234;"NIBRFilter;RuleOfFourFilter";53.7001;1.5801;102.9424
1307;"RuleOfFourFilter;SureChEMBLFilter";53.7001;1.0147;101.8896
923;"BeyondRo5Filter;RuleOfFourFilter";53.7001;0.9422;101.7546
1218;"MolecularWeightFilter;RuleOfFourFilter";53.7001;0.1486;100.2767
1031;"FAF4LeadlikeFilter;PfizerFilter";53.7001;-0.2609;99.5141
1144;"InpharmaticaFilter;RuleOfFourFilter";53.7001;-0.6451;98.7988
1275;"PAINSFilter;RuleOfFourFilter";53.7001;-0.7538;98.5963
980;"BrenkFilter;RuleOfFourFilter";53.7001;-0.79;98.5288
916;"BeyondRo5Filter;MolecularWeightFilter";53.7001;-0.8371;98.4411
1261;"OpreaFilter;PfizerFilter";53.7001;-0.8915;98.3399
1292;"PfizerFilter;TiceInsecticidesFilter";53.7001;-0.9205;98.2859
1157;"LINTFilter;MolecularWeightFilter";53.7001;-0.9459;98.2386
1161;"LINTFilter;PAINSFilter";53.7001;-1.2104;97.746
1215;"MolecularWeightFilter;PAINSFilter";53.7001;-1.4858;97.2331
1093;"GSKFilter;LINTFilter";53.7001;-1.5837;97.0509
920;"BeyondRo5Filter;PAINSFilter";53.7001;-1.7033;96.8282
1284;"PAINSFilter;ZINCBasicFilter";53.7001;-1.7033;96.8282
1180;"LipinskiFilter;PAINSFilter";53.7001;-1.7757;96.6932
1172;"LINTFilter;ValenceDiscoveryFilter";53.7001;-1.812;96.6257
1338;"RuleOfXuFilter;ValenceDiscoveryFilter";53.7001;-1.812;96.6257
1110;"GSKFilter;ValenceDiscoveryFilter";53.7001;-1.8482;96.5582
931;"BeyondRo5Filter;ValenceDiscoveryFilter";53.7001;-1.8482;96.5582
1191;"LipinskiFilter;ValenceDiscoveryFilter";53.7001;-1.8482;96.5582
1226;"MolecularWeightFilter;ValenceDiscoveryFilter";53.7001;-1.8482;96.5582
1283;"PAINSFilter;ValenceDiscoveryFilter";53.7001;-1.8482;96.5582
914;"BeyondRo5Filter;LipinskiFilter";53.7001;-2.0403;96.2006
1347;"TiceHerbicidesFilter;ValenceDiscoveryFilter";53.7001;-2.0765;96.1331
1201;"MLSMRFilter;RuleOfFourFilter";53.7001;-2.1128;96.0656
1353;"ValenceDiscoveryFilter;ZINCBasicFilter";53.7001;-2.1128;96.0656
1298;"REOSFilter;RuleOfXuFilter";53.7001;-2.1128;96.0656
967;"BrenkFilter;GSKFilter";53.7001;-2.1128;96.0656
1102;"GSKFilter;REOSFilter";53.7001;-2.1128;96.0656
1227;"MolecularWeightFilter;ZINCBasicFilter";53.7001;-2.1599;95.9779
1176;"LipinskiFilter;MolecularWeightFilter";53.7001;-2.2324;95.8429
1149;"InpharmaticaFilter;SureChEMBLFilter";53.7001;-2.2324;95.8429
1169;"LINTFilter;SureChEMBLFilter";53.7001;-2.2686;95.7754
1153;"InpharmaticaFilter;ZINCBasicFilter";53.7001;-2.3048;95.7079
1112;"GSKFilter;ZINCDruglikeFilter";53.7001;-2.3411;95.6404
1302;"REOSFilter;ValenceDiscoveryFilter";53.7001;-2.3411;95.6404
913;"BeyondRo5Filter;LINTFilter";53.7001;-2.3411;95.6404
1000;"FAF4DruglikeFilter;MolecularWeightFilter";53.7001;-2.3773;95.573
1004;"FAF4DruglikeFilter;PAINSFilter";53.7001;-2.3773;95.573
