;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
64;BrenkFilter;50.0;10.0;120.0
76;NIBRFilter;50.0;10.0;120.0
89;TiceInsecticidesFilter;50.0;6.6667;113.3333
81;REOSFilter;50.0;6.6667;113.3333
72;LINTFilter;50.0;6.6667;113.3333
77;NIHFilter;50.0;6.6667;113.3333
63;BMSFilter;50.0;6.6667;113.3333
90;ValenceDiscoveryFilter;50.0;6.6667;113.3333
85;RuleOfVeberFilter;50.0;6.4887;112.9775
65;FAF4DruglikeFilter;50.0;6.3108;112.6216
68;GlaxoFilter;50.0;3.3333;106.6667
70;HaoFilter;50.0;3.3333;106.6667
71;InpharmaticaFilter;50.0;3.3333;106.6667
67;GhoseFilter;50.0;3.3333;106.6667
73;LipinskiFilter;50.0;3.3333;106.6667
74;MLSMRFilter;50.0;3.3333;106.6667
88;TiceHerbicidesFilter;50.0;3.3333;106.6667
87;SureChEMBLFilter;50.0;3.3333;106.6667
86;RuleOfXuFilter;50.0;3.3333;106.6667
82;RuleOfFourFilter;50.0;3.1554;106.3108
66;FAF4LeadlikeFilter;50.0;2.4437;104.8873
84;RuleOfTwoFilter;50.0;0.0;100.0
80;PfizerFilter;50.0;0.0;100.0
83;RuleOfThreeFilter;50.0;0.0;100.0
69;GSKFilter;50.0;0.0;100.0
79;PAINSFilter;50.0;0.0;100.0
78;OpreaFilter;50.0;0.0;100.0
75;MolecularWeightFilter;50.0;0.0;100.0
62;BeyondRo5Filter;50.0;-0.1779;99.6441
91;ZINCBasicFilter;50.0;-0.3559;99.2883
