;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
1058;"LipinskiFilter;RuleOfFourFilter";59.4958;9.4846;115.9416
872;"BrenkFilter;RuleOfFourFilter";59.4958;7.7577;113.0391
846;"BMSFilter;RuleOfFourFilter";59.4958;5.5744;109.3695
1116;"NIHFilter;RuleOfFourFilter";59.4958;5.5744;109.3695
819;"BeyondRo5Filter;RuleOfFourFilter";59.4958;5.3709;109.0273
1103;"NIBRFilter;RuleOfFourFilter";59.4958;5.2613;108.8431
1138;"PAINSFilter;RuleOfFourFilter";59.4958;5.1472;108.6514
1089;"MolecularWeightFilter;RuleOfFourFilter";59.4958;5.1472;108.6514
1023;"InpharmaticaFilter;RuleOfFourFilter";59.4958;4.1316;106.9444
1173;"RuleOfVeberFilter;SureChEMBLFilter";59.4958;3.1966;105.3728
1041;"LINTFilter;RuleOfFourFilter";59.4958;2.9505;104.9592
1166;"RuleOfFourFilter;RuleOfXuFilter";59.4958;2.9013;104.8765
1021;"InpharmaticaFilter;PfizerFilter";59.4958;2.1475;103.6094
1165;"RuleOfFourFilter;RuleOfVeberFilter";59.4958;2.1117;103.5493
1136;"PAINSFilter;PfizerFilter";59.4958;2.1027;103.5342
965;"GlaxoFilter;RuleOfVeberFilter";59.4958;1.5949;102.6808
1154;"PfizerFilter;ZINCBasicFilter";59.4958;1.4495;102.4364
1056;"LipinskiFilter;PfizerFilter";59.4958;1.1856;101.9927
1039;"LINTFilter;PfizerFilter";59.4958;0.7919;101.331
1087;"MolecularWeightFilter;PfizerFilter";59.4958;0.6823;101.1467
817;"BeyondRo5Filter;PfizerFilter";59.4958;0.2886;100.485
812;"BeyondRo5Filter;MolecularWeightFilter";59.4958;0.0;100.0
816;"BeyondRo5Filter;PAINSFilter";59.4958;0.0;100.0
1086;"MolecularWeightFilter;PAINSFilter";59.4958;0.0;100.0
897;"FAF4DruglikeFilter;RuleOfFourFilter";59.4958;-0.3691;99.3796
1169;"RuleOfFourFilter;ValenceDiscoveryFilter";59.4958;-0.3691;99.3796
870;"BrenkFilter;PfizerFilter";59.4958;-0.4742;99.2029
1114;"NIHFilter;PfizerFilter";59.4958;-0.7382;98.7593
844;"BMSFilter;PfizerFilter";59.4958;-0.7382;98.7593
839;"BMSFilter;MolecularWeightFilter";59.4958;-0.8523;98.5675
1113;"NIHFilter;PAINSFilter";59.4958;-0.8523;98.5675
814;"BeyondRo5Filter;NIHFilter";59.4958;-0.8523;98.5675
843;"BMSFilter;PAINSFilter";59.4958;-0.8523;98.5675
800;"BeyondRo5Filter;BMSFilter";59.4958;-0.8523;98.5675
1084;"MolecularWeightFilter;NIHFilter";59.4958;-0.8523;98.5675
841;"BMSFilter;NIHFilter";59.4958;-0.8523;98.5675
1170;"RuleOfFourFilter;ZINCBasicFilter";59.4958;-1.1095;98.1351
1101;"NIBRFilter;PfizerFilter";59.4958;-1.1968;97.9885
1083;"MolecularWeightFilter;NIBRFilter";59.4958;-1.5301;97.4283
1098;"NIBRFilter;NIHFilter";59.4958;-1.5301;97.4283
840;"BMSFilter;NIBRFilter";59.4958;-1.5301;97.4283
858;"BrenkFilter;GlaxoFilter";59.4958;-1.6553;97.2177
1038;"LINTFilter;PAINSFilter";59.4958;-1.7045;97.135
1148;"PfizerFilter;RuleOfVeberFilter";59.4958;-1.7202;97.1087
862;"BrenkFilter;LINTFilter";59.4958;-1.8544;96.8831
1042;"LINTFilter;RuleOfVeberFilter";59.4958;-1.9439;96.7327
1013;"InpharmaticaFilter;LINTFilter";59.4958;-1.9886;96.6575
813;"BeyondRo5Filter;NIBRFilter";59.4958;-2.0334;96.5823
1034;"LINTFilter;MolecularWeightFilter";59.4958;-2.0982;96.4733
1020;"InpharmaticaFilter;PAINSFilter";59.4958;-2.2302;96.2515
1149;"PfizerFilter;RuleOfXuFilter";59.4958;-2.2683;96.1875
873;"BrenkFilter;RuleOfVeberFilter";59.4958;-2.313;96.1123
1100;"NIBRFilter;PAINSFilter";59.4958;-2.3175;96.1048
1032;"LINTFilter;LipinskiFilter";59.4958;-2.4472;95.8868
1016;"InpharmaticaFilter;MolecularWeightFilter";59.4958;-2.4718;95.8454
1060;"LipinskiFilter;RuleOfXuFilter";59.4958;-2.6217;95.5935
1090;"MolecularWeightFilter;RuleOfVeberFilter";59.4958;-2.6597;95.5296
1172;"RuleOfVeberFilter;RuleOfXuFilter";59.4958;-2.8566;95.1987
1140;"PAINSFilter;RuleOfXuFilter";59.4958;-2.9818;94.9882
1091;"MolecularWeightFilter;RuleOfXuFilter";59.4958;-2.9818;94.9882
821;"BeyondRo5Filter;RuleOfXuFilter";59.4958;-2.9818;94.9882
808;"BeyondRo5Filter;InpharmaticaFilter";59.4958;-3.0489;94.8754
1139;"PAINSFilter;RuleOfVeberFilter";59.4958;-3.0534;94.8678
820;"BeyondRo5Filter;RuleOfVeberFilter";59.4958;-3.0534;94.8678
875;"BrenkFilter;SureChEMBLFilter";59.4958;-3.1205;94.755
1035;"LINTFilter;NIBRFilter";59.4958;-3.1899;94.6385
869;"BrenkFilter;PAINSFilter";59.4958;-3.2324;94.5671
1104;"NIBRFilter;RuleOfVeberFilter";59.4958;-3.2346;94.5633
1118;"NIHFilter;RuleOfXuFilter";59.4958;-3.2682;94.5069
848;"BMSFilter;RuleOfXuFilter";59.4958;-3.2682;94.5069
1036;"LINTFilter;NIHFilter";59.4958;-3.2995;94.4543
836;"BMSFilter;LINTFilter";59.4958;-3.2995;94.4543
1018;"InpharmaticaFilter;NIHFilter";59.4958;-3.3375;94.3903
835;"BMSFilter;InpharmaticaFilter";59.4958;-3.3375;94.3903
828;"BMSFilter;BrenkFilter";59.4958;-3.4113;94.2663
867;"BrenkFilter;NIHFilter";59.4958;-3.4113;94.2663
866;"BrenkFilter;NIBRFilter";59.4958;-3.4113;94.2663
1017;"InpharmaticaFilter;NIBRFilter";59.4958;-3.4426;94.2136
865;"BrenkFilter;MolecularWeightFilter";59.4958;-3.4941;94.1272
1052;"LipinskiFilter;NIBRFilter";59.4958;-3.5187;94.0858
1055;"LipinskiFilter;PAINSFilter";59.4958;-3.6283;93.9016
810;"BeyondRo5Filter;LipinskiFilter";59.4958;-3.6283;93.9016
1051;"LipinskiFilter;MolecularWeightFilter";59.4958;-3.6283;93.9016
1014;"InpharmaticaFilter;LipinskiFilter";59.4958;-3.7334;93.7249
801;"BeyondRo5Filter;BrenkFilter";59.4958;-3.7827;93.6421
1117;"NIHFilter;RuleOfVeberFilter";59.4958;-3.7827;93.6421
847;"BMSFilter;RuleOfVeberFilter";59.4958;-3.7827;93.6421
805;"BeyondRo5Filter;GlaxoFilter";59.4958;-3.8229;93.5745
961;"GlaxoFilter;PAINSFilter";59.4958;-3.8878;93.4654
957;"GlaxoFilter;MolecularWeightFilter";59.4958;-3.8878;93.4654
809;"BeyondRo5Filter;LINTFilter";59.4958;-3.9124;93.4241
874;"BrenkFilter;RuleOfXuFilter";59.4958;-4.0556;93.1834
1105;"NIBRFilter;RuleOfXuFilter";59.4958;-4.0556;93.1834
861;"BrenkFilter;InpharmaticaFilter";59.4958;-4.0914;93.1233
955;"GlaxoFilter;LipinskiFilter";59.4958;-4.1271;93.0631
832;"BMSFilter;GlaxoFilter";59.4958;-4.1719;92.9879
959;"GlaxoFilter;NIHFilter";59.4958;-4.1719;92.9879
1043;"LINTFilter;RuleOfXuFilter";59.4958;-4.2166;92.9127
1059;"LipinskiFilter;RuleOfVeberFilter";59.4958;-4.2815;92.8037
1177;"RuleOfVeberFilter;ZINCBasicFilter";59.4958;-4.2815;92.8037
1024;"InpharmaticaFilter;RuleOfVeberFilter";59.4958;-4.3598;92.6721
962;"GlaxoFilter;PfizerFilter";59.4958;-4.362;92.6683
1026;"InpharmaticaFilter;SureChEMBLFilter";59.4958;-4.456;92.5104
1106;"NIBRFilter;SureChEMBLFilter";59.4958;-4.456;92.5104
1053;"LipinskiFilter;NIHFilter";59.4958;-4.4806;92.4691
837;"BMSFilter;LipinskiFilter";59.4958;-4.4806;92.4691
1025;"InpharmaticaFilter;RuleOfXuFilter";59.4958;-4.5208;92.4014
958;"GlaxoFilter;NIBRFilter";59.4958;-4.6752;92.142
1150;"PfizerFilter;SureChEMBLFilter";59.4958;-4.7557;92.0066
1048;"LINTFilter;ZINCBasicFilter";59.4958;-4.9145;91.7397
967;"GlaxoFilter;SureChEMBLFilter";59.4958;-4.9593;91.6645
1092;"MolecularWeightFilter;SureChEMBLFilter";59.4958;-4.9593;91.6645
1141;"PAINSFilter;SureChEMBLFilter";59.4958;-4.9593;91.6645
971;"GlaxoFilter;ZINCBasicFilter";59.4958;-5.089;91.4464
1061;"LipinskiFilter;SureChEMBLFilter";59.4958;-5.1986;91.2622
1119;"NIHFilter;SureChEMBLFilter";59.4958;-5.2434;91.187
849;"BMSFilter;SureChEMBLFilter";59.4958;-5.2434;91.187
822;"BeyondRo5Filter;SureChEMBLFilter";59.4958;-5.353;91.0027
863;"BrenkFilter;LipinskiFilter";59.4958;-5.4156;90.8975
878;"BrenkFilter;ValenceDiscoveryFilter";59.4958;-5.4335;90.8674
1187;"SureChEMBLFilter;ValenceDiscoveryFilter";59.4958;-5.4783;90.7922
1188;"SureChEMBLFilter;ZINCBasicFilter";59.4958;-5.5275;90.7095
1107;"NIBRFilter;TiceHerbicidesFilter";59.4958;-5.5431;90.6832
1176;"RuleOfVeberFilter;ValenceDiscoveryFilter";59.4958;-5.6326;90.5328
953;"GlaxoFilter;InpharmaticaFilter";59.4958;-5.7668;90.3072
1044;"LINTFilter;SureChEMBLFilter";59.4958;-5.9212;90.0477
1153;"PfizerFilter;ValenceDiscoveryFilter";59.4958;-6.1113;89.7282
954;"GlaxoFilter;LINTFilter";59.4958;-6.2053;89.5703
970;"GlaxoFilter;ValenceDiscoveryFilter";59.4958;-6.2209;89.5439
1180;"RuleOfXuFilter;TiceHerbicidesFilter";59.4958;-6.2858;89.4349
966;"GlaxoFilter;RuleOfXuFilter";59.4958;-6.5095;89.0589
879;"BrenkFilter;ZINCBasicFilter";59.4958;-6.6191;88.8747
1160;"REOSFilter;TiceHerbicidesFilter";59.4958;-6.6348;88.8484
1040;"LINTFilter;REOSFilter";59.4958;-6.6594;88.807
1045;"LINTFilter;TiceHerbicidesFilter";59.4958;-6.854;88.4799
826;"BeyondRo5Filter;ZINCBasicFilter";59.4958;-6.8786;88.4385
1144;"PAINSFilter;ValenceDiscoveryFilter";59.4958;-6.9435;88.3295
1122;"NIHFilter;ValenceDiscoveryFilter";59.4958;-6.9435;88.3295
852;"BMSFilter;ValenceDiscoveryFilter";59.4958;-6.9435;88.3295
825;"BeyondRo5Filter;ValenceDiscoveryFilter";59.4958;-6.9435;88.3295
1095;"MolecularWeightFilter;ValenceDiscoveryFilter";59.4958;-6.9435;88.3295
1062;"LipinskiFilter;TiceHerbicidesFilter";59.4958;-6.9636;88.2957
823;"BeyondRo5Filter;TiceHerbicidesFilter";59.4958;-6.9636;88.2957
850;"BMSFilter;TiceHerbicidesFilter";59.4958;-6.9636;88.2957
1174;"RuleOfVeberFilter;TiceHerbicidesFilter";59.4958;-6.9636;88.2957
1120;"NIHFilter;TiceHerbicidesFilter";59.4958;-6.9636;88.2957
1192;"TiceHerbicidesFilter;ZINCBasicFilter";59.4958;-6.9636;88.2957
1142;"PAINSFilter;TiceHerbicidesFilter";59.4958;-6.9636;88.2957
1093;"MolecularWeightFilter;TiceHerbicidesFilter";59.4958;-6.9636;88.2957
1110;"NIBRFilter;ZINCBasicFilter";59.4958;-6.9904;88.2506
1047;"LINTFilter;ValenceDiscoveryFilter";59.4958;-7.0531;88.1453
