;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
48;REOSFilter;2.228;2.1114;94.76781673273943
49;RuleOfFourFilter;2.228;2.1155;94.95420786950336
45;OpreaFilter;2.228;2.1282;95.5217415409949
56;TiceInsecticidesFilter;2.228;2.1826;97.96524358205943
35;GhoseFilter;2.228;2.193;98.43080903247655
57;ValenceDiscoveryFilter;2.228;2.2005;98.76747435354777
53;RuleOfXuFilter;2.228;2.2432;100.68253146268458
46;PAINSFilter;2.228;2.2758;102.14712355870586
33;FAF4DruglikeFilter;2.228;2.2792;102.30126388654352
34;FAF4LeadlikeFilter;2.228;2.309;103.63897388982298
30;BeyondRo5Filter;2.228;2.313;103.81793210306382
55;TiceHerbicidesFilter;2.228;2.3148;103.8975015751929
52;RuleOfVeberFilter;2.228;2.3218;104.21271222356154
59;ZINCDruglikeFilter;2.228;2.3642;106.11415107309483
41;LipinskiFilter;2.228;2.3659;106.19228643791811
31;BMSFilter;2.228;2.3693;106.34375527722835
38;HaoFilter;2.228;2.3868;107.12832892260894
43;NIBRFilter;2.228;2.3928;107.39858572449188
44;NIHFilter;2.228;2.4063;108.00428501015462
39;InpharmaticaFilter;2.228;2.4078;108.0709676718199
54;SureChEMBLFilter;2.228;2.4201;108.62399686856487
58;ZINCBasicFilter;2.228;2.4507;109.99588999547123
42;MLSMRFilter;2.228;2.4606;110.44373927871148
36;GlaxoFilter;2.228;2.468;110.77505131793603
37;GSKFilter;2.228;2.5206;113.1346910253394
32;BrenkFilter;2.228;2.5212;113.15942688617157
47;PfizerFilter;2.228;2.5683;115.27348130007564
40;LINTFilter;2.228;2.6698;119.83174987464653
50;RuleOfThreeFilter;2.228;3.0146;135.30592022825448
51;RuleOfTwoFilter;2.228;3.6838;165.34270753675807
