;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
108;NIHFilter;0.9208;0.9117;99.01206213371154
94;BMSFilter;0.9208;0.9124;99.08246089390342
121;ValenceDiscoveryFilter;0.9208;0.9173;99.6192512071333
122;ZINCBasicFilter;0.9208;0.9178;99.6731297562978
118;SureChEMBLFilter;0.9208;0.9185;99.74435766742756
93;BeyondRo5Filter;0.9208;0.9192;99.82336664441159
123;ZINCDruglikeFilter;0.9208;0.9201;99.92394890539859
112;REOSFilter;0.9208;0.9204;99.95561825495845
116;RuleOfVeberFilter;0.9208;0.9208;99.99559720041637
107;NIBRFilter;0.9208;0.9225;100.18298540628292
104;LipinskiFilter;0.9208;0.9243;100.37372093143571
106;MolecularWeightFilter;0.9208;0.9258;100.54210262706214
99;GlaxoFilter;0.9208;0.9267;100.64143101753696
95;BrenkFilter;0.9208;0.9267;100.64156751243331
110;PAINSFilter;0.9208;0.9277;100.74432618045567
102;InpharmaticaFilter;0.9208;0.9327;101.28998200966105
96;FAF4DruglikeFilter;0.9208;0.9331;101.33007745701512
117;RuleOfXuFilter;0.9208;0.9439;102.5063362983972
98;GhoseFilter;0.9208;0.9541;103.6101703372658
103;LINTFilter;0.9208;0.9564;103.86737633425953
120;TiceInsecticidesFilter;0.9208;0.9588;104.12300342989526
105;MLSMRFilter;0.9208;0.9645;104.73822765275187
101;HaoFilter;0.9208;0.9877;107.26457495882651
109;OpreaFilter;0.9208;0.9905;107.56573021258716
100;GSKFilter;0.9208;1.0003;108.63442429070686
97;FAF4LeadlikeFilter;0.9208;1.0051;109.15196687552668
119;TiceHerbicidesFilter;0.9208;1.0159;110.32123314906896
111;PfizerFilter;0.9208;1.2501;135.75914731106133
113;RuleOfFourFilter;0.9208;1.2526;136.02809435147498
114;RuleOfThreeFilter;0.9208;1.4142;153.57625118550496
115;RuleOfTwoFilter;0.9208;1.7221;187.0159023654996
