;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1403;BrenkFilter, InpharmaticaFilter;1.4219;1.5926;112.0018948291821
1644;MolecularWeightFilter, PAINSFilter;1.1436;1.2829;112.18236973308322
1409;BrenkFilter, NIHFilter;1.445;1.6256;112.5040278334819
1411;BrenkFilter, PAINSFilter;1.4886;1.6885;113.42997129534145
1606;LipinskiFilter, MolecularWeightFilter;1.1239;1.2754;113.48171287491292
1339;BeyondRo5Filter, BrenkFilter;1.4057;1.6132;114.7653290755182
1407;BrenkFilter, MolecularWeightFilter;1.4201;1.6353;115.15910933022741
1422;BrenkFilter, ZINCBasicFilter;1.417;1.6413;115.82443096101962
1400;BrenkFilter, GlaxoFilter;1.4623;1.6958;115.9684497531579
1714;PAINSFilter, ZINCDruglikeFilter;1.0884;1.2638;116.11462603772304
1404;BrenkFilter, LINTFilter;1.4374;1.6718;116.30726292747626
1605;LipinskiFilter, MLSMRFilter;1.1663;1.3579;116.42390883537192
1368;BMSFilter, BrenkFilter;1.4227;1.6567;116.44708252905028
1657;MolecularWeightFilter, ZINCDruglikeFilter;1.0888;1.2744;117.03947319980924
1618;LipinskiFilter, SureChEMBLFilter;1.2461;1.4619;117.31216601978258
1623;LipinskiFilter, ZINCDruglikeFilter;1.0829;1.2711;117.37776855727375
1367;BeyondRo5Filter, ZINCDruglikeFilter;1.1181;1.319;117.97151260302729
1610;LipinskiFilter, PAINSFilter;1.0948;1.3099;119.65632484159794
1639;MLSMRFilter, ZINCBasicFilter;1.1968;1.4382;120.17455068380613
1566;InpharmaticaFilter, LINTFilter;1.395;1.6816;120.54799743744941
1416;BrenkFilter, RuleOfVeberFilter;1.4125;1.7097;121.04738630628833
1633;MLSMRFilter, RuleOfVeberFilter;1.2107;1.4681;121.25621524090975
1418;BrenkFilter, SureChEMBLFilter;1.3124;1.5962;121.62651551207888
1772;SureChEMBLFilter, ZINCBasicFilter;1.2891;1.5721;121.95388676749992
1709;PAINSFilter, SureChEMBLFilter;1.2085;1.4743;121.99833427129883
1349;BeyondRo5Filter, MLSMRFilter;1.1345;1.385;122.07378497161632
1408;BrenkFilter, NIBRFilter;1.3277;1.6219;122.15339896844148
1652;MolecularWeightFilter, SureChEMBLFilter;1.197;1.4657;122.44911098816328
1635;MLSMRFilter, SureChEMBLFilter;1.2093;1.4877;123.02848987102686
1362;BeyondRo5Filter, SureChEMBLFilter;1.1772;1.4571;123.7801211690678
1599;LINTFilter, SureChEMBLFilter;1.3156;1.6313;123.9949412675574
1628;MLSMRFilter, PAINSFilter;1.1583;1.4383;124.17954268301521
1625;MLSMRFilter, NIBRFilter;1.219;1.5148;124.2691925889424
1624;MLSMRFilter, MolecularWeightFilter;1.1528;1.4332;124.32794309580378
1405;BrenkFilter, LipinskiFilter;1.3246;1.647;124.33949247635276
1504;GlaxoFilter, MLSMRFilter;1.152;1.4363;124.67866133132452
1354;BeyondRo5Filter, PAINSFilter;1.1044;1.3945;126.26849942534703
1406;BrenkFilter, MLSMRFilter;1.3309;1.6831;126.46370823394516
1517;GlaxoFilter, SureChEMBLFilter;1.22;1.5433;126.50227039500447
1757;RuleOfVeberFilter, SureChEMBLFilter;1.1905;1.5067;126.56403561562108
1580;InpharmaticaFilter, SureChEMBLFilter;1.1895;1.5061;126.61452009774492
1417;BrenkFilter, RuleOfXuFilter;1.2815;1.6306;127.24647750730105
1587;LINTFilter, MLSMRFilter;1.218;1.5543;127.60788818093434
1762;RuleOfVeberFilter, ZINCDruglikeFilter;1.0741;1.3748;127.9901362189304
1683;NIHFilter, SureChEMBLFilter;1.2651;1.6233;128.31365440030615
1391;BMSFilter, SureChEMBLFilter;1.2633;1.6304;129.0555968669885
1773;SureChEMBLFilter, ZINCDruglikeFilter;1.1834;1.5277;129.09553387627787
1502;GlaxoFilter, LINTFilter;1.2602;1.6365;129.85537195947728
1586;LINTFilter, LipinskiFilter;1.2669;1.6468;129.98705569694351
1763;RuleOfXuFilter, SureChEMBLFilter;1.2878;1.6775;130.26922146232698
1568;InpharmaticaFilter, MLSMRFilter;1.1898;1.5618;131.27004605495657
1378;BMSFilter, MLSMRFilter;1.1663;1.5335;131.4899208377928
1640;MLSMRFilter, ZINCDruglikeFilter;1.1363;1.4943;131.50177763944683
1598;LINTFilter, RuleOfXuFilter;1.379;1.8161;131.7031334950908
1626;MLSMRFilter, NIHFilter;1.169;1.5491;132.51355672342885
1603;LINTFilter, ZINCBasicFilter;1.2605;1.6775;133.07929712692044
1348;BeyondRo5Filter, LipinskiFilter;1.0913;1.4531;133.16005118206485
1588;LINTFilter, MolecularWeightFilter;1.2609;1.6818;133.37648015035933
1668;NIBRFilter, SureChEMBLFilter;1.16;1.549;133.5335778806424
1592;LINTFilter, PAINSFilter;1.2549;1.6815;133.9919222226065
1501;GlaxoFilter, InpharmaticaFilter;1.2646;1.7054;134.86416289634025
1376;BMSFilter, LINTFilter;1.2229;1.6557;135.38877036071065
1589;LINTFilter, NIBRFilter;1.289;1.746;135.45562472987257
1590;LINTFilter, NIHFilter;1.2183;1.651;135.5118680702057
1548;HaoFilter, MLSMRFilter;1.0758;1.4586;135.5819927604272
1347;BeyondRo5Filter, LINTFilter;1.1974;1.6316;136.25658497685794
1673;NIBRFilter, ZINCDruglikeFilter;1.1638;1.5889;136.52951003726668
1634;MLSMRFilter, RuleOfXuFilter;1.4498;1.9839;136.83948764120652
1423;BrenkFilter, ZINCDruglikeFilter;1.2162;1.6644;136.84578481472556
1506;GlaxoFilter, NIBRFilter;1.2032;1.6479;136.96719367830502
1350;BeyondRo5Filter, MolecularWeightFilter;1.1104;1.5297;137.7583389605401
1375;BMSFilter, InpharmaticaFilter;1.2095;1.6663;137.76461108169747
1571;InpharmaticaFilter, NIHFilter;1.2149;1.6753;137.89536269071337
1522;GlaxoFilter, ZINCDruglikeFilter;1.0844;1.5134;139.56244551744982
1361;BeyondRo5Filter, RuleOfXuFilter;1.3715;1.9198;139.98546392605476
1604;LINTFilter, ZINCDruglikeFilter;1.1645;1.6326;140.1979805366152
1490;GhoseFilter, RuleOfTwoFilter;1.6913;2.3773;140.56391374437794
1578;InpharmaticaFilter, RuleOfVeberFilter;1.2065;1.6986;140.79467058224026
1436;FAF4DruglikeFilter, OpreaFilter;1.2922;1.8222;141.01821172875555
1402;BrenkFilter, HaoFilter;1.1706;1.6554;141.41905583643427
1666;NIBRFilter, RuleOfVeberFilter;1.2097;1.7133;141.63714208747916
1567;InpharmaticaFilter, LipinskiFilter;1.1972;1.6987;141.88617124318384
1343;BeyondRo5Filter, GlaxoFilter;1.1041;1.5689;142.09778320078019
1783;ZINCBasicFilter, ZINCDruglikeFilter;1.1064;1.5735;142.22471019168864
1597;LINTFilter, RuleOfVeberFilter;1.161;1.6513;142.23297945330933
1701;OpreaFilter, ZINCDruglikeFilter;1.286;1.8298;142.28917202526247
1573;InpharmaticaFilter, PAINSFilter;1.2258;1.7483;142.63035965641154
1569;InpharmaticaFilter, MolecularWeightFilter;1.1961;1.7077;142.77047035965975
1667;NIBRFilter, RuleOfXuFilter;1.2909;1.8434;142.80145045738428
1565;HaoFilter, ZINCDruglikeFilter;1.0586;1.5127;142.89214518531105
1579;InpharmaticaFilter, RuleOfXuFilter;1.2852;1.8451;143.5723488570835
1410;BrenkFilter, OpreaFilter;1.2855;1.8511;143.99752639615656
1346;BeyondRo5Filter, InpharmaticaFilter;1.1818;1.7029;144.09418582309513
1572;InpharmaticaFilter, OpreaFilter;1.2921;1.8744;145.0722441217914
1563;HaoFilter, ValenceDiscoveryFilter;1.2666;1.8537;146.34401959041034
1651;MolecularWeightFilter, RuleOfXuFilter;1.263;1.8489;146.39316174059314
1607;LipinskiFilter, NIBRFilter;1.1315;1.6613;146.82511085107657
1583;InpharmaticaFilter, ValenceDiscoveryFilter;1.2622;1.8552;146.9806267004135
1570;InpharmaticaFilter, NIBRFilter;1.1454;1.6911;147.6505674585245
1708;PAINSFilter, RuleOfXuFilter;1.2741;1.8826;147.75433264115495
1505;GlaxoFilter, MolecularWeightFilter;1.0629;1.5746;148.1418409746587
1351;BeyondRo5Filter, NIBRFilter;1.1751;1.7411;148.16765443531563
