;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1699;BeyondRo5Filter, NIHFilter;0.9215;0.9075;98.4848273070347
1685;BeyondRo5Filter, BMSFilter;0.9215;0.9089;98.6330908044977
1418;NIBRFilter, PAINSFilter;0.9185;0.9064;98.68213113093692
1728;BMSFilter, NIHFilter;0.9215;0.9111;98.87937555402185
1698;BeyondRo5Filter, NIBRFilter;0.9215;0.9139;99.18048570826178
1726;BMSFilter, MolecularWeightFilter;0.9215;0.9148;99.27629161379818
1269;GlaxoFilter, RuleOfVeberFilter;0.9185;0.9118;99.27753940114286
1707;BeyondRo5Filter, RuleOfVeberFilter;0.9215;0.9154;99.34309519847329
1400;MolecularWeightFilter, NIHFilter;0.9185;0.9141;99.5296400288951
1701;BeyondRo5Filter, PAINSFilter;0.9215;0.9175;99.56747093967616
1373;LipinskiFilter, RuleOfVeberFilter;0.9185;0.9146;99.57638956892151
1697;BeyondRo5Filter, MolecularWeightFilter;0.9215;0.918;99.62690783416541
1713;BeyondRo5Filter, ZINCBasicFilter;0.9215;0.9182;99.64714746314036
1471;PAINSFilter, ValenceDiscoveryFilter;0.9185;0.9152;99.64805864949888
1738;BMSFilter, SureChEMBLFilter;0.9215;0.9183;99.65167925821198
1690;BeyondRo5Filter, GlaxoFilter;0.9215;0.9183;99.65873286250283
1709;BeyondRo5Filter, SureChEMBLFilter;0.9215;0.9188;99.71101220607133
1402;MolecularWeightFilter, PAINSFilter;0.9185;0.9161;99.73909359795964
1462;PAINSFilter, REOSFilter;0.9185;0.9166;99.79830267433991
1430;NIBRFilter, ZINCBasicFilter;0.9185;0.917;99.84442802592581
1413;MolecularWeightFilter, ValenceDiscoveryFilter;0.9185;0.9173;99.87337012639365
1399;MolecularWeightFilter, NIBRFilter;0.9185;0.9174;99.88443259964367
1545;ZINCBasicFilter, ZINCDruglikeFilter;0.9185;0.9174;99.88565501418671
1414;MolecularWeightFilter, ZINCBasicFilter;0.9185;0.9179;99.93512275556178
1441;NIHFilter, SureChEMBLFilter;0.9185;0.918;99.94616022518782
1736;BMSFilter, RuleOfVeberFilter;0.9215;0.9212;99.97544877829026
1796;FAF4DruglikeFilter, ValenceDiscoveryFilter;0.9215;0.9213;99.9807582423318
1404;MolecularWeightFilter, REOSFilter;0.9185;0.9187;100.02820908856079
1714;BeyondRo5Filter, ZINCDruglikeFilter;0.9215;0.9223;100.09093254171772
1364;LipinskiFilter, NIBRFilter;0.9185;0.9194;100.09760232921442
