;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
31;BrenkFilter;78.5053;0.1633;100.208
46;PAINSFilter;78.5053;-0.17;99.7834
42;MolecularWeightFilter;78.5053;-0.2394;99.6951
29;BeyondRo5Filter;78.5053;-0.4698;99.4016
44;NIHFilter;78.5053;-0.5637;99.2819
30;BMSFilter;78.5053;-0.7292;99.0711
38;InpharmaticaFilter;78.5053;-1.1431;98.544
43;NIBRFilter;78.5053;-1.2706;98.3815
40;LipinskiFilter;78.5053;-1.539;98.0396
47;PfizerFilter;78.5053;-2.4114;96.9283
51;RuleOfXuFilter;78.5053;-2.577;96.7175
56;ZINCBasicFilter;78.5053;-3.4113;95.6547
39;LINTFilter;78.5053;-3.5523;95.4751
50;RuleOfVeberFilter;78.5053;-3.6977;95.2899
55;ValenceDiscoveryFilter;78.5053;-4.9034;93.7541
49;RuleOfFourFilter;78.5053;-7.6436;90.2636
53;TiceHerbicidesFilter;78.5053;-12.0168;84.693
48;REOSFilter;78.5053;-13.0123;83.425
35;GlaxoFilter;78.5053;-14.6967;81.2794
33;FAF4LeadlikeFilter;78.5053;-15.0635;80.8121
52;SureChEMBLFilter;78.5053;-17.0522;78.279
41;MLSMRFilter;78.5053;-18.4167;76.5408
57;ZINCDruglikeFilter;78.5053;-18.5845;76.3271
45;OpreaFilter;78.5053;-18.8797;75.951
54;TiceInsecticidesFilter;78.5053;-19.6828;74.9281
32;FAF4DruglikeFilter;78.5053;-20.459;73.9393
37;HaoFilter;78.5053;-20.8907;73.3894
34;GhoseFilter;78.5053;-21.2263;72.962
36;GSKFilter;78.5053;-23.2261;70.4146
