;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
33;BrenkFilter;82.8296;2.2469;102.7126
56;SureChEMBLFilter;82.8296;2.2348;102.6981
60;ZINCBasicFilter;82.8296;1.9557;102.3612
42;LipinskiFilter;82.8296;1.3795;101.6655
48;PAINSFilter;82.8296;1.2442;101.5022
36;GhoseFilter;82.8296;0.7985;100.964
31;BeyondRo5Filter;82.8296;0.6523;100.7875
44;MolecularWeightFilter;82.8296;0.6499;100.7846
61;ZINCDruglikeFilter;82.8296;0.0592;100.0715
54;RuleOfVeberFilter;82.8296;-0.2537;99.6937
37;GlaxoFilter;82.8296;-0.4373;99.4721
55;RuleOfXuFilter;82.8296;-0.4566;99.4487
41;LINTFilter;82.8296;-0.8915;98.9237
32;BMSFilter;82.8296;-0.8963;98.9179
46;NIHFilter;82.8296;-1.0582;98.7224
47;OpreaFilter;82.8296;-1.1802;98.5751
38;GSKFilter;82.8296;-1.4097;98.298
34;FAF4DruglikeFilter;82.8296;-1.6187;98.0457
49;PfizerFilter;82.8296;-1.8579;97.757
50;REOSFilter;82.8296;-1.9425;97.6549
59;ValenceDiscoveryFilter;82.8296;-1.9859;97.6024
39;HaoFilter;82.8296;-2.2432;97.2917
40;InpharmaticaFilter;82.8296;-2.416;97.0832
58;TiceInsecticidesFilter;82.8296;-2.7675;96.6588
45;NIBRFilter;82.8296;-2.8267;96.5873
51;RuleOfFourFilter;82.8296;-3.2398;96.0886
57;TiceHerbicidesFilter;82.8296;-3.2966;96.02
43;MLSMRFilter;82.8296;-4.1978;94.932
35;FAF4LeadlikeFilter;82.8296;-7.7674;90.6224
52;RuleOfThreeFilter;82.8296;-15.5746;81.1968
53;RuleOfTwoFilter;82.8296;-20.8608;74.8148
