;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
877;"RuleOfVeberFilter;SureChEMBLFilter";82.8586;2.596;103.133
892;"SureChEMBLFilter;ZINCBasicFilter";82.8586;2.2988;102.7744
828;"PAINSFilter;SureChEMBLFilter";82.8586;2.2771;102.7481
771;"MolecularWeightFilter;SureChEMBLFilter";82.8586;2.062;102.4886
832;"PAINSFilter;ZINCBasicFilter";82.8586;1.969;102.3764
763;"MolecularWeightFilter;PAINSFilter";82.8586;1.5547;101.8763
533;"BrenkFilter;SureChEMBLFilter";82.8586;1.5221;101.8369
833;"PAINSFilter;ZINCDruglikeFilter";82.8586;1.5197;101.834
775;"MolecularWeightFilter;ZINCBasicFilter";82.8586;1.423;101.7174
521;"BrenkFilter;MolecularWeightFilter";82.8586;1.388;101.6751
468;"BeyondRo5Filter;PAINSFilter";82.8586;1.3179;101.5906
505;"BMSFilter;SureChEMBLFilter";82.8586;1.295;101.5629
826;"PAINSFilter;RuleOfVeberFilter";82.8586;1.214;101.4652
728;"LipinskiFilter;PAINSFilter";82.8586;1.0582;101.2771
464;"BeyondRo5Filter;MolecularWeightFilter";82.8586;0.8843;101.0672
453;"BeyondRo5Filter;BrenkFilter";82.8586;0.726;100.8762
724;"LipinskiFilter;MolecularWeightFilter";82.8586;0.7248;100.8747
881;"RuleOfVeberFilter;ZINCBasicFilter";82.8586;0.7212;100.8704
525;"BrenkFilter;PAINSFilter";82.8586;0.6994;100.8441
736;"LipinskiFilter;SureChEMBLFilter";82.8586;0.6692;100.8077
895;"TiceHerbicidesFilter;ValenceDiscoveryFilter";82.8586;0.6294;100.7596
802;"NIHFilter;SureChEMBLFilter";82.8586;0.6257;100.7552
481;"BeyondRo5Filter;ZINCDruglikeFilter";82.8586;0.6137;100.7406
537;"BrenkFilter;ZINCBasicFilter";82.8586;0.5484;100.6619
776;"MolecularWeightFilter;ZINCDruglikeFilter";82.8586;0.5327;100.6429
769;"MolecularWeightFilter;RuleOfVeberFilter";82.8586;0.5182;100.6254
527;"BrenkFilter;REOSFilter";82.8586;0.5158;100.6225
653;"GSKFilter;RuleOfVeberFilter";82.8586;0.4772;100.5759
456;"BeyondRo5Filter;GhoseFilter";82.8586;0.3926;100.4738
476;"BeyondRo5Filter;SureChEMBLFilter";82.8586;0.3733;100.4505
740;"LipinskiFilter;ZINCBasicFilter";82.8586;0.3515;100.4242
648;"GSKFilter;PAINSFilter";82.8586;0.3503;100.4228
598;"GhoseFilter;MolecularWeightFilter";82.8586;0.337;100.4068
633;"GlaxoFilter;SureChEMBLFilter";82.8586;0.331;100.3995
497;"BMSFilter;PAINSFilter";82.8586;0.3225;100.3893
741;"LipinskiFilter;ZINCDruglikeFilter";82.8586;0.2911;100.3514
671;"HaoFilter;REOSFilter";82.8586;0.2875;100.347
480;"BeyondRo5Filter;ZINCBasicFilter";82.8586;0.2815;100.3397
903;"ZINCBasicFilter;ZINCDruglikeFilter";82.8586;0.2501;100.3018
893;"SureChEMBLFilter;ZINCDruglikeFilter";82.8586;0.2283;100.2755
816;"OpreaFilter;TiceHerbicidesFilter";82.8586;0.1655;100.1997
734;"LipinskiFilter;RuleOfVeberFilter";82.8586;0.1619;100.1954
810;"OpreaFilter;REOSFilter";82.8586;0.1558;100.1881
482;"BMSFilter;BrenkFilter";82.8586;0.1148;100.1385
613;"GhoseFilter;ZINCBasicFilter";82.8586;0.0785;100.0948
883;"RuleOfXuFilter;SureChEMBLFilter";82.8586;0.0435;100.0525
462;"BeyondRo5Filter;LipinskiFilter";82.8586;0.0423;100.051
475;"BeyondRo5Filter;RuleOfXuFilter";82.8586;-0.0278;99.9665
592;"GhoseFilter;GSKFilter";82.8586;-0.0338;99.9592
519;"BrenkFilter;LipinskiFilter";82.8586;-0.0761;99.9082
659;"GSKFilter;ZINCBasicFilter";82.8586;-0.1196;99.8557
794;"NIHFilter;PAINSFilter";82.8586;-0.1341;99.8382
619;"GlaxoFilter;LipinskiFilter";82.8586;-0.1631;99.8032
486;"BMSFilter;GlaxoFilter";82.8586;-0.1909;99.7697
474;"BeyondRo5Filter;RuleOfVeberFilter";82.8586;-0.2078;99.7492
561;"FAF4DruglikeFilter;TiceHerbicidesFilter";82.8586;-0.2488;99.6997
851;"REOSFilter;ZINCBasicFilter";82.8586;-0.2597;99.6866
596;"GhoseFilter;LipinskiFilter";82.8586;-0.2778;99.6647
509;"BMSFilter;ZINCBasicFilter";82.8586;-0.395;99.5233
882;"RuleOfVeberFilter;ZINCDruglikeFilter";82.8586;-0.4216;99.4912
466;"BeyondRo5Filter;NIHFilter";82.8586;-0.424;99.4883
607;"GhoseFilter;RuleOfVeberFilter";82.8586;-0.4337;99.4766
822;"PAINSFilter;REOSFilter";82.8586;-0.4409;99.4679
888;"RuleOfXuFilter;ZINCDruglikeFilter";82.8586;-0.4747;99.427
819;"OpreaFilter;ZINCBasicFilter";82.8586;-0.5243;99.3673
735;"LipinskiFilter;RuleOfXuFilter";82.8586;-0.5388;99.3498
806;"NIHFilter;ZINCBasicFilter";82.8586;-0.5448;99.3425
770;"MolecularWeightFilter;RuleOfXuFilter";82.8586;-0.546;99.341
827;"PAINSFilter;RuleOfXuFilter";82.8586;-0.5581;99.3265
531;"BrenkFilter;RuleOfVeberFilter";82.8586;-0.5738;99.3075
503;"BMSFilter;RuleOfVeberFilter";82.8586;-0.5738;99.3075
623;"GlaxoFilter;NIHFilter";82.8586;-0.575;99.306
656;"GSKFilter;TiceHerbicidesFilter";82.8586;-0.5871;99.2915
727;"LipinskiFilter;OpreaFilter";82.8586;-0.604;99.2711
625;"GlaxoFilter;PAINSFilter";82.8586;-0.6185;99.2536
850;"REOSFilter;ValenceDiscoveryFilter";82.8586;-0.6294;99.2404
458;"BeyondRo5Filter;GSKFilter";82.8586;-0.6342;99.2346
660;"GSKFilter;ZINCDruglikeFilter";82.8586;-0.6378;99.2302
610;"GhoseFilter;TiceHerbicidesFilter";82.8586;-0.6656;99.1967
602;"GhoseFilter;PAINSFilter";82.8586;-0.6898;99.1675
558;"FAF4DruglikeFilter;RuleOfVeberFilter";82.8586;-0.6934;99.1632
611;"GhoseFilter;TiceInsecticidesFilter";82.8586;-0.7006;99.1544
847;"REOSFilter;SureChEMBLFilter";82.8586;-0.7115;99.1413
887;"RuleOfXuFilter;ZINCBasicFilter";82.8586;-0.7272;99.1223
876;"RuleOfVeberFilter;RuleOfXuFilter";82.8586;-0.7369;99.1107
515;"BrenkFilter;GSKFilter";82.8586;-0.7453;99.1005
642;"GSKFilter;LipinskiFilter";82.8586;-0.7453;99.1005
514;"BrenkFilter;GlaxoFilter";82.8586;-0.7453;99.1005
454;"BeyondRo5Filter;FAF4DruglikeFilter";82.8586;-0.7816;99.0567
467;"BeyondRo5Filter;OpreaFilter";82.8586;-0.79;99.0465
761;"MolecularWeightFilter;NIHFilter";82.8586;-0.7924;99.0436
523;"BrenkFilter;NIHFilter";82.8586;-0.813;99.0188
800;"NIHFilter;RuleOfVeberFilter";82.8586;-0.8492;98.9751
452;"BeyondRo5Filter;BMSFilter";82.8586;-0.8927;98.9226
709;"LINTFilter;PAINSFilter";82.8586;-0.9881;98.8074
495;"BMSFilter;NIHFilter";82.8586;-0.9881;98.8074
493;"BMSFilter;MolecularWeightFilter";82.8586;-1.0316;98.755
787;"NIBRFilter;SureChEMBLFilter";82.8586;-1.0352;98.7506
538;"BrenkFilter;ZINCDruglikeFilter";82.8586;-1.0473;98.736
654;"GSKFilter;RuleOfXuFilter";82.8586;-1.0824;98.6937
901;"ValenceDiscoveryFilter;ZINCBasicFilter";82.8586;-1.0981;98.6748
650;"GSKFilter;REOSFilter";82.8586;-1.1476;98.615
765;"MolecularWeightFilter;REOSFilter";82.8586;-1.1814;98.5742
762;"MolecularWeightFilter;OpreaFilter";82.8586;-1.1971;98.5552
658;"GSKFilter;ValenceDiscoveryFilter";82.8586;-1.2189;98.529
848;"REOSFilter;TiceHerbicidesFilter";82.8586;-1.2297;98.5159
846;"REOSFilter;RuleOfXuFilter";82.8586;-1.2418;98.5013
852;"REOSFilter;ZINCDruglikeFilter";82.8586;-1.2466;98.4955
457;"BeyondRo5Filter;GlaxoFilter";82.8586;-1.2648;98.4736
669;"HaoFilter;PAINSFilter";82.8586;-1.3107;98.4182
621;"GlaxoFilter;MolecularWeightFilter";82.8586;-1.3155;98.4124
655;"GSKFilter;SureChEMBLFilter";82.8586;-1.3203;98.4065
687;"InpharmaticaFilter;NIHFilter";82.8586;-1.3252;98.4007
617;"GlaxoFilter;InpharmaticaFilter";82.8586;-1.336;98.3876
548;"FAF4DruglikeFilter;MolecularWeightFilter";82.8586;-1.3433;98.3788
644;"GSKFilter;MolecularWeightFilter";82.8586;-1.4472;98.2534
711;"LINTFilter;REOSFilter";82.8586;-1.4484;98.252
845;"REOSFilter;RuleOfVeberFilter";82.8586;-1.452;98.2476
489;"BMSFilter;InpharmaticaFilter";82.8586;-1.4556;98.2432
645;"GSKFilter;NIBRFilter";82.8586;-1.504;98.1849
730;"LipinskiFilter;REOSFilter";82.8586;-1.5172;98.1689
705;"LINTFilter;MolecularWeightFilter";82.8586;-1.5233;98.1616
739;"LipinskiFilter;ValenceDiscoveryFilter";82.8586;-1.5341;98.1485
491;"BMSFilter;LipinskiFilter";82.8586;-1.5438;98.1368
717;"LINTFilter;SureChEMBLFilter";82.8586;-1.5788;98.0945
813;"OpreaFilter;RuleOfVeberFilter";82.8586;-1.5921;98.0785
674;"HaoFilter;RuleOfVeberFilter";82.8586;-1.5958;98.0741
631;"GlaxoFilter;RuleOfVeberFilter";82.8586;-1.6199;98.045
647;"GSKFilter;OpreaFilter";82.8586;-1.6368;98.0246
546;"FAF4DruglikeFilter;LipinskiFilter";82.8586;-1.6417;98.0187
774;"MolecularWeightFilter;ValenceDiscoveryFilter";82.8586;-1.6453;98.0143
563;"FAF4DruglikeFilter;ValenceDiscoveryFilter";82.8586;-1.6537;98.0041
896;"TiceHerbicidesFilter;ZINCBasicFilter";82.8586;-1.6658;97.9896
604;"GhoseFilter;REOSFilter";82.8586;-1.7069;97.94
615;"GlaxoFilter;GSKFilter";82.8586;-1.7359;97.905
641;"GSKFilter;LINTFilter";82.8586;-1.7854;97.8452
640;"GSKFilter;InpharmaticaFilter";82.8586;-1.8156;97.8088
518;"BrenkFilter;LINTFilter";82.8586;-1.8772;97.7344
817;"OpreaFilter;TiceInsecticidesFilter";82.8586;-1.8978;97.7096
697;"InpharmaticaFilter;SureChEMBLFilter";82.8586;-1.9533;97.6426
814;"OpreaFilter;RuleOfXuFilter";82.8586;-1.969;97.6236
542;"FAF4DruglikeFilter;GSKFilter";82.8586;-1.9775;97.6134
551;"FAF4DruglikeFilter;OpreaFilter";82.8586;-1.9896;97.5988
560;"FAF4DruglikeFilter;SureChEMBLFilter";82.8586;-2.0633;97.5099
720;"LINTFilter;ValenceDiscoveryFilter";82.8586;-2.0681;97.5041
818;"OpreaFilter;ValenceDiscoveryFilter";82.8586;-2.0995;97.4662
565;"FAF4DruglikeFilter;ZINCDruglikeFilter";82.8586;-2.1551;97.3991
564;"FAF4DruglikeFilter;ZINCBasicFilter";82.8586;-2.1708;97.3802
831;"PAINSFilter;ValenceDiscoveryFilter";82.8586;-2.2058;97.3379
513;"BrenkFilter;GhoseFilter";82.8586;-2.207;97.3364
898;"TiceInsecticidesFilter;ValenceDiscoveryFilter";82.8586;-2.213;97.3291
685;"InpharmaticaFilter;MolecularWeightFilter";82.8586;-2.2227;97.3175
766;"MolecularWeightFilter;RuleOfFourFilter";82.8586;-2.2312;97.3073
614;"GhoseFilter;ZINCDruglikeFilter";82.8586;-2.2469;97.2883
612;"GhoseFilter;ValenceDiscoveryFilter";82.8586;-2.2517;97.2825
880;"RuleOfVeberFilter;ValenceDiscoveryFilter";82.8586;-2.2976;97.2271
820;"OpreaFilter;ZINCDruglikeFilter";82.8586;-2.335;97.1819
599;"GhoseFilter;NIBRFilter";82.8586;-2.3508;97.1629
703;"LINTFilter;LipinskiFilter";82.8586;-2.3532;97.16
478;"BeyondRo5Filter;TiceInsecticidesFilter";82.8586;-2.4232;97.0755
688;"InpharmaticaFilter;OpreaFilter";82.8586;-2.4498;97.0434
663;"HaoFilter;LipinskiFilter";82.8586;-2.4679;97.0215
470;"BeyondRo5Filter;REOSFilter";82.8586;-2.4885;96.9967
559;"FAF4DruglikeFilter;RuleOfXuFilter";82.8586;-2.4969;96.9865
891;"SureChEMBLFilter;ValenceDiscoveryFilter";82.8586;-2.5344;96.9413
679;"HaoFilter;ValenceDiscoveryFilter";82.8586;-2.5344;96.9413
646;"GSKFilter;NIHFilter";82.8586;-2.5525;96.9195
792;"NIBRFilter;ZINCDruglikeFilter";82.8586;-2.5706;96.8976
459;"BeyondRo5Filter;HaoFilter";82.8586;-2.6105;96.8495
461;"BeyondRo5Filter;LINTFilter";82.8586;-2.6395;96.8145
469;"BeyondRo5Filter;PfizerFilter";82.8586;-2.6443;96.8087
701;"InpharmaticaFilter;ZINCBasicFilter";82.8586;-2.654;96.797
552;"FAF4DruglikeFilter;PAINSFilter";82.8586;-2.6745;96.7722
680;"HaoFilter;ZINCBasicFilter";82.8586;-2.6854;96.7591
668;"HaoFilter;OpreaFilter";82.8586;-2.7107;96.7285
639;"GSKFilter;HaoFilter";82.8586;-2.7264;96.7095
760;"MolecularWeightFilter;NIBRFilter";82.8586;-2.7276;96.7081
849;"REOSFilter;TiceInsecticidesFilter";82.8586;-2.7784;96.6468
608;"GhoseFilter;RuleOfXuFilter";82.8586;-2.8195;96.5973
738;"LipinskiFilter;TiceInsecticidesFilter";82.8586;-2.8219;96.5944
902;"ValenceDiscoveryFilter;ZINCDruglikeFilter";82.8586;-2.8448;96.5667
496;"BMSFilter;OpreaFilter";82.8586;-2.8581;96.5506
773;"MolecularWeightFilter;TiceInsecticidesFilter";82.8586;-2.8654;96.5419
554;"FAF4DruglikeFilter;REOSFilter";82.8586;-2.8678;96.539
788;"NIBRFilter;TiceHerbicidesFilter";82.8586;-2.8871;96.5156
793;"NIHFilter;OpreaFilter";82.8586;-2.8883;96.5142
821;"PAINSFilter;PfizerFilter";82.8586;-2.9088;96.4894
900;"TiceInsecticidesFilter;ZINCDruglikeFilter";82.8586;-2.9125;96.485
682;"InpharmaticaFilter;LINTFilter";82.8586;-2.9258;96.469
508;"BMSFilter;ValenceDiscoveryFilter";82.8586;-2.9354;96.4573
657;"GSKFilter;TiceInsecticidesFilter";82.8586;-2.9777;96.4063
726;"LipinskiFilter;NIHFilter";82.8586;-2.9789;96.4048
890;"SureChEMBLFilter;TiceInsecticidesFilter";82.8586;-2.997;96.383
808;"OpreaFilter;PAINSFilter";82.8586;-3.0478;96.3217
681;"HaoFilter;ZINCDruglikeFilter";82.8586;-3.0526;96.3159
695;"InpharmaticaFilter;RuleOfVeberFilter";82.8586;-3.055;96.313
878;"RuleOfVeberFilter;TiceHerbicidesFilter";82.8586;-3.0623;96.3042
722;"LINTFilter;ZINCDruglikeFilter";82.8586;-3.0671;96.2984
593;"GhoseFilter;HaoFilter";82.8586;-3.0683;96.2969
540;"FAF4DruglikeFilter;GhoseFilter";82.8586;-3.0768;96.2867
665;"HaoFilter;MolecularWeightFilter";82.8586;-3.1045;96.2532
721;"LINTFilter;ZINCBasicFilter";82.8586;-3.1106;96.2459
487;"BMSFilter;GSKFilter";82.8586;-3.1178;96.2372
779;"NIBRFilter;PAINSFilter";82.8586;-3.1202;96.2343
791;"NIBRFilter;ZINCBasicFilter";82.8586;-3.1613;96.1847
535;"BrenkFilter;TiceInsecticidesFilter";82.8586;-3.1855;96.1555
737;"LipinskiFilter;TiceHerbicidesFilter";82.8586;-3.2036;96.1337
511;"BrenkFilter;FAF4DruglikeFilter";82.8586;-3.2108;96.1249
591;"GhoseFilter;GlaxoFilter";82.8586;-3.2314;96.1001
661;"HaoFilter;InpharmaticaFilter";82.8586;-3.2725;96.0506
594;"GhoseFilter;InpharmaticaFilter";82.8586;-3.2761;96.0462
699;"InpharmaticaFilter;TiceInsecticidesFilter";82.8586;-3.2869;96.0331
781;"NIBRFilter;REOSFilter";82.8586;-3.3208;95.9922
678;"HaoFilter;TiceInsecticidesFilter";82.8586;-3.3268;95.985
689;"InpharmaticaFilter;PAINSFilter";82.8586;-3.363;95.9412
534;"BrenkFilter;TiceHerbicidesFilter";82.8586;-3.3872;95.9121
886;"RuleOfXuFilter;ValenceDiscoveryFilter";82.8586;-3.3908;95.9077
477;"BeyondRo5Filter;TiceHerbicidesFilter";82.8586;-3.392;95.9062
897;"TiceHerbicidesFilter;ZINCDruglikeFilter";82.8586;-3.3969;95.9004
829;"PAINSFilter;TiceHerbicidesFilter";82.8586;-3.3969;95.9004
545;"FAF4DruglikeFilter;LINTFilter";82.8586;-3.3981;95.8989
522;"BrenkFilter;NIBRFilter";82.8586;-3.4053;95.8902
618;"GlaxoFilter;LINTFilter";82.8586;-3.4186;95.8742
790;"NIBRFilter;ValenceDiscoveryFilter";82.8586;-3.4331;95.8567
772;"MolecularWeightFilter;TiceHerbicidesFilter";82.8586;-3.4343;95.8552
899;"TiceInsecticidesFilter;ZINCBasicFilter";82.8586;-3.4718;95.81
754;"MLSMRFilter;SureChEMBLFilter";82.8586;-3.4778;95.8027
715;"LINTFilter;RuleOfVeberFilter";82.8586;-3.4887;95.7896
805;"NIHFilter;ValenceDiscoveryFilter";82.8586;-3.5056;95.7692
742;"MLSMRFilter;MolecularWeightFilter";82.8586;-3.508;95.7663
889;"SureChEMBLFilter;TiceHerbicidesFilter";82.8586;-3.5128;95.7604
504;"BMSFilter;RuleOfXuFilter";82.8586;-3.5322;95.7371
