;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
40;InpharmaticaFilter;95.4923;-0.0119;99.9876
45;NIBRFilter;95.4923;-0.1423;99.8509
31;BeyondRo5Filter;95.4923;-0.3084;99.677
56;SureChEMBLFilter;95.4923;-0.3796;99.6025
41;LINTFilter;95.4923;-0.5457;99.4286
48;PAINSFilter;95.4923;-0.688;99.2795
37;GlaxoFilter;95.4923;-1.3049;98.6335
44;MolecularWeightFilter;95.4923;-1.7319;98.1863
32;BMSFilter;95.4923;-1.9929;97.913
55;RuleOfXuFilter;95.4923;-2.1115;97.7888
46;NIHFilter;95.4923;-2.2301;97.6646
54;RuleOfVeberFilter;95.4923;-2.2539;97.6398
42;LipinskiFilter;95.4923;-3.0842;96.7702
60;ZINCBasicFilter;95.4923;-3.796;96.0248
33;BrenkFilter;95.4923;-3.9027;95.913
50;REOSFilter;95.4923;-4.9822;94.7826
43;MLSMRFilter;95.4923;-6.204;93.5031
49;PfizerFilter;95.4923;-6.9751;92.6957
38;GSKFilter;95.4923;-7.4259;92.2236
59;ValenceDiscoveryFilter;95.4923;-7.5208;92.1242
57;TiceHerbicidesFilter;95.4923;-8.102;91.5155
58;TiceInsecticidesFilter;95.4923;-8.6951;90.8944
39;HaoFilter;95.4923;-11.2337;88.236
36;GhoseFilter;95.4923;-13.3808;85.9876
47;OpreaFilter;95.4923;-19.6679;79.4037
61;ZINCDruglikeFilter;95.4923;-26.7378;72.0
34;FAF4DruglikeFilter;95.4923;-32.3369;66.1366
52;RuleOfThreeFilter;95.4923;-34.4365;63.9379
35;FAF4LeadlikeFilter;95.4923;-36.0142;62.2857
53;RuleOfTwoFilter;95.4923;-36.382;61.9006
51;RuleOfFourFilter;95.4923;-45.1364;52.7329
