;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
633;"GlaxoFilter;RuleOfVeberFilter";94.5433;1.3286;101.4053
506;"BMSFilter;RuleOfXuFilter";94.5433;1.0913;101.1543
476;"BeyondRo5Filter;RuleOfVeberFilter";94.5433;0.9964;101.054
685;"InpharmaticaFilter;LINTFilter";94.5433;0.9253;100.9787
459;"BeyondRo5Filter;GlaxoFilter";94.5433;0.8304;100.8783
466;"BeyondRo5Filter;MolecularWeightFilter";94.5433;0.7117;100.7528
619;"GlaxoFilter;InpharmaticaFilter";94.5433;0.688;100.7277
708;"LINTFilter;MolecularWeightFilter";94.5433;0.6406;100.6775
634;"GlaxoFilter;RuleOfXuFilter";94.5433;0.5457;100.5772
710;"LINTFilter;NIHFilter";94.5433;0.5457;100.5772
620;"GlaxoFilter;LINTFilter";94.5433;0.4508;100.4768
763;"MolecularWeightFilter;NIBRFilter";94.5433;0.427;100.4517
462;"BeyondRo5Filter;InpharmaticaFilter";94.5433;0.427;100.4517
712;"LINTFilter;PAINSFilter";94.5433;0.3321;100.3513
623;"GlaxoFilter;MolecularWeightFilter";94.5433;0.261;100.276
454;"BeyondRo5Filter;BMSFilter";94.5433;0.261;100.276
688;"InpharmaticaFilter;MolecularWeightFilter";94.5433;0.1423;100.1506
621;"GlaxoFilter;LipinskiFilter";94.5433;0.1186;100.1255
499;"BMSFilter;PAINSFilter";94.5433;0.1186;100.1255
492;"BMSFilter;LINTFilter";94.5433;0.1186;100.1255
467;"BeyondRo5Filter;NIBRFilter";94.5433;0.0237;100.0251
627;"GlaxoFilter;PAINSFilter";94.5433;0.0;100.0
639;"GlaxoFilter;ZINCBasicFilter";94.5433;-0.0712;99.9247
774;"MolecularWeightFilter;SureChEMBLFilter";94.5433;-0.0949;99.8996
719;"LINTFilter;RuleOfXuFilter";94.5433;-0.1542;99.8369
625;"GlaxoFilter;NIHFilter";94.5433;-0.2135;99.7742
624;"GlaxoFilter;NIBRFilter";94.5433;-0.2372;99.7491
699;"InpharmaticaFilter;RuleOfXuFilter";94.5433;-0.2847;99.6989
488;"BMSFilter;GlaxoFilter";94.5433;-0.3796;99.5985
463;"BeyondRo5Filter;LINTFilter";94.5433;-0.4508;99.5232
766;"MolecularWeightFilter;PAINSFilter";94.5433;-0.5694;99.3977
635;"GlaxoFilter;SureChEMBLFilter";94.5433;-0.5931;99.3726
477;"BeyondRo5Filter;RuleOfXuFilter";94.5433;-0.6168;99.3476
773;"MolecularWeightFilter;RuleOfXuFilter";94.5433;-0.7117;99.2472
470;"BeyondRo5Filter;PAINSFilter";94.5433;-0.7355;99.2221
468;"BeyondRo5Filter;NIHFilter";94.5433;-0.7355;99.2221
482;"BeyondRo5Filter;ZINCBasicFilter";94.5433;-0.7355;99.2221
692;"InpharmaticaFilter;PAINSFilter";94.5433;-0.8541;99.0966
743;"LipinskiFilter;ZINCBasicFilter";94.5433;-0.8778;99.0715
778;"MolecularWeightFilter;ZINCBasicFilter";94.5433;-0.949;98.9962
464;"BeyondRo5Filter;LipinskiFilter";94.5433;-0.9727;98.9711
704;"InpharmaticaFilter;ZINCBasicFilter";94.5433;-0.9964;98.946
497;"BMSFilter;NIHFilter";94.5433;-1.0202;98.921
478;"BeyondRo5Filter;SureChEMBLFilter";94.5433;-1.0676;98.8708
764;"MolecularWeightFilter;NIHFilter";94.5433;-1.0913;98.8457
690;"InpharmaticaFilter;NIHFilter";94.5433;-1.2337;98.6951
728;"LipinskiFilter;NIBRFilter";94.5433;-1.2693;98.6575
706;"LINTFilter;LipinskiFilter";94.5433;-1.3049;98.6198
738;"LipinskiFilter;RuleOfXuFilter";94.5433;-1.4472;98.4693
495;"BMSFilter;MolecularWeightFilter";94.5433;-1.554;98.3563
720;"LINTFilter;SureChEMBLFilter";94.5433;-1.5658;98.3438
689;"InpharmaticaFilter;NIBRFilter";94.5433;-1.6489;98.256
491;"BMSFilter;InpharmaticaFilter";94.5433;-1.7319;98.1681
493;"BMSFilter;LipinskiFilter";94.5433;-1.8031;98.0928
772;"MolecularWeightFilter;RuleOfVeberFilter";94.5433;-1.8031;98.0928
727;"LipinskiFilter;MolecularWeightFilter";94.5433;-1.8268;98.0678
737;"LipinskiFilter;RuleOfVeberFilter";94.5433;-1.9573;97.9297
700;"InpharmaticaFilter;SureChEMBLFilter";94.5433;-2.0285;97.8545
686;"InpharmaticaFilter;LipinskiFilter";94.5433;-2.1352;97.7415
