;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
465;"BrenkFilter;MolecularWeightFilter";78.4605;1.1811;101.5053
713;"NIHFilter;PAINSFilter";78.4605;0.3154;100.402
443;"BMSFilter;PAINSFilter";78.4605;0.2528;100.3222
686;"MolecularWeightFilter;PAINSFilter";78.4605;0.1655;100.211
414;"BeyondRo5Filter;NIHFilter";78.4605;-0.0089;99.9886
400;"BeyondRo5Filter;BMSFilter";78.4605;-0.094;99.8803
441;"BMSFilter;NIHFilter";78.4605;-0.1387;99.8232
437;"BMSFilter;LipinskiFilter";78.4605;-0.2438;99.6892
653;"LipinskiFilter;NIHFilter";78.4605;-0.2863;99.6351
439;"BMSFilter;MolecularWeightFilter";78.4605;-0.3065;99.6094
412;"BeyondRo5Filter;MolecularWeightFilter";78.4605;-0.3624;99.5381
469;"BrenkFilter;PAINSFilter";78.4605;-0.4161;99.4697
684;"MolecularWeightFilter;NIHFilter";78.4605;-0.4228;99.4612
428;"BMSFilter;BrenkFilter";78.4605;-0.5682;99.2758
416;"BeyondRo5Filter;PAINSFilter";78.4605;-0.5928;99.2445
467;"BrenkFilter;NIHFilter";78.4605;-0.6353;99.1903
461;"BrenkFilter;InpharmaticaFilter";78.4605;-0.7136;99.0905
620;"InpharmaticaFilter;PAINSFilter";78.4605;-0.8545;98.9109
698;"NIBRFilter;NIHFilter";78.4605;-0.9171;98.8311
700;"NIBRFilter;PAINSFilter";78.4605;-1.0133;98.7085
440;"BMSFilter;NIBRFilter";78.4605;-1.0402;98.6743
401;"BeyondRo5Filter;BrenkFilter";78.4605;-1.0961;98.603
655;"LipinskiFilter;PAINSFilter";78.4605;-1.2348;98.4262
683;"MolecularWeightFilter;NIBRFilter";78.4605;-1.2795;98.3692
616;"InpharmaticaFilter;MolecularWeightFilter";78.4605;-1.2907;98.355
466;"BrenkFilter;NIBRFilter";78.4605;-1.3287;98.3065
463;"BrenkFilter;LipinskiFilter";78.4605;-1.369;98.2552
651;"LipinskiFilter;MolecularWeightFilter";78.4605;-1.4137;98.1981
