;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
17;PAINSFilter;79.796;0.0582;100.0729
1;BMSFilter;79.796;0.0089;100.0112
15;NIHFilter;79.796;0.0089;100.0112
13;MolecularWeightFilter;79.796;-0.0582;99.9271
0;BeyondRo5Filter;79.796;-0.2819;99.6468
9;InpharmaticaFilter;79.796;-0.9306;98.8338
18;PfizerFilter;79.796;-1.2079;98.4862
14;NIBRFilter;79.796;-1.5838;98.0153
11;LipinskiFilter;79.796;-2.0625;97.4153
10;LINTFilter;79.796;-2.9483;96.3052
22;RuleOfXuFilter;79.796;-2.9796;96.266
2;BrenkFilter;79.796;-3.5299;95.5764
27;ZINCBasicFilter;79.796;-4.5723;94.27
21;RuleOfVeberFilter;79.796;-4.8899;93.8719
24;TiceHerbicidesFilter;79.796;-5.7355;92.8123
26;ValenceDiscoveryFilter;79.796;-6.514;91.8367
6;GlaxoFilter;79.796;-10.8089;86.4544
23;SureChEMBLFilter;79.796;-11.5157;85.5685
19;REOSFilter;79.796;-11.9766;84.991
20;RuleOfFourFilter;79.796;-15.7704;80.2366
28;ZINCDruglikeFilter;79.796;-17.0768;78.5995
25;TiceInsecticidesFilter;79.796;-17.8373;77.6463
8;HaoFilter;79.796;-18.2623;77.1137
4;FAF4LeadlikeFilter;79.796;-19.1705;75.9756
3;FAF4DruglikeFilter;79.796;-19.7298;75.2747
16;OpreaFilter;79.796;-19.9714;74.972
12;MLSMRFilter;79.796;-24.0515;69.8587
7;GSKFilter;79.796;-27.2772;65.8163
5;GhoseFilter;79.796;-27.3175;65.7659
