;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
25;SureChEMBLFilter;83.622;0.3503;100.4189
13;MolecularWeightFilter;83.622;-0.0145;99.9827
9;InpharmaticaFilter;83.622;-0.0459;99.9451
10;LINTFilter;83.622;-0.0821;99.9018
0;BeyondRo5Filter;83.622;-0.2899;99.6533
17;PAINSFilter;83.622;-0.691;99.1737
14;NIBRFilter;83.622;-1.0872;98.6999
2;BrenkFilter;83.622;-1.8676;97.7667
20;RuleOfFourFilter;83.622;-2.3749;97.1599
16;OpreaFilter;83.622;-2.4812;97.0328
11;LipinskiFilter;83.622;-2.5054;97.0039
29;ZINCBasicFilter;83.622;-2.5706;96.9259
28;ValenceDiscoveryFilter;83.622;-3.5273;95.7818
19;REOSFilter;83.622;-3.6844;95.594
24;RuleOfXuFilter;83.622;-3.7158;95.5565
27;TiceInsecticidesFilter;83.622;-4.0806;95.1202
23;RuleOfVeberFilter;83.622;-4.2401;94.9295
26;TiceHerbicidesFilter;83.622;-4.9963;94.0252
3;FAF4DruglikeFilter;83.622;-6.1873;92.6008
6;GlaxoFilter;83.622;-6.2864;92.4824
1;BMSFilter;83.622;-7.4074;91.1418
15;NIHFilter;83.622;-7.4074;91.1418
30;ZINCDruglikeFilter;83.622;-7.4316;91.1129
5;GhoseFilter;83.622;-7.463;91.0753
18;PfizerFilter;83.622;-8.3013;90.0728
8;HaoFilter;83.622;-9.0358;89.1945
7;GSKFilter;83.622;-9.0986;89.1194
12;MLSMRFilter;83.622;-9.589;88.5329
22;RuleOfTwoFilter;83.622;-16.349;80.449
4;FAF4LeadlikeFilter;83.622;-17.4144;79.1749
21;RuleOfThreeFilter;83.622;-18.0498;78.415
