;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
319;"MolecularWeightFilter;SureChEMBLFilter";83.622;0.1039;100.1242
376;"PAINSFilter;SureChEMBLFilter";83.622;0.0435;100.052
253;"LINTFilter;MolecularWeightFilter";83.622;-0.0797;99.9047
265;"LINTFilter;SureChEMBLFilter";83.622;-0.1377;99.8353
233;"InpharmaticaFilter;MolecularWeightFilter";83.622;-0.1401;99.8324
257;"LINTFilter;PAINSFilter";83.622;-0.2005;99.7602
12;"BeyondRo5Filter;MolecularWeightFilter";83.622;-0.2899;99.6533
335;"NIBRFilter;SureChEMBLFilter";83.622;-0.2972;99.6446
8;"BeyondRo5Filter;InpharmaticaFilter";83.622;-0.3092;99.6302
9;"BeyondRo5Filter;LINTFilter";83.622;-0.3648;99.5637
24;"BeyondRo5Filter;SureChEMBLFilter";83.622;-0.4252;99.4915
245;"InpharmaticaFilter;SureChEMBLFilter";83.622;-0.5823;99.3037
66;"BrenkFilter;LINTFilter";83.622;-0.6137;99.2662
311;"MolecularWeightFilter;PAINSFilter";83.622;-0.6716;99.1968
16;"BeyondRo5Filter;PAINSFilter";83.622;-0.761;99.0899
234;"InpharmaticaFilter;NIBRFilter";83.622;-0.8987;98.9252
237;"InpharmaticaFilter;PAINSFilter";83.622;-0.9978;98.8068
308;"MolecularWeightFilter;NIBRFilter";83.622;-1.0872;98.6999
327;"NIBRFilter;PAINSFilter";83.622;-1.1693;98.6016
254;"LINTFilter;NIBRFilter";83.622;-1.2225;98.5381
13;"BeyondRo5Filter;NIBRFilter";83.622;-1.2394;98.5179
230;"InpharmaticaFilter;LINTFilter";83.622;-1.3964;98.3301
70;"BrenkFilter;NIBRFilter";83.622;-1.7009;97.966
81;"BrenkFilter;SureChEMBLFilter";83.622;-1.7661;97.888
69;"BrenkFilter;MolecularWeightFilter";83.622;-1.9231;97.7002
73;"BrenkFilter;PAINSFilter";83.622;-1.9666;97.6482
37;"BMSFilter;InpharmaticaFilter";83.622;-1.9739;97.6395
235;"InpharmaticaFilter;NIHFilter";83.622;-1.9739;97.6395
65;"BrenkFilter;InpharmaticaFilter";83.622;-1.9763;97.6367
1;"BeyondRo5Filter;BrenkFilter";83.622;-2.1985;97.3709
249;"InpharmaticaFilter;ZINCBasicFilter";83.622;-2.2082;97.3593
314;"MolecularWeightFilter;RuleOfFourFilter";83.622;-2.3556;97.1831
165;"GlaxoFilter;InpharmaticaFilter";83.622;-2.416;97.1108
371;"PAINSFilter;RuleOfFourFilter";83.622;-2.4619;97.0559
310;"MolecularWeightFilter;OpreaFilter";83.622;-2.4812;97.0328
275;"LipinskiFilter;OpreaFilter";83.622;-2.486;97.027
15;"BeyondRo5Filter;OpreaFilter";83.622;-2.4957;97.0155
272;"LipinskiFilter;MolecularWeightFilter";83.622;-2.5054;97.0039
361;"OpreaFilter;RuleOfVeberFilter";83.622;-2.5126;96.9953
396;"REOSFilter;TiceHerbicidesFilter";83.622;-2.5126;96.9953
231;"InpharmaticaFilter;LipinskiFilter";83.622;-2.5368;96.9664
323;"MolecularWeightFilter;ZINCBasicFilter";83.622;-2.5706;96.9259
243;"InpharmaticaFilter;RuleOfVeberFilter";83.622;-2.8605;96.5792
329;"NIBRFilter;REOSFilter";83.622;-2.8654;96.5734
362;"OpreaFilter;RuleOfXuFilter";83.622;-2.9088;96.5214
276;"LipinskiFilter;PAINSFilter";83.622;-2.9137;96.5157
428;"RuleOfVeberFilter;ValenceDiscoveryFilter";83.622;-2.9958;96.4174
367;"OpreaFilter;ZINCBasicFilter";83.622;-3.0151;96.3943
403;"RuleOfFourFilter;SureChEMBLFilter";83.622;-3.0248;96.3828
10;"BeyondRo5Filter;LipinskiFilter";83.622;-3.0417;96.3625
339;"NIBRFilter;ZINCBasicFilter";83.622;-3.1746;96.2036
393;"REOSFilter;RuleOfVeberFilter";83.622;-3.2519;96.1112
259;"LINTFilter;REOSFilter";83.622;-3.2761;96.0823
287;"LipinskiFilter;ValenceDiscoveryFilter";83.622;-3.3099;96.0418
356;"OpreaFilter;PAINSFilter";83.622;-3.351;95.9927
239;"InpharmaticaFilter;REOSFilter";83.622;-3.3896;95.9465
246;"InpharmaticaFilter;TiceHerbicidesFilter";83.622;-3.409;95.9234
19;"BeyondRo5Filter;RuleOfFourFilter";83.622;-3.4162;95.9147
380;"PAINSFilter;ZINCBasicFilter";83.622;-3.4524;95.8714
27;"BeyondRo5Filter;ValenceDiscoveryFilter";83.622;-3.479;95.8396
322;"MolecularWeightFilter;ValenceDiscoveryFilter";83.622;-3.5273;95.7818
278;"LipinskiFilter;REOSFilter";83.622;-3.566;95.7356
