;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
6;GlaxoFilter;91.032;1.3998;101.5377
24;RuleOfXuFilter;91.032;-0.5694;99.3745
13;MolecularWeightFilter;91.032;-0.7592;99.166
25;SureChEMBLFilter;91.032;-1.1151;98.7751
17;PAINSFilter;91.032;-1.8743;97.9411
0;BeyondRo5Filter;91.032;-2.2301;97.5502
14;NIBRFilter;91.032;-2.7758;96.9507
1;BMSFilter;91.032;-2.8944;96.8204
15;NIHFilter;91.032;-2.8944;96.8204
10;LINTFilter;91.032;-4.6263;94.9179
2;BrenkFilter;91.032;-5.2195;94.2664
9;InpharmaticaFilter;91.032;-5.3144;94.1621
29;ZINCBasicFilter;91.032;-5.8363;93.5887
11;LipinskiFilter;91.032;-6.1922;93.1978
18;PfizerFilter;91.032;-7.0937;92.2075
23;RuleOfVeberFilter;91.032;-7.9715;91.2432
16;OpreaFilter;91.032;-7.9953;91.2171
27;TiceInsecticidesFilter;91.032;-8.9442;90.1746
19;REOSFilter;91.032;-9.7034;89.3406
5;GhoseFilter;91.032;-12.3132;86.4738
7;GSKFilter;91.032;-12.6928;86.0568
28;ValenceDiscoveryFilter;91.032;-12.7402;86.0047
26;TiceHerbicidesFilter;91.032;-13.879;84.7537
8;HaoFilter;91.032;-14.2823;84.3107
12;MLSMRFilter;91.032;-16.6311;81.7305
20;RuleOfFourFilter;91.032;-22.6572;75.1108
30;ZINCDruglikeFilter;91.032;-25.694;71.7748
3;FAF4DruglikeFilter;91.032;-27.9478;69.2989
4;FAF4LeadlikeFilter;91.032;-35.8719;60.5942
21;RuleOfThreeFilter;91.032;-39.8814;56.1897
22;RuleOfTwoFilter;91.032;-43.1079;52.6453
