;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
173;"GlaxoFilter;PAINSFilter";91.032;0.1898;100.2085
181;"GlaxoFilter;SureChEMBLFilter";91.032;0.1186;100.1303
169;"GlaxoFilter;MolecularWeightFilter";91.032;-0.3321;99.6351
433;"RuleOfXuFilter;SureChEMBLFilter";91.032;-1.2574;98.6187
284;"LipinskiFilter;RuleOfXuFilter";91.032;-1.5184;98.332
319;"MolecularWeightFilter;RuleOfXuFilter";91.032;-1.5184;98.332
5;"BeyondRo5Filter;GlaxoFilter";91.032;-1.5421;98.306
12;"BeyondRo5Filter;MolecularWeightFilter";91.032;-2.2301;97.5502
170;"GlaxoFilter;NIBRFilter";91.032;-2.2776;97.498
378;"PAINSFilter;SureChEMBLFilter";91.032;-2.3013;97.472
45;"BMSFilter;PAINSFilter";91.032;-2.4437;97.3156
343;"NIHFilter;PAINSFilter";91.032;-2.4437;97.3156
180;"GlaxoFilter;RuleOfXuFilter";91.032;-2.5623;97.1853
312;"MolecularWeightFilter;PAINSFilter";91.032;-2.6335;97.1071
23;"BeyondRo5Filter;RuleOfXuFilter";91.032;-2.6335;97.1071
309;"MolecularWeightFilter;NIBRFilter";91.032;-2.8944;96.8204
43;"BMSFilter;NIHFilter";91.032;-2.8944;96.8204
310;"MolecularWeightFilter;NIHFilter";91.032;-2.9181;96.7944
41;"BMSFilter;MolecularWeightFilter";91.032;-2.9181;96.7944
437;"RuleOfXuFilter;ZINCBasicFilter";91.032;-3.0842;96.6119
320;"MolecularWeightFilter;SureChEMBLFilter";91.032;-3.4164;96.2471
426;"RuleOfVeberFilter;RuleOfXuFilter";91.032;-3.4875;96.1689
328;"NIBRFilter;PAINSFilter";91.032;-3.535;96.1168
377;"PAINSFilter;RuleOfXuFilter";91.032;-3.6062;96.0386
13;"BeyondRo5Filter;NIBRFilter";91.032;-3.6773;95.9604
171;"GlaxoFilter;NIHFilter";91.032;-3.9383;95.6737
34;"BMSFilter;GlaxoFilter";91.032;-3.9383;95.6737
258;"LINTFilter;PAINSFilter";91.032;-4.2467;95.3349
167;"GlaxoFilter;LipinskiFilter";91.032;-4.3179;95.2567
335;"NIBRFilter;RuleOfXuFilter";91.032;-4.3654;95.2046
24;"BeyondRo5Filter;SureChEMBLFilter";91.032;-4.5552;94.9961
350;"NIHFilter;RuleOfXuFilter";91.032;-4.6263;94.9179
52;"BMSFilter;RuleOfXuFilter";91.032;-4.6263;94.9179
165;"GlaxoFilter;InpharmaticaFilter";91.032;-4.6501;94.8918
265;"LINTFilter;RuleOfXuFilter";91.032;-4.7924;94.7355
16;"BeyondRo5Filter;PAINSFilter";91.032;-4.8161;94.7094
62;"BrenkFilter;GlaxoFilter";91.032;-4.8636;94.6573
336;"NIBRFilter;SureChEMBLFilter";91.032;-5.0297;94.4749
351;"NIHFilter;SureChEMBLFilter";91.032;-5.0534;94.4488
53;"BMSFilter;SureChEMBLFilter";91.032;-5.0534;94.4488
81;"BrenkFilter;SureChEMBLFilter";91.032;-5.1246;94.3706
185;"GlaxoFilter;ZINCBasicFilter";91.032;-5.172;94.3185
71;"BrenkFilter;NIHFilter";91.032;-5.2195;94.2664
30;"BMSFilter;BrenkFilter";91.032;-5.2195;94.2664
38;"BMSFilter;LINTFilter";91.032;-5.2906;94.1882
256;"LINTFilter;NIHFilter";91.032;-5.2906;94.1882
255;"LINTFilter;NIBRFilter";91.032;-5.3144;94.1621
69;"BrenkFilter;MolecularWeightFilter";91.032;-5.3144;94.1621
238;"InpharmaticaFilter;PAINSFilter";91.032;-5.5279;93.9275
0;"BeyondRo5Filter;BMSFilter";91.032;-5.5516;93.9015
14;"BeyondRo5Filter;NIHFilter";91.032;-5.5516;93.9015
246;"InpharmaticaFilter;SureChEMBLFilter";91.032;-5.6465;93.7972
254;"LINTFilter;MolecularWeightFilter";91.032;-5.6702;93.7712
70;"BrenkFilter;NIBRFilter";91.032;-5.6702;93.7712
324;"MolecularWeightFilter;ZINCBasicFilter";91.032;-5.7651;93.6669
166;"GlaxoFilter;LINTFilter";91.032;-5.8126;93.6148
1;"BeyondRo5Filter;BrenkFilter";91.032;-5.9786;93.4324
273;"LipinskiFilter;MolecularWeightFilter";91.032;-6.1447;93.2499
