;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
43;"BMSFilter;PAINSFilter";79.796;0.0716;100.0897
313;"NIHFilter;PAINSFilter";79.796;0.0716;100.0897
286;"MolecularWeightFilter;PAINSFilter";79.796;0.0537;100.0673
41;"BMSFilter;NIHFilter";79.796;0.0089;100.0112
284;"MolecularWeightFilter;NIHFilter";79.796;-0.0895;99.8879
39;"BMSFilter;MolecularWeightFilter";79.796;-0.0895;99.8879
221;"InpharmaticaFilter;PfizerFilter";79.796;-0.2237;99.7197
12;"BeyondRo5Filter;MolecularWeightFilter";79.796;-0.2819;99.6468
14;"BeyondRo5Filter;NIHFilter";79.796;-0.3042;99.6187
0;"BeyondRo5Filter;BMSFilter";79.796;-0.3042;99.6187
16;"BeyondRo5Filter;PAINSFilter";79.796;-0.34;99.5739
35;"BMSFilter;InpharmaticaFilter";79.796;-0.8411;98.946
218;"InpharmaticaFilter;NIHFilter";79.796;-0.8411;98.946
220;"InpharmaticaFilter;PAINSFilter";79.796;-0.9127;98.8562
216;"InpharmaticaFilter;MolecularWeightFilter";79.796;-1.0111;98.7329
336;"PAINSFilter;PfizerFilter";79.796;-1.1408;98.5703
8;"BeyondRo5Filter;InpharmaticaFilter";79.796;-1.4182;98.2227
44;"BMSFilter;PfizerFilter";79.796;-1.4361;98.2003
314;"NIHFilter;PfizerFilter";79.796;-1.4361;98.2003
40;"BMSFilter;NIBRFilter";79.796;-1.5435;98.0657
298;"NIBRFilter;NIHFilter";79.796;-1.5435;98.0657
283;"MolecularWeightFilter;NIBRFilter";79.796;-1.5838;98.0153
13;"BeyondRo5Filter;NIBRFilter";79.796;-1.5838;98.0153
300;"NIBRFilter;PAINSFilter";79.796;-1.6732;97.9031
287;"MolecularWeightFilter;PfizerFilter";79.796;-1.6822;97.8919
348;"PfizerFilter;RuleOfVeberFilter";79.796;-1.6956;97.8751
37;"BMSFilter;LipinskiFilter";79.796;-1.8701;97.6564
253;"LipinskiFilter;NIHFilter";79.796;-1.8701;97.6564
251;"LipinskiFilter;MolecularWeightFilter";79.796;-2.0625;97.4153
10;"BeyondRo5Filter;LipinskiFilter";79.796;-2.0669;97.4097
255;"LipinskiFilter;PAINSFilter";79.796;-2.1027;97.3649
354;"PfizerFilter;ZINCBasicFilter";79.796;-2.1161;97.3481
256;"LipinskiFilter;PfizerFilter";79.796;-2.4427;96.9388
235;"LINTFilter;NIBRFilter";79.796;-2.5054;96.8603
17;"BeyondRo5Filter;PfizerFilter";79.796;-2.5054;96.8603
214;"InpharmaticaFilter;LipinskiFilter";79.796;-2.5233;96.8379
239;"LINTFilter;PfizerFilter";79.796;-2.7693;96.5295
238;"LINTFilter;PAINSFilter";79.796;-2.7693;96.5295
70;"BrenkFilter;PfizerFilter";79.796;-2.8364;96.4454
340;"PAINSFilter;RuleOfXuFilter";79.796;-2.9035;96.3613
48;"BMSFilter;RuleOfXuFilter";79.796;-2.917;96.3445
318;"NIHFilter;RuleOfXuFilter";79.796;-2.917;96.3445
260;"LipinskiFilter;RuleOfXuFilter";79.796;-2.9304;96.3277
36;"BMSFilter;LINTFilter";79.796;-2.9483;96.3052
236;"LINTFilter;NIHFilter";79.796;-2.9483;96.3052
21;"BeyondRo5Filter;RuleOfXuFilter";79.796;-2.9662;96.2828
349;"PfizerFilter;RuleOfXuFilter";79.796;-2.9796;96.266
291;"MolecularWeightFilter;RuleOfXuFilter";79.796;-2.9796;96.266
234;"LINTFilter;MolecularWeightFilter";79.796;-2.9885;96.2548
252;"LipinskiFilter;NIBRFilter";79.796;-3.0691;96.1538
217;"InpharmaticaFilter;NIBRFilter";79.796;-3.0736;96.1482
9;"BeyondRo5Filter;LINTFilter";79.796;-3.2793;95.8903
225;"InpharmaticaFilter;RuleOfXuFilter";79.796;-3.4673;95.6549
67;"BrenkFilter;NIHFilter";79.796;-3.4851;95.6324
28;"BMSFilter;BrenkFilter";79.796;-3.4851;95.6324
65;"BrenkFilter;MolecularWeightFilter";79.796;-3.503;95.61
69;"BrenkFilter;PAINSFilter";79.796;-3.5657;95.5315
245;"LINTFilter;TiceHerbicidesFilter";79.796;-4.031;94.9484
62;"BrenkFilter;LINTFilter";79.796;-4.1696;94.7746
301;"NIBRFilter;PfizerFilter";79.796;-4.2099;94.7242
305;"NIBRFilter;RuleOfXuFilter";79.796;-4.2547;94.6681
213;"InpharmaticaFilter;LINTFilter";79.796;-4.2994;94.612
61;"BrenkFilter;InpharmaticaFilter";79.796;-4.456;94.4158
232;"LINTFilter;LipinskiFilter";79.796;-4.4605;94.4102
1;"BeyondRo5Filter;BrenkFilter";79.796;-4.5589;94.2868
53;"BMSFilter;ZINCBasicFilter";79.796;-4.5634;94.2812
323;"NIHFilter;ZINCBasicFilter";79.796;-4.5634;94.2812
296;"MolecularWeightFilter;ZINCBasicFilter";79.796;-4.5723;94.27
345;"PAINSFilter;ZINCBasicFilter";79.796;-4.7065;94.1018
26;"BeyondRo5Filter;ZINCBasicFilter";79.796;-4.7289;94.0738
317;"NIHFilter;RuleOfVeberFilter";79.796;-4.7423;94.057
47;"BMSFilter;RuleOfVeberFilter";79.796;-4.7423;94.057
20;"BeyondRo5Filter;RuleOfVeberFilter";79.796;-4.8273;93.9504
304;"NIBRFilter;RuleOfVeberFilter";79.796;-4.8542;93.9168
290;"MolecularWeightFilter;RuleOfVeberFilter";79.796;-4.8899;93.8719
339;"PAINSFilter;RuleOfVeberFilter";79.796;-4.9705;93.771
63;"BrenkFilter;LipinskiFilter";79.796;-5.0018;93.7318
351;"PfizerFilter;TiceHerbicidesFilter";79.796;-5.0197;93.7094
66;"BrenkFilter;NIBRFilter";79.796;-5.0286;93.6981
353;"PfizerFilter;ValenceDiscoveryFilter";79.796;-5.0331;93.6925
224;"InpharmaticaFilter;RuleOfVeberFilter";79.796;-5.3105;93.3449
310;"NIBRFilter;ZINCBasicFilter";79.796;-5.3597;93.2832
243;"LINTFilter;RuleOfXuFilter";79.796;-5.3776;93.2608
392;"TiceHerbicidesFilter;ZINCBasicFilter";79.796;-5.5476;93.0478
230;"InpharmaticaFilter;ZINCBasicFilter";79.796;-5.5879;92.9973
307;"NIBRFilter;TiceHerbicidesFilter";79.796;-5.6594;92.9076
50;"BMSFilter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
320;"NIHFilter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
262;"LipinskiFilter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
293;"MolecularWeightFilter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
23;"BeyondRo5Filter;TiceHerbicidesFilter";79.796;-5.7355;92.8123
342;"PAINSFilter;TiceHerbicidesFilter";79.796;-5.8652;92.6497
374;"RuleOfVeberFilter;TiceHerbicidesFilter";79.796;-5.9503;92.5432
372;"RuleOfVeberFilter;RuleOfXuFilter";79.796;-6.165;92.2741
397;"ValenceDiscoveryFilter;ZINCBasicFilter";79.796;-6.1874;92.246
376;"RuleOfVeberFilter;ValenceDiscoveryFilter";79.796;-6.2768;92.1339
52;"BMSFilter;ValenceDiscoveryFilter";79.796;-6.42;91.9545
322;"NIHFilter;ValenceDiscoveryFilter";79.796;-6.42;91.9545
377;"RuleOfVeberFilter;ZINCBasicFilter";79.796;-6.4469;91.9208
344;"PAINSFilter;ValenceDiscoveryFilter";79.796;-6.4871;91.8704
25;"BeyondRo5Filter;ValenceDiscoveryFilter";79.796;-6.514;91.8367
295;"MolecularWeightFilter;ValenceDiscoveryFilter";79.796;-6.514;91.8367
74;"BrenkFilter;RuleOfXuFilter";79.796;-6.6213;91.7022
259;"LipinskiFilter;RuleOfVeberFilter";79.796;-6.7555;91.534
391;"TiceHerbicidesFilter;ValenceDiscoveryFilter";79.796;-6.8316;91.4387
309;"NIBRFilter;ValenceDiscoveryFilter";79.796;-6.8987;91.3546
383;"RuleOfXuFilter;ZINCBasicFilter";79.796;-6.9121;91.3377
265;"LipinskiFilter;ZINCBasicFilter";79.796;-6.9569;91.2817
227;"InpharmaticaFilter;TiceHerbicidesFilter";79.796;-6.9837;91.248
229;"InpharmaticaFilter;ValenceDiscoveryFilter";79.796;-7.1537;91.035
264;"LipinskiFilter;ValenceDiscoveryFilter";79.796;-7.1671;91.0182
382;"RuleOfXuFilter;ValenceDiscoveryFilter";79.796;-7.7532;90.2837
360;"REOSFilter;TiceHerbicidesFilter";79.796;-8.0709;89.8856
73;"BrenkFilter;RuleOfVeberFilter";79.796;-8.2275;89.6894
79;"BrenkFilter;ZINCBasicFilter";79.796;-8.308;89.5885
380;"RuleOfXuFilter;TiceHerbicidesFilter";79.796;-8.3482;89.538
76;"BrenkFilter;TiceHerbicidesFilter";79.796;-8.5451;89.2913
78;"BrenkFilter;ValenceDiscoveryFilter";79.796;-9.583;87.9906
242;"LINTFilter;RuleOfVeberFilter";79.796;-9.923;87.5645
168;"GlaxoFilter;TiceHerbicidesFilter";79.796;-10.7105;86.5777
347;"PfizerFilter;REOSFilter";79.796;-10.7865;86.4824
