;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
86;TiceInsecticidesFilter;3.2938;2.4575;74.60990308517724
78;REOSFilter;3.2938;2.4696;74.9770198420729
87;ValenceDiscoveryFilter;3.2938;2.4802;75.29935419573019
75;OpreaFilter;3.2938;2.5496;77.40670671396882
64;FAF4LeadlikeFilter;3.2938;2.614;79.36130325184905
83;RuleOfXuFilter;3.2938;2.6222;79.61163898326554
65;GhoseFilter;3.2938;2.69;81.67090559133618
85;TiceHerbicidesFilter;3.2938;2.718;82.51842097668612
63;FAF4DruglikeFilter;3.2938;2.7874;84.62684232495764
89;ZINCDruglikeFilter;3.2938;2.8708;87.16015308104865
66;GlaxoFilter;3.2938;2.8731;87.22998100633954
79;RuleOfFourFilter;3.2938;2.8786;87.39654530546999
61;BMSFilter;3.2938;2.8888;87.70580924883957
74;NIHFilter;3.2938;2.8888;87.70580924883957
60;BeyondRo5Filter;3.2938;2.922;88.71382620519815
77;PfizerFilter;3.2938;2.9453;89.4192589649098
76;PAINSFilter;3.2938;2.948;89.50354481808506
84;SureChEMBLFilter;3.2938;2.9987;91.04154773026023
68;HaoFilter;3.2938;3.0189;91.65424219057418
71;LipinskiFilter;3.2938;3.0308;92.01564594385651
80;RuleOfThreeFilter;3.2938;3.0624;92.97510282813093
62;BrenkFilter;3.2938;3.0712;93.24342365268112
73;NIBRFilter;3.2938;3.1162;94.60912228685076
69;InpharmaticaFilter;3.2938;3.1341;95.15356611317411
70;LINTFilter;3.2938;3.1362;95.21714315611148
88;ZINCBasicFilter;3.2938;3.2072;97.37168307642455
82;RuleOfVeberFilter;3.2938;3.2391;98.3417042849494
72;MLSMRFilter;3.2938;3.2699;99.2761627586142
67;GSKFilter;3.2938;3.3719;102.37150433628845
81;RuleOfTwoFilter;3.2938;3.6844;111.85965134149866
