;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
32;BMSFilter;1.0169;0.9362;92.05491741228104
46;NIHFilter;1.0169;0.9362;92.05491741228104
33;BrenkFilter;1.0169;0.9437;92.79482229043133
60;ZINCBasicFilter;1.0169;0.9527;93.68278449870652
31;BeyondRo5Filter;1.0169;0.9611;94.51065532222944
56;SureChEMBLFilter;1.0169;0.9654;94.9346733942418
45;NIBRFilter;1.0169;0.9746;95.83799540481105
48;PAINSFilter;1.0169;0.9768;96.04890814461986
58;TiceInsecticidesFilter;1.0169;0.9805;96.41968820306589
42;LipinskiFilter;1.0169;0.9806;96.42239710044845
37;GlaxoFilter;1.0169;0.9887;97.2248702286194
61;ZINCDruglikeFilter;1.0169;0.9922;97.5712154716388
54;RuleOfVeberFilter;1.0169;1.009;99.21816174690044
36;GhoseFilter;1.0169;1.0122;99.53181759798609
35;FAF4LeadlikeFilter;1.0169;1.0173;100.03220962095531
50;REOSFilter;1.0169;1.0174;100.04731229871362
43;MLSMRFilter;1.0169;1.0184;100.14544848731946
44;MolecularWeightFilter;1.0169;1.0242;100.71064785964143
47;OpreaFilter;1.0169;1.0447;102.72896254506452
40;InpharmaticaFilter;1.0169;1.045;102.76167746472989
34;FAF4DruglikeFilter;1.0169;1.0505;103.29711665657942
57;TiceHerbicidesFilter;1.0169;1.0511;103.35894653001839
59;ValenceDiscoveryFilter;1.0169;1.0609;104.32299183227755
55;RuleOfXuFilter;1.0169;1.0855;106.73902770113797
39;HaoFilter;1.0169;1.0876;106.94487763353264
38;GSKFilter;1.0169;1.0909;107.26975979970368
51;RuleOfFourFilter;1.0169;1.128;110.92052422451171
41;LINTFilter;1.0169;1.1429;112.38352857440591
49;PfizerFilter;1.0169;1.1542;113.49445618187816
52;RuleOfThreeFilter;1.0169;1.1795;115.97958563706268
53;RuleOfTwoFilter;1.0169;1.3068;128.50074716015385
