;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
764;MolecularWeightFilter, ZINCBasicFilter;1.1582;1.016;87.72056901314093
629;GlaxoFilter, ZINCBasicFilter;1.1519;1.0169;88.28439323406874
730;LipinskiFilter, ZINCBasicFilter;1.1626;1.0352;89.03548552570231
451;BeyondRo5Filter, GlaxoFilter;1.2011;1.0837;90.22734451365557
869;RuleOfVeberFilter, ZINCBasicFilter;1.158;1.0513;90.78474787155632
891;ZINCBasicFilter, ZINCDruglikeFilter;1.1524;1.0609;92.06273543397067
474;BeyondRo5Filter, ZINCBasicFilter;1.1608;1.0789;92.93756403560405
821;PAINSFilter, ZINCBasicFilter;1.113;1.0394;93.39094937964693
630;GlaxoFilter, ZINCDruglikeFilter;1.1735;1.0981;93.57483276136789
613;GlaxoFilter, MolecularWeightFilter;1.2025;1.1262;93.65763965029612
714;LipinskiFilter, MolecularWeightFilter;1.1919;1.1201;93.97274997755446
617;GlaxoFilter, PAINSFilter;1.1974;1.1358;94.85561206153292
623;GlaxoFilter, RuleOfVeberFilter;1.187;1.1305;95.23962159089128
611;GlaxoFilter, LipinskiFilter;1.1841;1.1371;96.03399690705547
870;RuleOfVeberFilter, ZINCDruglikeFilter;1.1277;1.1172;99.07102233296024
731;LipinskiFilter, ZINCDruglikeFilter;1.1352;1.1337;99.86701298401826
765;MolecularWeightFilter, ZINCDruglikeFilter;1.1352;1.1337;99.86701298401826
475;BeyondRo5Filter, ZINCDruglikeFilter;1.1301;1.1558;102.27560303995702
742;MLSMRFilter, RuleOfXuFilter;1.8026;1.8691;103.68990458603773
822;PAINSFilter, ZINCDruglikeFilter;1.1375;1.1934;104.9126551103843
718;LipinskiFilter, PAINSFilter;1.2062;1.2882;106.80432737200762
747;MLSMRFilter, ZINCBasicFilter;1.3062;1.3969;106.94017299703471
741;MLSMRFilter, RuleOfVeberFilter;1.3195;1.4121;107.0154511351771
760;MolecularWeightFilter, SureChEMBLFilter;1.2298;1.318;107.17455734701727
511;BrenkFilter, InpharmaticaFilter;1.3518;1.452;107.41271184052184
457;BeyondRo5Filter, MLSMRFilter;1.3089;1.4125;107.90955395696594
736;MLSMRFilter, PAINSFilter;1.3081;1.4124;107.97210538142107
612;GlaxoFilter, MLSMRFilter;1.3081;1.4124;107.97210538142107
732;MLSMRFilter, MolecularWeightFilter;1.3081;1.4124;107.97210538142107
