;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
497;BMSFilter, MolecularWeightFilter;1.0169;0.9251;90.96552604714513
766;MolecularWeightFilter, NIHFilter;1.0169;0.9251;90.96552604714513
499;BMSFilter, NIHFilter;1.0169;0.9362;92.05491741228104
542;BrenkFilter, ZINCDruglikeFilter;1.0169;0.9446;92.88675884167577
470;BeyondRo5Filter, NIHFilter;1.0169;0.9446;92.88679741110418
456;BeyondRo5Filter, BMSFilter;1.0169;0.9446;92.88679741110418
796;NIBRFilter, ZINCBasicFilter;1.0169;0.945;92.92580535011507
857;REOSFilter, TiceInsecticidesFilter;1.0169;0.9456;92.98878125738716
896;RuleOfXuFilter, ZINCDruglikeFilter;1.0169;0.9512;93.5316516618723
780;MolecularWeightFilter, ZINCBasicFilter;1.0169;0.9527;93.68278449870652
906;TiceInsecticidesFilter, ValenceDiscoveryFilter;1.0169;0.9534;93.75478340219193
529;BrenkFilter, PAINSFilter;1.0169;0.9549;93.89675534380126
626;GlaxoFilter, NIBRFilter;1.0169;0.956;94.0088979188036
493;BMSFilter, InpharmaticaFilter;1.0169;0.9603;94.42473478072945
692;InpharmaticaFilter, NIHFilter;1.0169;0.9603;94.42473478072945
553;FAF4DruglikeFilter, NIBRFilter;1.0169;0.9606;94.45788485563429
468;BeyondRo5Filter, MolecularWeightFilter;1.0169;0.9611;94.51065532222944
631;GlaxoFilter, REOSFilter;1.0169;0.9618;94.5805507382517
694;InpharmaticaFilter, PAINSFilter;1.0169;0.9619;94.58610025450224
479;BeyondRo5Filter, RuleOfXuFilter;1.0169;0.962;94.59861050476908
637;GlaxoFilter, SureChEMBLFilter;1.0169;0.9644;94.83226883624214
625;GlaxoFilter, MolecularWeightFilter;1.0169;0.967;95.08520642570434
832;PAINSFilter, RuleOfVeberFilter;1.0169;0.9682;95.20685176755744
511;BMSFilter, TiceInsecticidesFilter;1.0169;0.9687;95.25450430801529
809;NIHFilter, TiceInsecticidesFilter;1.0169;0.9687;95.25450430801529
536;BrenkFilter, RuleOfXuFilter;1.0169;0.9687;95.2573899329107
480;BeyondRo5Filter, SureChEMBLFilter;1.0169;0.969;95.28446621486036
537;BrenkFilter, SureChEMBLFilter;1.0169;0.9698;95.36173126036569
740;LipinskiFilter, RuleOfXuFilter;1.0169;0.9702;95.40764081451299
786;NIBRFilter, REOSFilter;1.0169;0.9715;95.53016948957303
