;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
86;RuleOfXuFilter;348130841015.0978;281581062897.8752;80.88368789068694
76;NIBRFilter;348130841015.0978;281880434402.9831;80.96968185325427
63;BMSFilter;348130841015.0978;301807893612.5406;86.69381107761487
75;MolecularWeightFilter;348130841015.0978;311381299657.7815;89.44375590218894
91;ZINCBasicFilter;348130841015.0978;353571156216.5;101.56272141403477
77;NIHFilter;348130841015.0978;383324451404.9782;110.10930553790092
62;BeyondRo5Filter;348130841015.0978;385608828660.5618;110.76548907192014
90;ValenceDiscoveryFilter;348130841015.0978;409459771130.8961;117.61663228025769
79;PAINSFilter;348130841015.0978;422604832289.2859;121.39252904368743
74;MLSMRFilter;348130841015.0978;439705643239.0916;126.3047082978846
71;InpharmaticaFilter;348130841015.0978;448954812384.8759;128.96151661708296
87;SureChEMBLFilter;348130841015.0978;482709136110.3928;138.65738947542962
64;BrenkFilter;348130841015.0978;513288795325.9118;147.44134527961901
68;GlaxoFilter;348130841015.0978;520100863856.1897;149.39810053589417
85;RuleOfVeberFilter;348130841015.0978;530281869671.7758;152.32257737509053
67;GhoseFilter;348130841015.0978;530575779312.5082;152.40700242627975
81;REOSFilter;348130841015.0978;536956264398.4738;154.23978606227163
73;LipinskiFilter;348130841015.0978;567996105388.857;163.15592830921412
78;OpreaFilter;348130841015.0978;601682951795.3512;172.83241842088256
72;LINTFilter;348130841015.0978;666746353782.2113;191.5217714805382
89;TiceInsecticidesFilter;348130841015.0978;722560041616.9167;207.55415966882998
65;FAF4DruglikeFilter;348130841015.0978;731042634686.8262;209.9907702963675
88;TiceHerbicidesFilter;348130841015.0978;740454719047.0228;212.6943757375724
92;ZINCDruglikeFilter;348130841015.0978;741004576345.6808;212.8523213240808
69;GSKFilter;348130841015.0978;824175599146.3027;236.74305808216508
70;HaoFilter;348130841015.0978;825789904789.3114;237.20676466969454
80;PfizerFilter;348130841015.0978;2009121905895.0327;577.1168966348204
82;RuleOfFourFilter;348130841015.0978;2094922901628.4343;601.7630887053703
66;FAF4LeadlikeFilter;348130841015.0978;2321790029125.1714;666.9302904491819
83;RuleOfThreeFilter;348130841015.0978;2413707193212.507;693.3333416179088
84;RuleOfTwoFilter;348130841015.0978;7597507783914.003;2182.3713641000036
