;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1304;RuleOfTwoFilter, RuleOfXuFilter;1527574591.6454;10695400.6218;0.7001557030508945
1020;FAF4LeadlikeFilter, RuleOfTwoFilter;2678578336139.304;73806809108.568;2.7554471009030657
1210;MolecularWeightFilter, ZINCBasicFilter;4358456165511.242;705306523944.1158;16.182485200270087
1247;OpreaFilter, RuleOfTwoFilter;50380735.5623;10039339.289;19.926940678725476
1280;REOSFilter, RuleOfThreeFilter;4362675333293.6665;1016946370299.6536;23.310154724071452
1125;InpharmaticaFilter, NIHFilter;7769924927493.381;1855639494659.648;23.882334925702907
1271;PfizerFilter, RuleOfTwoFilter;17613825229.3943;4294620761.4321;24.38210159065905
959;BrenkFilter, LipinskiFilter;3676531014566.2534;1028059024051.2656;27.962745859565473
934;BMSFilter, NIBRFilter;7966246377865.89;2348231323402.9053;29.477262088295873
1011;FAF4LeadlikeFilter, MLSMRFilter;3487909533493.748;1066701962380.8173;30.582844885667942
952;BrenkFilter, FAF4LeadlikeFilter;2902751875694.633;902524586978.4028;31.092033547043265
985;FAF4DruglikeFilter, LipinskiFilter;2641484628628.9136;838270491261.3546;31.734823749342294
1237;NIHFilter, SureChEMBLFilter;3258131167266.516;1070510608575.7982;32.85658414648566
893;BeyondRo5Filter, BrenkFilter;3565150450554.9414;1199535452920.6924;33.646138348354306
1316;RuleOfVeberFilter, ZINCDruglikeFilter;2680499773329.5728;934743431060.5212;34.871983216004274
920;BeyondRo5Filter, ZINCBasicFilter;3248412680354.941;1137034553577.6008;35.00277413808647
1194;MLSMRFilter, ZINCDruglikeFilter;7516981392509.272;2773113941149.456;36.891323742172425
1206;MolecularWeightFilter, SureChEMBLFilter;3651113503720.673;1359203746766.088;37.22710196166153
937;BMSFilter, PAINSFilter;2421068276668.3994;961989004022.5269;39.734071661386906
1298;RuleOfThreeFilter, TiceHerbicidesFilter;3880620606451.6377;1557935604624.534;40.14655805399847
1007;FAF4LeadlikeFilter, HaoFilter;3946161547269.7344;1586504889348.7356;40.203749145708564
895;BeyondRo5Filter, FAF4LeadlikeFilter;2656894756283.1406;1142550359715.869;43.00322235248182
1053;GlaxoFilter, GSKFilter;3335539977612.272;1470337449691.4358;44.080942203066286
998;FAF4DruglikeFilter, SureChEMBLFilter;3960713538270.412;1748736760546.6362;44.15206360292052
1097;GSKFilter, ZINCBasicFilter;5856750891369.7;2600374345727.063;44.399606436375535
1207;MolecularWeightFilter, TiceHerbicidesFilter;3050009636306.279;1365707379206.9507;44.777149650612046
897;BeyondRo5Filter, GlaxoFilter;3040834925271.7383;1380478542765.3606;45.39800997721034
1311;RuleOfVeberFilter, SureChEMBLFilter;2678821949174.424;1220446980158.777;45.55909288912994
950;BMSFilter, ZINCDruglikeFilter;2499918663765.603;1141728782346.5625;45.6706371649223
908;BeyondRo5Filter, PAINSFilter;1807512847481.1;829063229991.6769;45.86762584548356
1084;GSKFilter, NIHFilter;4053232861116.065;1864218521589.6428;45.99337332610905
922;BMSFilter, BrenkFilter;4056744495688.372;1911618250497.9272;47.12197804248336
1287;REOSFilter, ZINCBasicFilter;2276629878457.903;1081094789548.8932;47.48662923993527
1283;REOSFilter, SureChEMBLFilter;2286102694609.9165;1088434080740.2314;47.61090056481272
1268;PAINSFilter, ZINCDruglikeFilter;4330854408006.104;2065098951151.8865;47.6834073972633
944;BMSFilter, RuleOfXuFilter;2518375119368.795;1214641452744.7317;48.2311568043592
1279;PfizerFilter, ZINCDruglikeFilter;3196190801311.459;1568950903806.2236;49.08814902922731
1021;FAF4LeadlikeFilter, RuleOfVeberFilter;2498820539233.658;1227514602519.9236;49.12375991980518
962;BrenkFilter, NIBRFilter;3311027845139.0728;1638082951288.912;49.47354803112832
1266;PAINSFilter, ValenceDiscoveryFilter;2363297034886.7324;1177482632028.1396;49.82372569534298
1064;GlaxoFilter, PfizerFilter;2292421518126.9253;1149670515169.1218;50.15092146353983
1047;GhoseFilter, SureChEMBLFilter;2106282113745.264;1065854802145.2502;50.60361075041422
1159;LipinskiFilter, MLSMRFilter;4439151845018.663;2248282991700.5293;50.64667914487789
943;BMSFilter, RuleOfVeberFilter;2963312059108.845;1521394572457.5596;51.34101782432888
1078;GSKFilter, InpharmaticaFilter;2421295348389.704;1254904405130.796;51.82781216530966
1229;NIHFilter, PAINSFilter;2798861487924.974;1460278745964.4463;52.17402691288846
1072;GlaxoFilter, TiceHerbicidesFilter;2987927886095.511;1561598899988.9536;52.263607406856806
1264;PAINSFilter, TiceHerbicidesFilter;1925525890989.0547;1008682483434.1556;52.38477904423511
1038;GhoseFilter, NIHFilter;2364635230184.74;1238772524033.1165;52.38746797899716
1014;FAF4LeadlikeFilter, NIHFilter;2228994981855.0054;1174630879714.5208;52.69778035735971
903;BeyondRo5Filter, MLSMRFilter;4269672661631.128;2316780920129.013;54.261324081081696
1135;InpharmaticaFilter, TiceHerbicidesFilter;2433640487882.453;1324098734410.1868;54.408148656431365
932;BMSFilter, MLSMRFilter;3655556590685.3887;1999217726928.368;54.68983114698629
1223;NIBRFilter, TiceHerbicidesFilter;2178489184739.42;1199298279639.9978;55.051835374773816
1157;LINTFilter, ZINCBasicFilter;3595273513845.156;1979934525242.6528;55.070484001232686
1028;FAF4LeadlikeFilter, ZINCDruglikeFilter;1942266661172.2148;1078302811898.9252;55.51775322386155
917;BeyondRo5Filter, TiceHerbicidesFilter;2372456975472.211;1318731013506.663;55.58503387586974
1175;LipinskiFilter, ValenceDiscoveryFilter;2119465639093.4976;1178900352516.388;55.62252724326342
1178;MLSMRFilter, MolecularWeightFilter;3982689459922.906;2233961883081.9946;56.091791879883054
1003;FAF4DruglikeFilter, ZINCDruglikeFilter;2787202283626.3896;1564195813992.6875;56.12064194915678
1126;InpharmaticaFilter, OpreaFilter;2381084434514.5894;1337918835073.6794;56.189474664573545
1085;GSKFilter, OpreaFilter;1804666311160.3003;1015755503485.7108;56.28494848073251
1184;MLSMRFilter, REOSFilter;1851436448573.7793;1046011907789.1188;56.4973163726411
1075;GlaxoFilter, ZINCBasicFilter;2120328313059.3027;1200073959438.7231;56.59849713119208
997;FAF4DruglikeFilter, RuleOfXuFilter;2124426589661.202;1210484876733.0918;56.97936952136043
1116;HaoFilter, TiceInsecticidesFilter;2233035219409.217;1275454720202.3826;57.117537113446126
972;BrenkFilter, SureChEMBLFilter;3132546762710.376;1793742918082.7795;57.261488940416584
1145;LINTFilter, OpreaFilter;2319456077493.6084;1331400241113.286;57.40139914837231
1006;FAF4LeadlikeFilter, GSKFilter;1929084087576.9775;1109967997698.6653;57.5386010825914
1102;HaoFilter, MLSMRFilter;3233308221730.377;1871218146678.2493;57.8731756565053
1030;GhoseFilter, GSKFilter;2321053638608.858;1343640795758.3882;57.88926086877122
1123;InpharmaticaFilter, MolecularWeightFilter;2161770193882.1985;1252761636956.6208;57.95073132666606
1023;FAF4LeadlikeFilter, SureChEMBLFilter;2355513875983.4663;1366942783416.3647;58.031616682607876
1192;MLSMRFilter, ValenceDiscoveryFilter;2018259119467.5576;1172587302973.6755;58.098947338487385
981;FAF4DruglikeFilter, GSKFilter;3094273532405.3306;1801507320024.5305;58.22068738131663
1141;LINTFilter, MLSMRFilter;2903832778022.781;1694220129078.9192;58.34427319304913
1233;NIHFilter, RuleOfThreeFilter;7658772492258.741;4477459946591.12;58.46184817628156
1204;MolecularWeightFilter, RuleOfVeberFilter;1671739168003.5732;978442634125.7888;58.528426733834685
1000;FAF4DruglikeFilter, TiceInsecticidesFilter;2085406726685.2507;1224084600583.4285;58.69764324243397
1215;NIBRFilter, PfizerFilter;2208568595780.099;1298573613407.0427;58.79706955392832
975;BrenkFilter, ValenceDiscoveryFilter;1912390596347.2249;1131180530064.431;59.15007803453176
1076;GlaxoFilter, ZINCDruglikeFilter;2283085436712.7026;1350540508429.3696;59.154181736358645
1138;InpharmaticaFilter, ZINCBasicFilter;2328662322096.082;1381488322429.619;59.32540365861675
1151;LINTFilter, RuleOfVeberFilter;4045874519537.36;2400427758605.816;59.33025720432629
1193;MLSMRFilter, ZINCBasicFilter;3423596554653.3003;2044610970564.998;59.72114231117548
966;BrenkFilter, PfizerFilter;3740857187819.683;2234159390037.4834;59.72319385278747
1059;GlaxoFilter, MolecularWeightFilter;2770087935055.5103;1654953095877.684;59.74370253500708
1332;TiceInsecticidesFilter, ValenceDiscoveryFilter;2090293335686.546;1250612559465.9666;59.829524311965024
1100;HaoFilter, LINTFilter;3828518378867.406;2291358772352.948;59.84975245256111
1054;GlaxoFilter, HaoFilter;3047865596000.8887;1825331876999.2769;59.88885728407115
1166;LipinskiFilter, REOSFilter;2055875793043.812;1232427229691.129;59.94658013198685
1052;GhoseFilter, ZINCDruglikeFilter;2303616468274.393;1388196706068.7798;60.261624501610655
1034;GhoseFilter, LipinskiFilter;2025863607791.8853;1221280305845.944;60.28442888004161
996;FAF4DruglikeFilter, RuleOfVeberFilter;2837820220498.9653;1715608559382.1533;60.455153113275905
904;BeyondRo5Filter, MolecularWeightFilter;3142963035442.8843;1915314078211.8467;60.93975833037292
1129;InpharmaticaFilter, REOSFilter;1790004312550.6958;1094465653101.5748;61.14318526652029
991;FAF4DruglikeFilter, PAINSFilter;2419248085908.5728;1482744086867.7085;61.28945995676376
896;BeyondRo5Filter, GhoseFilter;2051272718737.7876;1257895892815.1462;61.32270376945144
1136;InpharmaticaFilter, TiceInsecticidesFilter;2171539065854.968;1332317779750.1323;61.353617841803754
978;FAF4DruglikeFilter, FAF4LeadlikeFilter;2216269267869.709;1367018577917.0735;61.681069071135916
1073;GlaxoFilter, TiceInsecticidesFilter;2028592976860.704;1251269681763.1738;61.68165304897898
1115;HaoFilter, TiceHerbicidesFilter;2502307354618.969;1548713411551.104;61.89141428579341
1249;OpreaFilter, RuleOfXuFilter;2112664254478.8628;1308680615983.1123;61.94456185873833
1295;RuleOfThreeFilter, RuleOfVeberFilter;5587282547779.957;3467817696592.012;62.06626686473749
1029;GhoseFilter, GlaxoFilter;2289748098048.546;1426716903067.187;62.30890220121229
1250;OpreaFilter, SureChEMBLFilter;1781481092961.6062;1117109094199.417;62.70676116704049
1039;GhoseFilter, OpreaFilter;1935360158474.5369;1216762642956.464;62.87008842403391
1265;PAINSFilter, TiceInsecticidesFilter;2094149440247.4285;1317928754358.4937;62.93384459720207
