;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1159;PfizerFilter, RuleOfTwoFilter;482070154095.9755;2.1405;4.4402935650318243e-10
1113;NIBRFilter, ZINCBasicFilter;482070154095.9755;252457382879.1599;52.3694281286906
1085;MolecularWeightFilter, PAINSFilter;482070154095.9755;264301451210.7948;54.826346116871385
940;GlaxoFilter, LipinskiFilter;482070154095.9755;268547106469.5825;55.70705927090383
1128;NIHFilter, ZINCBasicFilter;482070154095.9755;289609737358.7494;60.0762637757265
1170;REOSFilter, RuleOfVeberFilter;482070154095.9755;291985677139.5556;60.56912560519646
943;GlaxoFilter, NIBRFilter;482070154095.9755;293441221117.892;60.87106173751439
1056;LipinskiFilter, RuleOfVeberFilter;482070154095.9755;295071375899.5586;61.20921890568085
1123;NIHFilter, RuleOfXuFilter;482070154095.9755;309542269455.5844;64.21104207043639
1082;MolecularWeightFilter, NIBRFilter;482070154095.9755;313155483842.8684;64.96056252022652
1080;MLSMRFilter, ZINCBasicFilter;482070154095.9755;315970932861.2599;65.544595569041
1092;MolecularWeightFilter, RuleOfXuFilter;482070154095.9755;316073792726.3042;65.56593268443184
1558;BeyondRo5Filter, MolecularWeightFilter;427781094874.2798;280757720871.3308;65.63116608831031
1091;MolecularWeightFilter, RuleOfVeberFilter;482070154095.9755;317376763838.8994;65.83621930174768
1616;BrenkFilter, NIBRFilter;427781094874.2798;283451257745.6088;66.26081917643229
1580;BMSFilter, GlaxoFilter;427781094874.2798;283676424284.3564;66.3134551020133
1122;NIHFilter, RuleOfVeberFilter;482070154095.9755;331578621971.3174;68.78223411136615
1217;SureChEMBLFilter, ZINCBasicFilter;482070154095.9755;331639308393.2678;68.79482282307848
1108;NIBRFilter, RuleOfXuFilter;482070154095.9755;331976925350.637;68.86485764155887
954;GlaxoFilter, SureChEMBLFilter;482070154095.9755;338193428876.1745;70.15440097310888
942;GlaxoFilter, MolecularWeightFilter;482070154095.9755;341007376008.8106;70.73812247271367
1116;NIHFilter, PAINSFilter;482070154095.9755;343779238375.0928;71.31311396362648
1098;MolecularWeightFilter, ZINCDruglikeFilter;482070154095.9755;345487407334.1236;71.6674542903439
1570;BeyondRo5Filter, SureChEMBLFilter;427781094874.2798;310180102212.6186;72.50907202988414
1559;BeyondRo5Filter, NIBRFilter;427781094874.2798;315790811055.0672;73.82065613438917
1046;LipinskiFilter, MolecularWeightFilter;482070154095.9755;357743623610.8581;74.20986770727042
1212;RuleOfXuFilter, ZINCBasicFilter;482070154095.9755;368080521713.3189;76.3541402814242
1083;MolecularWeightFilter, NIHFilter;482070154095.9755;370483676140.659;76.8526474814492
1150;PAINSFilter, RuleOfXuFilter;482070154095.9755;377571625687.8968;78.32296243187996
1062;LipinskiFilter, ZINCBasicFilter;482070154095.9755;379309216570.8862;78.6834060038841
1101;NIBRFilter, PAINSFilter;482070154095.9755;385829467162.4795;80.0359582281181
1597;BMSFilter, RuleOfVeberFilter;427781094874.2798;343435348747.6151;80.28296548461242
1107;NIBRFilter, RuleOfVeberFilter;482070154095.9755;389651211461.7019;80.82873584912417
1201;RuleOfVeberFilter, RuleOfXuFilter;482070154095.9755;390652672216.8814;81.03647755366042
944;GlaxoFilter, NIHFilter;482070154095.9755;400254029132.326;83.0281704294515
1547;BeyondRo5Filter, BrenkFilter;427781094874.2798;358876668606.6448;83.89259668244917
1207;RuleOfVeberFilter, ZINCDruglikeFilter;482070154095.9755;405540772734.7116;84.12484558294649
958;GlaxoFilter, ZINCBasicFilter;482070154095.9755;405941716100.5368;84.20801674847469
1568;BeyondRo5Filter, RuleOfVeberFilter;427781094874.2798;360438509284.5018;84.25769946435588
1631;BrenkFilter, ZINCBasicFilter;427781094874.2798;361839711089.7842;84.58525059320935
1569;BeyondRo5Filter, RuleOfXuFilter;427781094874.2798;366407118956.8681;85.65294804917716
1576;BMSFilter, BrenkFilter;427781094874.2798;368099749789.2578;86.04862491584355
1149;PAINSFilter, RuleOfVeberFilter;482070154095.9755;415591247983.8444;86.20970297636477
1573;BeyondRo5Filter, ValenceDiscoveryFilter;427781094874.2798;370213480999.9651;86.54274006867153
1213;RuleOfXuFilter, ZINCDruglikeFilter;482070154095.9755;417696548019.9062;86.6464236524269
1218;SureChEMBLFilter, ZINCDruglikeFilter;482070154095.9755;420963830273.4165;87.32418439445779
1050;LipinskiFilter, PAINSFilter;482070154095.9755;421920760605.576;87.52268876649345
1099;NIBRFilter, NIHFilter;482070154095.9755;427422237422.8418;88.66390789622419
1177;REOSFilter, ZINCDruglikeFilter;482070154095.9755;427878098147.7774;88.75847104664169
1047;LipinskiFilter, NIBRFilter;482070154095.9755;429941875557.213;89.18657832353914
1114;NIBRFilter, ZINCDruglikeFilter;482070154095.9755;430324531148.439;89.26595589710902
1643;FAF4DruglikeFilter, NIBRFilter;427781094874.2798;383633016830.8472;89.67975009358298
953;GlaxoFilter, RuleOfXuFilter;482070154095.9755;440719490555.4266;91.4222726320625
1059;LipinskiFilter, TiceHerbicidesFilter;482070154095.9755;443333348309.2769;91.96448785356944
1635;FAF4DruglikeFilter, GlaxoFilter;427781094874.2798;397230295439.4752;92.85831005603856
946;GlaxoFilter, PAINSFilter;482070154095.9755;449694540699.038;93.28404525319527
1058;LipinskiFilter, SureChEMBLFilter;482070154095.9755;449978004720.6646;93.3428466577664
1024;InpharmaticaFilter, ZINCDruglikeFilter;482070154095.9755;452393275184.6154;93.8438671925224
1208;RuleOfXuFilter, SureChEMBLFilter;482070154095.9755;453330230686.0863;94.038228011899
1226;ValenceDiscoveryFilter, ZINCBasicFilter;482070154095.9755;455546988021.9275;94.49806924392844
1112;NIBRFilter, ValenceDiscoveryFilter;482070154095.9755;457594805901.5103;94.92286589690173
1064;MLSMRFilter, MolecularWeightFilter;482070154095.9755;457648150995.9067;94.9339317332625
1155;PAINSFilter, ZINCBasicFilter;482070154095.9755;460313516763.746;95.48683170958184
1093;MolecularWeightFilter, SureChEMBLFilter;482070154095.9755;460836784699.8987;95.59537772341544
1109;NIBRFilter, SureChEMBLFilter;482070154095.9755;461218512802.6795;95.67456289999969
1019;InpharmaticaFilter, SureChEMBLFilter;482070154095.9755;462820032289.9811;96.00678000028977
1103;NIBRFilter, REOSFilter;482070154095.9755;465556088356.9809;96.57434387947883
1145;PAINSFilter, REOSFilter;482070154095.9755;466113644347.0992;96.69000256222053
1063;LipinskiFilter, ZINCDruglikeFilter;482070154095.9755;466204357725.4673;96.70882002635877
1619;BrenkFilter, PAINSFilter;427781094874.2798;413761664221.8604;96.72275590941216
1560;BeyondRo5Filter, NIHFilter;427781094874.2798;414372591506.312;96.86556897239502
1599;BMSFilter, SureChEMBLFilter;427781094874.2798;414381754953.9546;96.86771106042845
941;GlaxoFilter, MLSMRFilter;482070154095.9755;467207768670.5244;96.9169662757234
1551;BeyondRo5Filter, GlaxoFilter;427781094874.2798;415616272766.7556;97.15629740227317
952;GlaxoFilter, RuleOfVeberFilter;482070154095.9755;474560409350.9616;98.44218840739126
1556;BeyondRo5Filter, LipinskiFilter;427781094874.2798;422625869951.4764;98.79489183029034
1022;InpharmaticaFilter, ValenceDiscoveryFilter;482070154095.9755;477267605519.3225;99.00376562708819
1575;BeyondRo5Filter, ZINCDruglikeFilter;427781094874.2798;425464866154.1151;99.4585481340999
1546;BeyondRo5Filter, BMSFilter;427781094874.2798;426105135436.0932;99.6082203121484
1007;InpharmaticaFilter, MolecularWeightFilter;482070154095.9755;483762503157.6852;100.35105866798233
1228;ZINCBasicFilter, ZINCDruglikeFilter;482070154095.9755;484723176677.1031;100.55033952186953
1151;PAINSFilter, SureChEMBLFilter;482070154095.9755;486780759208.7169;100.97716174144303
1598;BMSFilter, RuleOfXuFilter;427781094874.2798;437681881841.372;102.314451733778
1613;BrenkFilter, LipinskiFilter;427781094874.2798;439766595078.7107;102.80178351686003
1202;RuleOfVeberFilter, SureChEMBLFilter;482070154095.9755;495818603888.595;102.85196037875481
1154;PAINSFilter, ValenceDiscoveryFilter;482070154095.9755;497669793206.1806;103.2359686609222
1583;BMSFilter, InpharmaticaFilter;427781094874.2798;447096123519.1122;104.51516648965257
1642;FAF4DruglikeFilter, MolecularWeightFilter;427781094874.2798;448642297965.3578;104.87660706399589
1143;OpreaFilter, ZINCDruglikeFilter;482070154095.9755;506689417167.4243;105.10698761627697
1070;MLSMRFilter, REOSFilter;482070154095.9755;507622515100.5069;105.30054822673054
