;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
18;REOSFilter;2.3187;2.0385;87.91614449874835
27;ValenceDiscoveryFilter;2.3187;2.0724;89.38098898794338
15;OpreaFilter;2.3187;2.0868;90.00165269422912
26;TiceInsecticidesFilter;2.3187;2.1043;90.7567344722589
19;RuleOfFourFilter;2.3187;2.1152;91.22359727092328
23;RuleOfXuFilter;2.3187;2.1263;91.70578881910602
5;GhoseFilter;2.3187;2.1501;92.7285744280889
25;TiceHerbicidesFilter;2.3187;2.2329;96.29971922875093
4;FAF4LeadlikeFilter;2.3187;2.2419;96.68994360617637
3;FAF4DruglikeFilter;2.3187;2.2807;98.36157623971977
16;PAINSFilter;2.3187;2.3328;100.60835831222789
0;BeyondRo5Filter;2.3187;2.3358;100.73893145282615
11;LipinskiFilter;2.3187;2.3433;101.06366444842443
29;ZINCDruglikeFilter;2.3187;2.347;101.22146503955163
8;HaoFilter;2.3187;2.3614;101.84532631372704
17;PfizerFilter;2.3187;2.3683;102.13972994225688
13;NIBRFilter;2.3187;2.3742;102.3951277299554
12;MLSMRFilter;2.3187;2.3956;103.31906800132877
2;BrenkFilter;2.3187;2.3987;103.45141115772485
28;ZINCBasicFilter;2.3187;2.41;103.9386706824867
6;GlaxoFilter;2.3187;2.4192;104.33535583310774
14;NIHFilter;2.3187;2.4456;105.47600367227015
1;BMSFilter;2.3187;2.4456;105.47600367227015
22;RuleOfVeberFilter;2.3187;2.4537;105.82259581935153
24;SureChEMBLFilter;2.3187;2.4543;105.84816398008844
7;GSKFilter;2.3187;2.5031;107.9538401536186
9;InpharmaticaFilter;2.3187;2.5683;110.7671760853111
10;LINTFilter;2.3187;2.6611;114.7688645146091
20;RuleOfThreeFilter;2.3187;2.8769;124.07685683238215
21;RuleOfTwoFilter;2.3187;3.3663;145.1814627715818
