;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
13;MolecularWeightFilter;0.8209;0.8226;100.20522244227888
11;LipinskiFilter;0.8209;0.8229;100.23767176070368
0;BeyondRo5Filter;0.8209;0.823;100.25648211807685
17;PAINSFilter;0.8209;0.8234;100.29358381948721
29;ZINCBasicFilter;0.8209;0.8237;100.34081058763374
6;GlaxoFilter;0.8209;0.8239;100.3621581522796
14;NIBRFilter;0.8209;0.8241;100.38134301405589
23;RuleOfVeberFilter;0.8209;0.8271;100.74699225972459
1;BMSFilter;0.8209;0.8281;100.86697564884624
15;NIHFilter;0.8209;0.8281;100.86697564884624
30;ZINCDruglikeFilter;0.8209;0.8357;101.79296769228307
25;SureChEMBLFilter;0.8209;0.8391;102.20710983194716
24;RuleOfXuFilter;0.8209;0.8486;103.37218248031188
3;FAF4DruglikeFilter;0.8209;0.8527;103.86858254384728
2;BrenkFilter;0.8209;0.861;104.87978647766842
9;InpharmaticaFilter;0.8209;0.8614;104.93017365658494
28;ValenceDiscoveryFilter;0.8209;0.8651;105.37928210087566
19;REOSFilter;0.8209;0.8663;105.5259682191923
10;LINTFilter;0.8209;0.8793;107.10364305761517
12;MLSMRFilter;0.8209;0.881;107.32064300309708
27;TiceInsecticidesFilter;0.8209;0.886;107.92305815188452
5;GhoseFilter;0.8209;0.907;110.47845997339316
7;GSKFilter;0.8209;0.9211;112.19999815952512
26;TiceHerbicidesFilter;0.8209;0.9313;113.43953841171113
8;HaoFilter;0.8209;0.9396;114.45356984909907
4;FAF4LeadlikeFilter;0.8209;0.9435;114.9248880816314
16;OpreaFilter;0.8209;0.9446;115.06626902110577
18;PfizerFilter;0.8209;1.117;136.06001353702592
21;RuleOfThreeFilter;0.8209;1.2101;147.39764233313707
20;RuleOfFourFilter;0.8209;1.2172;148.2686134035821
22;RuleOfTwoFilter;0.8209;1.4486;176.45960194336092
