;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
167;GlaxoFilter, MolecularWeightFilter;1.2799;1.02;79.69570757034047
171;GlaxoFilter, PAINSFilter;1.2805;1.0213;79.75787952899192
306;MolecularWeightFilter, PAINSFilter;1.2709;1.0215;80.37809444768097
183;GlaxoFilter, ZINCBasicFilter;1.2683;1.1397;89.86234696172998
65;BrenkFilter, InpharmaticaFilter;1.4886;1.4184;95.28249695920002
314;MolecularWeightFilter, SureChEMBLFilter;1.2771;1.274;99.7575359314441
371;PAINSFilter, SureChEMBLFilter;1.2749;1.276;100.08481863966823
177;GlaxoFilter, RuleOfVeberFilter;1.2025;1.21;100.62850071230449
69;BrenkFilter, MolecularWeightFilter;1.3687;1.3927;101.75507587683681
84;BrenkFilter, ZINCBasicFilter;1.3638;1.3917;102.04356246075506
66;BrenkFilter, LINTFilter;1.4304;1.465;102.42007278678007
179;GlaxoFilter, SureChEMBLFilter;1.2908;1.3307;103.09059427664175
62;BrenkFilter, GlaxoFilter;1.355;1.3994;103.27517228785908
73;BrenkFilter, PAINSFilter;1.355;1.3994;103.27517228785908
165;GlaxoFilter, LipinskiFilter;1.1748;1.2187;103.73674782747185
242;InpharmaticaFilter, SureChEMBLFilter;1.3415;1.3967;104.11069514483114
375;PAINSFilter, ZINCBasicFilter;1.274;1.3338;104.69766196426032
318;MolecularWeightFilter, ZINCBasicFilter;1.2737;1.3449;105.59227492762193
80;BrenkFilter, SureChEMBLFilter;1.4218;1.5017;105.6177687105657
163;GlaxoFilter, InpharmaticaFilter;1.2976;1.3951;107.51769518890254
434;SureChEMBLFilter, ZINCBasicFilter;1.2609;1.3637;108.15594605070578
71;BrenkFilter, NIHFilter;1.3001;1.4063;108.17162033972446
30;BMSFilter, BrenkFilter;1.3001;1.4063;108.17162033972446
5;BeyondRo5Filter, GlaxoFilter;1.2171;1.3258;108.92763676464712
228;InpharmaticaFilter, LINTFilter;1.3541;1.4784;109.18132001761862
246;InpharmaticaFilter, ZINCBasicFilter;1.3136;1.4459;110.07476000237193
1;BeyondRo5Filter, BrenkFilter;1.2816;1.4212;110.89463986619594
24;BeyondRo5Filter, SureChEMBLFilter;1.2051;1.3385;111.07709648259821
231;InpharmaticaFilter, MolecularWeightFilter;1.2923;1.4361;111.12943999041663
235;InpharmaticaFilter, PAINSFilter;1.2841;1.4354;111.7787565929335
78;BrenkFilter, RuleOfVeberFilter;1.28;1.4341;112.0379107880415
419;RuleOfVeberFilter, SureChEMBLFilter;1.2069;1.3772;114.1075484455709
280;LipinskiFilter, SureChEMBLFilter;1.15;1.3167;114.49409621926425
169;GlaxoFilter, NIHFilter;1.188;1.3618;114.6258356448539
34;BMSFilter, GlaxoFilter;1.188;1.3618;114.6258356448539
67;BrenkFilter, LipinskiFilter;1.2426;1.4328;115.30087677747782
184;GlaxoFilter, ZINCDruglikeFilter;1.1138;1.306;117.25342978830193
233;InpharmaticaFilter, NIHFilter;1.2502;1.4685;117.46481460897411
37;BMSFilter, InpharmaticaFilter;1.2502;1.4685;117.46481460897411
57;BMSFilter, ZINCBasicFilter;1.179;1.3868;117.62656943905054
349;NIHFilter, ZINCBasicFilter;1.179;1.3868;117.62656943905054
267;LipinskiFilter, MLSMRFilter;1.1968;1.4135;118.10661016025755
70;BrenkFilter, NIBRFilter;1.2682;1.4989;118.18489038477512
337;NIHFilter, PAINSFilter;1.19;1.4072;118.25494373598357
45;BMSFilter, PAINSFilter;1.19;1.4072;118.25494373598357
166;GlaxoFilter, MLSMRFilter;1.197;1.419;118.5485244262471
290;MLSMRFilter, PAINSFilter;1.197;1.419;118.5485244262471
286;MLSMRFilter, MolecularWeightFilter;1.197;1.419;118.5485244262471
345;NIHFilter, SureChEMBLFilter;1.2103;1.4384;118.84838760025298
53;BMSFilter, SureChEMBLFilter;1.2103;1.4384;118.84838760025298
304;MolecularWeightFilter, NIHFilter;1.1857;1.4136;119.22055827720581
43;BMSFilter, NIHFilter;1.1857;1.4136;119.22055827720581
41;BMSFilter, MolecularWeightFilter;1.1857;1.4136;119.22055827720581
230;InpharmaticaFilter, MLSMRFilter;1.2494;1.4925;119.45666572439467
295;MLSMRFilter, RuleOfVeberFilter;1.198;1.4345;119.74389494918705
11;BeyondRo5Filter, MLSMRFilter;1.1898;1.4264;119.88781635124066
297;MLSMRFilter, SureChEMBLFilter;1.2264;1.476;120.35103789363961
301;MLSMRFilter, ZINCBasicFilter;1.2024;1.4497;120.56437985280188
68;BrenkFilter, MLSMRFilter;1.3002;1.5705;120.79042518345385
164;GlaxoFilter, LINTFilter;1.2088;1.4661;121.28928377864632
51;BMSFilter, RuleOfVeberFilter;1.1797;1.4334;121.51045501764324
343;NIHFilter, RuleOfVeberFilter;1.1797;1.4334;121.51045501764324
261;LINTFilter, SureChEMBLFilter;1.2415;1.5117;121.76096797406379
241;InpharmaticaFilter, RuleOfXuFilter;1.4219;1.7391;122.30389134859065
445;ZINCBasicFilter, ZINCDruglikeFilter;1.1191;1.3688;122.31506288300002
265;LINTFilter, ZINCBasicFilter;1.215;1.4864;122.34413595743551
330;NIBRFilter, SureChEMBLFilter;1.1269;1.3848;122.89384502164098
254;LINTFilter, PAINSFilter;1.2037;1.4804;122.98895137679011
250;LINTFilter, MolecularWeightFilter;1.2037;1.4804;122.98895137679011
240;InpharmaticaFilter, RuleOfVeberFilter;1.2079;1.49;123.35647283001204
285;LipinskiFilter, ZINCDruglikeFilter;1.1153;1.3765;123.42662877999595
319;MolecularWeightFilter, ZINCDruglikeFilter;1.1153;1.3765;123.42662877999595
376;PAINSFilter, ZINCDruglikeFilter;1.1087;1.3748;123.9968387480776
423;RuleOfVeberFilter, ZINCBasicFilter;1.1931;1.482;124.21418900933816
248;LINTFilter, LipinskiFilter;1.2152;1.5101;124.26686923300905
252;LINTFilter, NIHFilter;1.1822;1.47;124.34095422105929
38;BMSFilter, LINTFilter;1.1822;1.47;124.34095422105929
39;BMSFilter, LipinskiFilter;1.1585;1.4456;124.77953083788779
270;LipinskiFilter, NIHFilter;1.1585;1.4456;124.77953083788779
435;SureChEMBLFilter, ZINCDruglikeFilter;1.1031;1.3768;124.81860885252678
8;BeyondRo5Filter, InpharmaticaFilter;1.2002;1.4994;124.92482719501243
287;MLSMRFilter, NIBRFilter;1.1765;1.4704;124.9793366337544
9;BeyondRo5Filter, LINTFilter;1.189;1.4914;125.43342218706037
79;BrenkFilter, RuleOfXuFilter;1.4581;1.831;125.57205521692742
0;BeyondRo5Filter, BMSFilter;1.1653;1.472;126.32412650302194
14;BeyondRo5Filter, NIHFilter;1.1653;1.472;126.32412650302194
296;MLSMRFilter, RuleOfXuFilter;1.4911;1.8921;126.89211429620384
259;LINTFilter, RuleOfVeberFilter;1.2007;1.5256;127.06508590323668
424;RuleOfVeberFilter, ZINCDruglikeFilter;1.1127;1.4144;127.1236732137149
229;InpharmaticaFilter, LipinskiFilter;1.1795;1.5007;127.23346599657981
168;GlaxoFilter, NIBRFilter;1.1432;1.4562;127.38159609124769
29;BeyondRo5Filter, ZINCDruglikeFilter;1.1302;1.4452;127.86444124756038
288;MLSMRFilter, NIHFilter;1.1831;1.5257;128.95411123945442
40;BMSFilter, MLSMRFilter;1.1831;1.5257;128.95411123945442
350;NIHFilter, ZINCDruglikeFilter;1.1209;1.4498;129.34943456215925
58;BMSFilter, ZINCDruglikeFilter;1.1209;1.4498;129.34943456215925
249;LINTFilter, MLSMRFilter;1.2125;1.577;130.0636644480129
