;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
273;LipinskiFilter, MolecularWeightFilter;0.8209;0.8229;100.23767176070368
12;BeyondRo5Filter, MolecularWeightFilter;0.8209;0.823;100.25648211807685
289;LipinskiFilter, ZINCBasicFilter;0.8209;0.8233;100.29205561717404
10;BeyondRo5Filter, LipinskiFilter;0.8209;0.8234;100.30129382620237
169;GlaxoFilter, MolecularWeightFilter;0.8209;0.8237;100.3407537884593
324;MolecularWeightFilter, ZINCBasicFilter;0.8209;0.8237;100.34081058763374
28;BeyondRo5Filter, ZINCBasicFilter;0.8209;0.8241;100.38332203972651
5;BeyondRo5Filter, GlaxoFilter;0.8209;0.8243;100.41178686075791
274;LipinskiFilter, NIBRFilter;0.8209;0.8244;100.41985543524162
309;MolecularWeightFilter, NIBRFilter;0.8209;0.8244;100.42446864791161
312;MolecularWeightFilter, PAINSFilter;0.8209;0.825;100.49099156860501
13;BeyondRo5Filter, NIBRFilter;0.8209;0.825;100.49567427673193
167;GlaxoFilter, LipinskiFilter;0.8209;0.8251;100.50227813480373
277;LipinskiFilter, PAINSFilter;0.8209;0.8251;100.51079474285683
185;GlaxoFilter, ZINCBasicFilter;0.8209;0.8253;100.53341300561473
283;LipinskiFilter, RuleOfVeberFilter;0.8209;0.8253;100.53377023066199
340;NIBRFilter, ZINCBasicFilter;0.8209;0.8254;100.54852455166878
16;BeyondRo5Filter, PAINSFilter;0.8209;0.8257;100.58302188377537
170;GlaxoFilter, NIBRFilter;0.8209;0.826;100.61887588592514
318;MolecularWeightFilter, RuleOfVeberFilter;0.8209;0.8271;100.74699225972459
173;GlaxoFilter, PAINSFilter;0.8209;0.8271;100.75298406222836
382;PAINSFilter, ZINCBasicFilter;0.8209;0.8272;100.76576228097613
22;BeyondRo5Filter, RuleOfVeberFilter;0.8209;0.8277;100.82537660893796
328;NIBRFilter, PAINSFilter;0.8209;0.8278;100.8312951469603
43;BMSFilter, NIHFilter;0.8209;0.8281;100.86697564884624
433;RuleOfVeberFilter, ZINCBasicFilter;0.8209;0.8282;100.88464374814325
39;BMSFilter, LipinskiFilter;0.8209;0.8283;100.89421441553567
275;LipinskiFilter, NIHFilter;0.8209;0.8283;100.89421441553567
376;PAINSFilter, RuleOfVeberFilter;0.8209;0.8283;100.89976473482723
179;GlaxoFilter, RuleOfVeberFilter;0.8209;0.8284;100.9103506634242
41;BMSFilter, MolecularWeightFilter;0.8209;0.8284;100.91240060373367
310;MolecularWeightFilter, NIHFilter;0.8209;0.8284;100.91240060373367
57;BMSFilter, ZINCBasicFilter;0.8209;0.8288;100.95663461203507
355;NIHFilter, ZINCBasicFilter;0.8209;0.8288;100.95663461203507
0;BeyondRo5Filter, BMSFilter;0.8209;0.8291;100.99234219220163
14;BeyondRo5Filter, NIHFilter;0.8209;0.8291;100.99234219220163
171;GlaxoFilter, NIHFilter;0.8209;0.8291;100.99417946812488
34;BMSFilter, GlaxoFilter;0.8209;0.8291;100.99417946812488
334;NIBRFilter, RuleOfVeberFilter;0.8209;0.8295;101.04392266275804
343;NIHFilter, PAINSFilter;0.8209;0.8299;101.0880336564854
45;BMSFilter, PAINSFilter;0.8209;0.8299;101.0880336564854
349;NIHFilter, RuleOfVeberFilter;0.8209;0.8311;101.23365631665624
51;BMSFilter, RuleOfVeberFilter;0.8209;0.8311;101.23365631665624
42;BMSFilter, NIBRFilter;0.8209;0.8313;101.25861336022285
326;NIBRFilter, NIHFilter;0.8209;0.8313;101.25861336022285
325;MolecularWeightFilter, ZINCDruglikeFilter;0.8209;0.8357;101.79296769228307
455;ZINCBasicFilter, ZINCDruglikeFilter;0.8209;0.8357;101.79974664131619
434;RuleOfVeberFilter, ZINCDruglikeFilter;0.8209;0.8358;101.80869618309633
186;GlaxoFilter, ZINCDruglikeFilter;0.8209;0.8362;101.86163652504108
29;BeyondRo5Filter, ZINCDruglikeFilter;0.8209;0.8363;101.8666484617154
290;LipinskiFilter, ZINCDruglikeFilter;0.8209;0.8368;101.93517156889492
383;PAINSFilter, ZINCDruglikeFilter;0.8209;0.8374;102.00984333554244
341;NIBRFilter, ZINCDruglikeFilter;0.8209;0.8375;102.0179385072789
285;LipinskiFilter, SureChEMBLFilter;0.8209;0.84;102.32332839375586
320;MolecularWeightFilter, SureChEMBLFilter;0.8209;0.8404;102.37367349589748
356;NIHFilter, ZINCDruglikeFilter;0.8209;0.8407;102.40511329615525
58;BMSFilter, ZINCDruglikeFilter;0.8209;0.8407;102.40511329615525
429;RuleOfVeberFilter, SureChEMBLFilter;0.8209;0.8408;102.41643257330944
444;SureChEMBLFilter, ZINCBasicFilter;0.8209;0.8413;102.48194791096653
24;BeyondRo5Filter, SureChEMBLFilter;0.8209;0.8417;102.52268327414798
181;GlaxoFilter, SureChEMBLFilter;0.8209;0.8417;102.53271866831352
378;PAINSFilter, SureChEMBLFilter;0.8209;0.8425;102.62929375374125
336;NIBRFilter, SureChEMBLFilter;0.8209;0.8433;102.72374418003405
53;BMSFilter, SureChEMBLFilter;0.8209;0.8433;102.72428586388152
351;NIHFilter, SureChEMBLFilter;0.8209;0.8433;102.72428586388152
335;NIBRFilter, RuleOfXuFilter;0.8209;0.8476;103.2474663666029
284;LipinskiFilter, RuleOfXuFilter;0.8209;0.8478;103.27326698420106
319;MolecularWeightFilter, RuleOfXuFilter;0.8209;0.8486;103.37218248031188
445;SureChEMBLFilter, ZINCDruglikeFilter;0.8209;0.8489;103.40027095288391
180;GlaxoFilter, RuleOfXuFilter;0.8209;0.8492;103.44265996583073
439;RuleOfXuFilter, ZINCBasicFilter;0.8209;0.8493;103.45132722823574
23;BeyondRo5Filter, RuleOfXuFilter;0.8209;0.8496;103.49152886665969
94;FAF4DruglikeFilter, LipinskiFilter;0.8209;0.8508;103.6347548449931
377;PAINSFilter, RuleOfXuFilter;0.8209;0.851;103.66631230063652
112;FAF4DruglikeFilter, ZINCBasicFilter;0.8209;0.852;103.78603724453639
96;FAF4DruglikeFilter, MolecularWeightFilter;0.8209;0.8527;103.86858254384728
89;FAF4DruglikeFilter, GlaxoFilter;0.8209;0.8527;103.87046549072043
428;RuleOfVeberFilter, RuleOfXuFilter;0.8209;0.8532;103.92355874552182
2;BeyondRo5Filter, FAF4DruglikeFilter;0.8209;0.8532;103.92654030122151
100;FAF4DruglikeFilter, PAINSFilter;0.8209;0.8533;103.94629370145235
106;FAF4DruglikeFilter, RuleOfVeberFilter;0.8209;0.8533;103.94651617836426
52;BMSFilter, RuleOfXuFilter;0.8209;0.8535;103.9619501151525
350;NIHFilter, RuleOfXuFilter;0.8209;0.8535;103.9619501151525
113;FAF4DruglikeFilter, ZINCDruglikeFilter;0.8209;0.8543;104.06004383040064
97;FAF4DruglikeFilter, NIBRFilter;0.8209;0.8545;104.0815740062433
98;FAF4DruglikeFilter, NIHFilter;0.8209;0.8563;104.30826097214896
31;BMSFilter, FAF4DruglikeFilter;0.8209;0.8563;104.30826097214896
79;BrenkFilter, RuleOfVeberFilter;0.8209;0.8596;104.71448894086225
67;BrenkFilter, LipinskiFilter;0.8209;0.8604;104.80366778297272
69;BrenkFilter, MolecularWeightFilter;0.8209;0.8611;104.888570241111
235;InpharmaticaFilter, NIBRFilter;0.8209;0.8611;104.8925093311704
165;GlaxoFilter, InpharmaticaFilter;0.8209;0.8614;104.92303092376653
62;BrenkFilter, GlaxoFilter;0.8209;0.8614;104.92724845485533
234;InpharmaticaFilter, MolecularWeightFilter;0.8209;0.8614;104.93017365658494
244;InpharmaticaFilter, RuleOfVeberFilter;0.8209;0.8617;104.95921398616343
440;RuleOfXuFilter, ZINCDruglikeFilter;0.8209;0.8617;104.9662250108235
232;InpharmaticaFilter, LipinskiFilter;0.8209;0.8619;104.98502379602115
8;BeyondRo5Filter, InpharmaticaFilter;0.8209;0.8621;105.01190247942567
250;InpharmaticaFilter, ZINCBasicFilter;0.8209;0.8623;105.03170537061311
288;LipinskiFilter, ValenceDiscoveryFilter;0.8209;0.8625;105.06359411016757
1;BeyondRo5Filter, BrenkFilter;0.8209;0.863;105.12854959625051
85;BrenkFilter, ZINCBasicFilter;0.8209;0.8631;105.1372584690574
381;PAINSFilter, ValenceDiscoveryFilter;0.8209;0.8632;105.15132798023075
86;BrenkFilter, ZINCDruglikeFilter;0.8209;0.8636;105.20127202991469
453;ValenceDiscoveryFilter, ZINCBasicFilter;0.8209;0.8639;105.23097621713362
37;BMSFilter, InpharmaticaFilter;0.8209;0.8645;105.30334961468222
236;InpharmaticaFilter, NIHFilter;0.8209;0.8645;105.30334961468222
81;BrenkFilter, SureChEMBLFilter;0.8209;0.8645;105.31038601084019
238;InpharmaticaFilter, PAINSFilter;0.8209;0.8648;105.34119751338082
30;BMSFilter, BrenkFilter;0.8209;0.865;105.36308231712081
71;BrenkFilter, NIHFilter;0.8209;0.865;105.36308231712081
323;MolecularWeightFilter, ValenceDiscoveryFilter;0.8209;0.8651;105.37928210087566
184;GlaxoFilter, ValenceDiscoveryFilter;0.8209;0.8652;105.39205913460438
70;BrenkFilter, NIBRFilter;0.8209;0.8657;105.45282021719113
73;BrenkFilter, PAINSFilter;0.8209;0.8658;105.46675222268509
279;LipinskiFilter, REOSFilter;0.8209;0.8659;105.47728570605062
403;REOSFilter, ZINCBasicFilter;0.8209;0.8662;105.50831638205582
314;MolecularWeightFilter, REOSFilter;0.8209;0.8663;105.5259682191923
27;BeyondRo5Filter, ValenceDiscoveryFilter;0.8209;0.8671;105.61883904140433
18;BeyondRo5Filter, REOSFilter;0.8209;0.8674;105.65543905218391
397;REOSFilter, RuleOfVeberFilter;0.8209;0.868;105.73496298650065
56;BMSFilter, ValenceDiscoveryFilter;0.8209;0.8681;105.74828887937866
354;NIHFilter, ValenceDiscoveryFilter;0.8209;0.8681;105.74828887937866
108;FAF4DruglikeFilter, SureChEMBLFilter;0.8209;0.8682;105.75233234552526
339;NIBRFilter, ValenceDiscoveryFilter;0.8209;0.8683;105.772952583928
432;RuleOfVeberFilter, ValenceDiscoveryFilter;0.8209;0.869;105.84946767945529
435;RuleOfXuFilter, SureChEMBLFilter;0.8209;0.8692;105.88384337717196
372;PAINSFilter, REOSFilter;0.8209;0.8693;105.8854615607294
175;GlaxoFilter, REOSFilter;0.8209;0.8695;105.90985420363323
251;InpharmaticaFilter, ZINCDruglikeFilter;0.8209;0.8705;106.03588701760991
330;NIBRFilter, REOSFilter;0.8209;0.8718;106.19785836576261
404;REOSFilter, ZINCDruglikeFilter;0.8209;0.8723;106.26034129919051
47;BMSFilter, REOSFilter;0.8209;0.8746;106.53305490630251
345;NIHFilter, REOSFilter;0.8209;0.8746;106.53305490630251
111;FAF4DruglikeFilter, ValenceDiscoveryFilter;0.8209;0.8754;106.62954450302593
454;ValenceDiscoveryFilter, ZINCDruglikeFilter;0.8209;0.8758;106.67916805750191
443;SureChEMBLFilter, ValenceDiscoveryFilter;0.8209;0.8782;106.97791980103233
107;FAF4DruglikeFilter, RuleOfXuFilter;0.8209;0.8786;107.02736215716911
246;InpharmaticaFilter, SureChEMBLFilter;0.8209;0.8787;107.0298063506857
252;LINTFilter, LipinskiFilter;0.8209;0.8788;107.04605937043281
264;LINTFilter, RuleOfVeberFilter;0.8209;0.8789;107.06567351332647
254;LINTFilter, MolecularWeightFilter;0.8209;0.8793;107.10364305761517
38;BMSFilter, LINTFilter;0.8209;0.8801;107.20790114597438
256;LINTFilter, NIHFilter;0.8209;0.8801;107.20790114597438
301;MLSMRFilter, RuleOfVeberFilter;0.8209;0.8803;107.22553700532427
438;RuleOfXuFilter, ValenceDiscoveryFilter;0.8209;0.8806;107.26884076475598
258;LINTFilter, PAINSFilter;0.8209;0.8809;107.30266263011595
9;BeyondRo5Filter, LINTFilter;0.8209;0.881;107.31208097497174
168;GlaxoFilter, MLSMRFilter;0.8209;0.881;107.32064300309708
291;MLSMRFilter, MolecularWeightFilter;0.8209;0.881;107.32064300309708
270;LINTFilter, ZINCBasicFilter;0.8209;0.8812;107.33924658886467
