;Dataset;Model;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
17;bace;LogisticRegression;PAINSFilter;79.796;0.0582;100.0729
1;bace;LogisticRegression;BMSFilter;79.796;0.0089;100.0112
15;bace;LogisticRegression;NIHFilter;79.796;0.0089;100.0112
13;bace;LogisticRegression;MolecularWeightFilter;79.796;-0.0582;99.9271
0;bace;LogisticRegression;BeyondRo5Filter;79.796;-0.2819;99.6468
9;bace;LogisticRegression;InpharmaticaFilter;79.796;-0.9306;98.8338
31;bace;GradientBoostingClassifier;BrenkFilter;78.5053;0.1633;100.208
18;bace;LogisticRegression;PfizerFilter;79.796;-1.2079;98.4862
46;bace;GradientBoostingClassifier;PAINSFilter;78.5053;-0.17;99.7834
42;bace;GradientBoostingClassifier;MolecularWeightFilter;78.5053;-0.2394;99.6951
14;bace;LogisticRegression;NIBRFilter;79.796;-1.5838;98.0153
29;bace;GradientBoostingClassifier;BeyondRo5Filter;78.5053;-0.4698;99.4016
44;bace;GradientBoostingClassifier;NIHFilter;78.5053;-0.5637;99.2819
30;bace;GradientBoostingClassifier;BMSFilter;78.5053;-0.7292;99.0711
11;bace;LogisticRegression;LipinskiFilter;79.796;-2.0625;97.4153
38;bace;GradientBoostingClassifier;InpharmaticaFilter;78.5053;-1.1431;98.544
43;bace;GradientBoostingClassifier;NIBRFilter;78.5053;-1.2706;98.3815
40;bace;GradientBoostingClassifier;LipinskiFilter;78.5053;-1.539;98.0396
10;bace;LogisticRegression;LINTFilter;79.796;-2.9483;96.3052
22;bace;LogisticRegression;RuleOfXuFilter;79.796;-2.9796;96.266
2;bace;LogisticRegression;BrenkFilter;79.796;-3.5299;95.5764
47;bace;GradientBoostingClassifier;PfizerFilter;78.5053;-2.4114;96.9283
51;bace;GradientBoostingClassifier;RuleOfXuFilter;78.5053;-2.577;96.7175
27;bace;LogisticRegression;ZINCBasicFilter;79.796;-4.5723;94.27
56;bace;GradientBoostingClassifier;ZINCBasicFilter;78.5053;-3.4113;95.6547
39;bace;GradientBoostingClassifier;LINTFilter;78.5053;-3.5523;95.4751
21;bace;LogisticRegression;RuleOfVeberFilter;79.796;-4.8899;93.8719
50;bace;GradientBoostingClassifier;RuleOfVeberFilter;78.5053;-3.6977;95.2899
24;bace;LogisticRegression;TiceHerbicidesFilter;79.796;-5.7355;92.8123
55;bace;GradientBoostingClassifier;ValenceDiscoveryFilter;78.5053;-4.9034;93.7541
26;bace;LogisticRegression;ValenceDiscoveryFilter;79.796;-6.514;91.8367
49;bace;GradientBoostingClassifier;RuleOfFourFilter;78.5053;-7.6436;90.2636
6;bace;LogisticRegression;GlaxoFilter;79.796;-10.8089;86.4544
23;bace;LogisticRegression;SureChEMBLFilter;79.796;-11.5157;85.5685
19;bace;LogisticRegression;REOSFilter;79.796;-11.9766;84.991
53;bace;GradientBoostingClassifier;TiceHerbicidesFilter;78.5053;-12.0168;84.693
78;bace;GaussianNB;RuleOfFourFilter;59.4958;6.9502;111.6818
48;bace;GradientBoostingClassifier;REOSFilter;78.5053;-13.0123;83.425
20;bace;LogisticRegression;RuleOfFourFilter;79.796;-15.7704;80.2366
35;bace;GradientBoostingClassifier;GlaxoFilter;78.5053;-14.6967;81.2794
33;bace;GradientBoostingClassifier;FAF4LeadlikeFilter;78.5053;-15.0635;80.8121
28;bace;LogisticRegression;ZINCDruglikeFilter;79.796;-17.0768;78.5995
25;bace;LogisticRegression;TiceInsecticidesFilter;79.796;-17.8373;77.6463
8;bace;LogisticRegression;HaoFilter;79.796;-18.2623;77.1137
52;bace;GradientBoostingClassifier;SureChEMBLFilter;78.5053;-17.0522;78.279
4;bace;LogisticRegression;FAF4LeadlikeFilter;79.796;-19.1705;75.9756
