;Dataset;Model;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
877;bbbp;GradientBoostingClassifier;"RuleOfVeberFilter;SureChEMBLFilter";82.8586;2.596;103.133
892;bbbp;GradientBoostingClassifier;"SureChEMBLFilter;ZINCBasicFilter";82.8586;2.2988;102.7744
828;bbbp;GradientBoostingClassifier;"PAINSFilter;SureChEMBLFilter";82.8586;2.2771;102.7481
771;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;SureChEMBLFilter";82.8586;2.062;102.4886
832;bbbp;GradientBoostingClassifier;"PAINSFilter;ZINCBasicFilter";82.8586;1.969;102.3764
763;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;PAINSFilter";82.8586;1.5547;101.8763
533;bbbp;GradientBoostingClassifier;"BrenkFilter;SureChEMBLFilter";82.8586;1.5221;101.8369
833;bbbp;GradientBoostingClassifier;"PAINSFilter;ZINCDruglikeFilter";82.8586;1.5197;101.834
775;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;ZINCBasicFilter";82.8586;1.423;101.7174
521;bbbp;GradientBoostingClassifier;"BrenkFilter;MolecularWeightFilter";82.8586;1.388;101.6751
468;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;PAINSFilter";82.8586;1.3179;101.5906
505;bbbp;GradientBoostingClassifier;"BMSFilter;SureChEMBLFilter";82.8586;1.295;101.5629
826;bbbp;GradientBoostingClassifier;"PAINSFilter;RuleOfVeberFilter";82.8586;1.214;101.4652
728;bbbp;GradientBoostingClassifier;"LipinskiFilter;PAINSFilter";82.8586;1.0582;101.2771
464;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;MolecularWeightFilter";82.8586;0.8843;101.0672
319;bbbp;LogisticRegression;"MolecularWeightFilter;SureChEMBLFilter";83.622;0.1039;100.1242
376;bbbp;LogisticRegression;"PAINSFilter;SureChEMBLFilter";83.622;0.0435;100.052
453;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;BrenkFilter";82.8586;0.726;100.8762
724;bbbp;GradientBoostingClassifier;"LipinskiFilter;MolecularWeightFilter";82.8586;0.7248;100.8747
881;bbbp;GradientBoostingClassifier;"RuleOfVeberFilter;ZINCBasicFilter";82.8586;0.7212;100.8704
525;bbbp;GradientBoostingClassifier;"BrenkFilter;PAINSFilter";82.8586;0.6994;100.8441
253;bbbp;LogisticRegression;"LINTFilter;MolecularWeightFilter";83.622;-0.0797;99.9047
736;bbbp;GradientBoostingClassifier;"LipinskiFilter;SureChEMBLFilter";82.8586;0.6692;100.8077
895;bbbp;GradientBoostingClassifier;"TiceHerbicidesFilter;ValenceDiscoveryFilter";82.8586;0.6294;100.7596
802;bbbp;GradientBoostingClassifier;"NIHFilter;SureChEMBLFilter";82.8586;0.6257;100.7552
265;bbbp;LogisticRegression;"LINTFilter;SureChEMBLFilter";83.622;-0.1377;99.8353
233;bbbp;LogisticRegression;"InpharmaticaFilter;MolecularWeightFilter";83.622;-0.1401;99.8324
481;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;ZINCDruglikeFilter";82.8586;0.6137;100.7406
257;bbbp;LogisticRegression;"LINTFilter;PAINSFilter";83.622;-0.2005;99.7602
537;bbbp;GradientBoostingClassifier;"BrenkFilter;ZINCBasicFilter";82.8586;0.5484;100.6619
776;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;ZINCDruglikeFilter";82.8586;0.5327;100.6429
769;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;RuleOfVeberFilter";82.8586;0.5182;100.6254
527;bbbp;GradientBoostingClassifier;"BrenkFilter;REOSFilter";82.8586;0.5158;100.6225
653;bbbp;GradientBoostingClassifier;"GSKFilter;RuleOfVeberFilter";82.8586;0.4772;100.5759
12;bbbp;LogisticRegression;"BeyondRo5Filter;MolecularWeightFilter";83.622;-0.2899;99.6533
335;bbbp;LogisticRegression;"NIBRFilter;SureChEMBLFilter";83.622;-0.2972;99.6446
8;bbbp;LogisticRegression;"BeyondRo5Filter;InpharmaticaFilter";83.622;-0.3092;99.6302
9;bbbp;LogisticRegression;"BeyondRo5Filter;LINTFilter";83.622;-0.3648;99.5637
456;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;GhoseFilter";82.8586;0.3926;100.4738
476;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;SureChEMBLFilter";82.8586;0.3733;100.4505
740;bbbp;GradientBoostingClassifier;"LipinskiFilter;ZINCBasicFilter";82.8586;0.3515;100.4242
648;bbbp;GradientBoostingClassifier;"GSKFilter;PAINSFilter";82.8586;0.3503;100.4228
24;bbbp;LogisticRegression;"BeyondRo5Filter;SureChEMBLFilter";83.622;-0.4252;99.4915
598;bbbp;GradientBoostingClassifier;"GhoseFilter;MolecularWeightFilter";82.8586;0.337;100.4068
633;bbbp;GradientBoostingClassifier;"GlaxoFilter;SureChEMBLFilter";82.8586;0.331;100.3995
497;bbbp;GradientBoostingClassifier;"BMSFilter;PAINSFilter";82.8586;0.3225;100.3893
741;bbbp;GradientBoostingClassifier;"LipinskiFilter;ZINCDruglikeFilter";82.8586;0.2911;100.3514
671;bbbp;GradientBoostingClassifier;"HaoFilter;REOSFilter";82.8586;0.2875;100.347
480;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;ZINCBasicFilter";82.8586;0.2815;100.3397
903;bbbp;GradientBoostingClassifier;"ZINCBasicFilter;ZINCDruglikeFilter";82.8586;0.2501;100.3018
893;bbbp;GradientBoostingClassifier;"SureChEMBLFilter;ZINCDruglikeFilter";82.8586;0.2283;100.2755
245;bbbp;LogisticRegression;"InpharmaticaFilter;SureChEMBLFilter";83.622;-0.5823;99.3037
816;bbbp;GradientBoostingClassifier;"OpreaFilter;TiceHerbicidesFilter";82.8586;0.1655;100.1997
734;bbbp;GradientBoostingClassifier;"LipinskiFilter;RuleOfVeberFilter";82.8586;0.1619;100.1954
810;bbbp;GradientBoostingClassifier;"OpreaFilter;REOSFilter";82.8586;0.1558;100.1881
66;bbbp;LogisticRegression;"BrenkFilter;LINTFilter";83.622;-0.6137;99.2662
482;bbbp;GradientBoostingClassifier;"BMSFilter;BrenkFilter";82.8586;0.1148;100.1385
311;bbbp;LogisticRegression;"MolecularWeightFilter;PAINSFilter";83.622;-0.6716;99.1968
613;bbbp;GradientBoostingClassifier;"GhoseFilter;ZINCBasicFilter";82.8586;0.0785;100.0948
883;bbbp;GradientBoostingClassifier;"RuleOfXuFilter;SureChEMBLFilter";82.8586;0.0435;100.0525
462;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;LipinskiFilter";82.8586;0.0423;100.051
16;bbbp;LogisticRegression;"BeyondRo5Filter;PAINSFilter";83.622;-0.761;99.0899
475;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;RuleOfXuFilter";82.8586;-0.0278;99.9665
592;bbbp;GradientBoostingClassifier;"GhoseFilter;GSKFilter";82.8586;-0.0338;99.9592
519;bbbp;GradientBoostingClassifier;"BrenkFilter;LipinskiFilter";82.8586;-0.0761;99.9082
659;bbbp;GradientBoostingClassifier;"GSKFilter;ZINCBasicFilter";82.8586;-0.1196;99.8557
794;bbbp;GradientBoostingClassifier;"NIHFilter;PAINSFilter";82.8586;-0.1341;99.8382
234;bbbp;LogisticRegression;"InpharmaticaFilter;NIBRFilter";83.622;-0.8987;98.9252
619;bbbp;GradientBoostingClassifier;"GlaxoFilter;LipinskiFilter";82.8586;-0.1631;99.8032
486;bbbp;GradientBoostingClassifier;"BMSFilter;GlaxoFilter";82.8586;-0.1909;99.7697
474;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;RuleOfVeberFilter";82.8586;-0.2078;99.7492
237;bbbp;LogisticRegression;"InpharmaticaFilter;PAINSFilter";83.622;-0.9978;98.8068
561;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;TiceHerbicidesFilter";82.8586;-0.2488;99.6997
851;bbbp;GradientBoostingClassifier;"REOSFilter;ZINCBasicFilter";82.8586;-0.2597;99.6866
596;bbbp;GradientBoostingClassifier;"GhoseFilter;LipinskiFilter";82.8586;-0.2778;99.6647
308;bbbp;LogisticRegression;"MolecularWeightFilter;NIBRFilter";83.622;-1.0872;98.6999
509;bbbp;GradientBoostingClassifier;"BMSFilter;ZINCBasicFilter";82.8586;-0.395;99.5233
327;bbbp;LogisticRegression;"NIBRFilter;PAINSFilter";83.622;-1.1693;98.6016
882;bbbp;GradientBoostingClassifier;"RuleOfVeberFilter;ZINCDruglikeFilter";82.8586;-0.4216;99.4912
466;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;NIHFilter";82.8586;-0.424;99.4883
607;bbbp;GradientBoostingClassifier;"GhoseFilter;RuleOfVeberFilter";82.8586;-0.4337;99.4766
822;bbbp;GradientBoostingClassifier;"PAINSFilter;REOSFilter";82.8586;-0.4409;99.4679
254;bbbp;LogisticRegression;"LINTFilter;NIBRFilter";83.622;-1.2225;98.5381
888;bbbp;GradientBoostingClassifier;"RuleOfXuFilter;ZINCDruglikeFilter";82.8586;-0.4747;99.427
13;bbbp;LogisticRegression;"BeyondRo5Filter;NIBRFilter";83.622;-1.2394;98.5179
819;bbbp;GradientBoostingClassifier;"OpreaFilter;ZINCBasicFilter";82.8586;-0.5243;99.3673
735;bbbp;GradientBoostingClassifier;"LipinskiFilter;RuleOfXuFilter";82.8586;-0.5388;99.3498
806;bbbp;GradientBoostingClassifier;"NIHFilter;ZINCBasicFilter";82.8586;-0.5448;99.3425
770;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;RuleOfXuFilter";82.8586;-0.546;99.341
827;bbbp;GradientBoostingClassifier;"PAINSFilter;RuleOfXuFilter";82.8586;-0.5581;99.3265
531;bbbp;GradientBoostingClassifier;"BrenkFilter;RuleOfVeberFilter";82.8586;-0.5738;99.3075
503;bbbp;GradientBoostingClassifier;"BMSFilter;RuleOfVeberFilter";82.8586;-0.5738;99.3075
623;bbbp;GradientBoostingClassifier;"GlaxoFilter;NIHFilter";82.8586;-0.575;99.306
656;bbbp;GradientBoostingClassifier;"GSKFilter;TiceHerbicidesFilter";82.8586;-0.5871;99.2915
727;bbbp;GradientBoostingClassifier;"LipinskiFilter;OpreaFilter";82.8586;-0.604;99.2711
625;bbbp;GradientBoostingClassifier;"GlaxoFilter;PAINSFilter";82.8586;-0.6185;99.2536
850;bbbp;GradientBoostingClassifier;"REOSFilter;ValenceDiscoveryFilter";82.8586;-0.6294;99.2404
230;bbbp;LogisticRegression;"InpharmaticaFilter;LINTFilter";83.622;-1.3964;98.3301
458;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;GSKFilter";82.8586;-0.6342;99.2346
660;bbbp;GradientBoostingClassifier;"GSKFilter;ZINCDruglikeFilter";82.8586;-0.6378;99.2302
610;bbbp;GradientBoostingClassifier;"GhoseFilter;TiceHerbicidesFilter";82.8586;-0.6656;99.1967
602;bbbp;GradientBoostingClassifier;"GhoseFilter;PAINSFilter";82.8586;-0.6898;99.1675
558;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;RuleOfVeberFilter";82.8586;-0.6934;99.1632
611;bbbp;GradientBoostingClassifier;"GhoseFilter;TiceInsecticidesFilter";82.8586;-0.7006;99.1544
847;bbbp;GradientBoostingClassifier;"REOSFilter;SureChEMBLFilter";82.8586;-0.7115;99.1413
887;bbbp;GradientBoostingClassifier;"RuleOfXuFilter;ZINCBasicFilter";82.8586;-0.7272;99.1223
876;bbbp;GradientBoostingClassifier;"RuleOfVeberFilter;RuleOfXuFilter";82.8586;-0.7369;99.1107
515;bbbp;GradientBoostingClassifier;"BrenkFilter;GSKFilter";82.8586;-0.7453;99.1005
642;bbbp;GradientBoostingClassifier;"GSKFilter;LipinskiFilter";82.8586;-0.7453;99.1005
514;bbbp;GradientBoostingClassifier;"BrenkFilter;GlaxoFilter";82.8586;-0.7453;99.1005
454;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;FAF4DruglikeFilter";82.8586;-0.7816;99.0567
467;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;OpreaFilter";82.8586;-0.79;99.0465
761;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;NIHFilter";82.8586;-0.7924;99.0436
523;bbbp;GradientBoostingClassifier;"BrenkFilter;NIHFilter";82.8586;-0.813;99.0188
800;bbbp;GradientBoostingClassifier;"NIHFilter;RuleOfVeberFilter";82.8586;-0.8492;98.9751
452;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;BMSFilter";82.8586;-0.8927;98.9226
70;bbbp;LogisticRegression;"BrenkFilter;NIBRFilter";83.622;-1.7009;97.966
709;bbbp;GradientBoostingClassifier;"LINTFilter;PAINSFilter";82.8586;-0.9881;98.8074
495;bbbp;GradientBoostingClassifier;"BMSFilter;NIHFilter";82.8586;-0.9881;98.8074
81;bbbp;LogisticRegression;"BrenkFilter;SureChEMBLFilter";83.622;-1.7661;97.888
493;bbbp;GradientBoostingClassifier;"BMSFilter;MolecularWeightFilter";82.8586;-1.0316;98.755
787;bbbp;GradientBoostingClassifier;"NIBRFilter;SureChEMBLFilter";82.8586;-1.0352;98.7506
538;bbbp;GradientBoostingClassifier;"BrenkFilter;ZINCDruglikeFilter";82.8586;-1.0473;98.736
654;bbbp;GradientBoostingClassifier;"GSKFilter;RuleOfXuFilter";82.8586;-1.0824;98.6937
901;bbbp;GradientBoostingClassifier;"ValenceDiscoveryFilter;ZINCBasicFilter";82.8586;-1.0981;98.6748
650;bbbp;GradientBoostingClassifier;"GSKFilter;REOSFilter";82.8586;-1.1476;98.615
69;bbbp;LogisticRegression;"BrenkFilter;MolecularWeightFilter";83.622;-1.9231;97.7002
765;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;REOSFilter";82.8586;-1.1814;98.5742
762;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;OpreaFilter";82.8586;-1.1971;98.5552
73;bbbp;LogisticRegression;"BrenkFilter;PAINSFilter";83.622;-1.9666;97.6482
37;bbbp;LogisticRegression;"BMSFilter;InpharmaticaFilter";83.622;-1.9739;97.6395
235;bbbp;LogisticRegression;"InpharmaticaFilter;NIHFilter";83.622;-1.9739;97.6395
65;bbbp;LogisticRegression;"BrenkFilter;InpharmaticaFilter";83.622;-1.9763;97.6367
658;bbbp;GradientBoostingClassifier;"GSKFilter;ValenceDiscoveryFilter";82.8586;-1.2189;98.529
848;bbbp;GradientBoostingClassifier;"REOSFilter;TiceHerbicidesFilter";82.8586;-1.2297;98.5159
846;bbbp;GradientBoostingClassifier;"REOSFilter;RuleOfXuFilter";82.8586;-1.2418;98.5013
852;bbbp;GradientBoostingClassifier;"REOSFilter;ZINCDruglikeFilter";82.8586;-1.2466;98.4955
457;bbbp;GradientBoostingClassifier;"BeyondRo5Filter;GlaxoFilter";82.8586;-1.2648;98.4736
669;bbbp;GradientBoostingClassifier;"HaoFilter;PAINSFilter";82.8586;-1.3107;98.4182
621;bbbp;GradientBoostingClassifier;"GlaxoFilter;MolecularWeightFilter";82.8586;-1.3155;98.4124
655;bbbp;GradientBoostingClassifier;"GSKFilter;SureChEMBLFilter";82.8586;-1.3203;98.4065
687;bbbp;GradientBoostingClassifier;"InpharmaticaFilter;NIHFilter";82.8586;-1.3252;98.4007
617;bbbp;GradientBoostingClassifier;"GlaxoFilter;InpharmaticaFilter";82.8586;-1.336;98.3876
548;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;MolecularWeightFilter";82.8586;-1.3433;98.3788
1;bbbp;LogisticRegression;"BeyondRo5Filter;BrenkFilter";83.622;-2.1985;97.3709
249;bbbp;LogisticRegression;"InpharmaticaFilter;ZINCBasicFilter";83.622;-2.2082;97.3593
644;bbbp;GradientBoostingClassifier;"GSKFilter;MolecularWeightFilter";82.8586;-1.4472;98.2534
711;bbbp;GradientBoostingClassifier;"LINTFilter;REOSFilter";82.8586;-1.4484;98.252
845;bbbp;GradientBoostingClassifier;"REOSFilter;RuleOfVeberFilter";82.8586;-1.452;98.2476
489;bbbp;GradientBoostingClassifier;"BMSFilter;InpharmaticaFilter";82.8586;-1.4556;98.2432
645;bbbp;GradientBoostingClassifier;"GSKFilter;NIBRFilter";82.8586;-1.504;98.1849
730;bbbp;GradientBoostingClassifier;"LipinskiFilter;REOSFilter";82.8586;-1.5172;98.1689
705;bbbp;GradientBoostingClassifier;"LINTFilter;MolecularWeightFilter";82.8586;-1.5233;98.1616
739;bbbp;GradientBoostingClassifier;"LipinskiFilter;ValenceDiscoveryFilter";82.8586;-1.5341;98.1485
491;bbbp;GradientBoostingClassifier;"BMSFilter;LipinskiFilter";82.8586;-1.5438;98.1368
717;bbbp;GradientBoostingClassifier;"LINTFilter;SureChEMBLFilter";82.8586;-1.5788;98.0945
813;bbbp;GradientBoostingClassifier;"OpreaFilter;RuleOfVeberFilter";82.8586;-1.5921;98.0785
314;bbbp;LogisticRegression;"MolecularWeightFilter;RuleOfFourFilter";83.622;-2.3556;97.1831
674;bbbp;GradientBoostingClassifier;"HaoFilter;RuleOfVeberFilter";82.8586;-1.5958;98.0741
631;bbbp;GradientBoostingClassifier;"GlaxoFilter;RuleOfVeberFilter";82.8586;-1.6199;98.045
647;bbbp;GradientBoostingClassifier;"GSKFilter;OpreaFilter";82.8586;-1.6368;98.0246
546;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;LipinskiFilter";82.8586;-1.6417;98.0187
774;bbbp;GradientBoostingClassifier;"MolecularWeightFilter;ValenceDiscoveryFilter";82.8586;-1.6453;98.0143
165;bbbp;LogisticRegression;"GlaxoFilter;InpharmaticaFilter";83.622;-2.416;97.1108
563;bbbp;GradientBoostingClassifier;"FAF4DruglikeFilter;ValenceDiscoveryFilter";82.8586;-1.6537;98.0041
896;bbbp;GradientBoostingClassifier;"TiceHerbicidesFilter;ZINCBasicFilter";82.8586;-1.6658;97.9896
371;bbbp;LogisticRegression;"PAINSFilter;RuleOfFourFilter";83.622;-2.4619;97.0559
604;bbbp;GradientBoostingClassifier;"GhoseFilter;REOSFilter";82.8586;-1.7069;97.94
310;bbbp;LogisticRegression;"MolecularWeightFilter;OpreaFilter";83.622;-2.4812;97.0328
275;bbbp;LogisticRegression;"LipinskiFilter;OpreaFilter";83.622;-2.486;97.027
15;bbbp;LogisticRegression;"BeyondRo5Filter;OpreaFilter";83.622;-2.4957;97.0155
615;bbbp;GradientBoostingClassifier;"GlaxoFilter;GSKFilter";82.8586;-1.7359;97.905
272;bbbp;LogisticRegression;"LipinskiFilter;MolecularWeightFilter";83.622;-2.5054;97.0039
361;bbbp;LogisticRegression;"OpreaFilter;RuleOfVeberFilter";83.622;-2.5126;96.9953
396;bbbp;LogisticRegression;"REOSFilter;TiceHerbicidesFilter";83.622;-2.5126;96.9953
