;Dataset;Model;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
40;clintox;GradientBoostingClassifier;InpharmaticaFilter;95.4923;-0.0119;99.9876
45;clintox;GradientBoostingClassifier;NIBRFilter;95.4923;-0.1423;99.8509
31;clintox;GradientBoostingClassifier;BeyondRo5Filter;95.4923;-0.3084;99.677
56;clintox;GradientBoostingClassifier;SureChEMBLFilter;95.4923;-0.3796;99.6025
41;clintox;GradientBoostingClassifier;LINTFilter;95.4923;-0.5457;99.4286
48;clintox;GradientBoostingClassifier;PAINSFilter;95.4923;-0.688;99.2795
37;clintox;GradientBoostingClassifier;GlaxoFilter;95.4923;-1.3049;98.6335
44;clintox;GradientBoostingClassifier;MolecularWeightFilter;95.4923;-1.7319;98.1863
32;clintox;GradientBoostingClassifier;BMSFilter;95.4923;-1.9929;97.913
55;clintox;GradientBoostingClassifier;RuleOfXuFilter;95.4923;-2.1115;97.7888
46;clintox;GradientBoostingClassifier;NIHFilter;95.4923;-2.2301;97.6646
54;clintox;GradientBoostingClassifier;RuleOfVeberFilter;95.4923;-2.2539;97.6398
6;clintox;LogisticRegression;GlaxoFilter;91.032;1.3998;101.5377
42;clintox;GradientBoostingClassifier;LipinskiFilter;95.4923;-3.0842;96.7702
60;clintox;GradientBoostingClassifier;ZINCBasicFilter;95.4923;-3.796;96.0248
33;clintox;GradientBoostingClassifier;BrenkFilter;95.4923;-3.9027;95.913
50;clintox;GradientBoostingClassifier;REOSFilter;95.4923;-4.9822;94.7826
24;clintox;LogisticRegression;RuleOfXuFilter;91.032;-0.5694;99.3745
13;clintox;LogisticRegression;MolecularWeightFilter;91.032;-0.7592;99.166
25;clintox;LogisticRegression;SureChEMBLFilter;91.032;-1.1151;98.7751
43;clintox;GradientBoostingClassifier;MLSMRFilter;95.4923;-6.204;93.5031
17;clintox;LogisticRegression;PAINSFilter;91.032;-1.8743;97.9411
0;clintox;LogisticRegression;BeyondRo5Filter;91.032;-2.2301;97.5502
49;clintox;GradientBoostingClassifier;PfizerFilter;95.4923;-6.9751;92.6957
14;clintox;LogisticRegression;NIBRFilter;91.032;-2.7758;96.9507
1;clintox;LogisticRegression;BMSFilter;91.032;-2.8944;96.8204
15;clintox;LogisticRegression;NIHFilter;91.032;-2.8944;96.8204
38;clintox;GradientBoostingClassifier;GSKFilter;95.4923;-7.4259;92.2236
59;clintox;GradientBoostingClassifier;ValenceDiscoveryFilter;95.4923;-7.5208;92.1242
57;clintox;GradientBoostingClassifier;TiceHerbicidesFilter;95.4923;-8.102;91.5155
58;clintox;GradientBoostingClassifier;TiceInsecticidesFilter;95.4923;-8.6951;90.8944
10;clintox;LogisticRegression;LINTFilter;91.032;-4.6263;94.9179
2;clintox;LogisticRegression;BrenkFilter;91.032;-5.2195;94.2664
9;clintox;LogisticRegression;InpharmaticaFilter;91.032;-5.3144;94.1621
29;clintox;LogisticRegression;ZINCBasicFilter;91.032;-5.8363;93.5887
11;clintox;LogisticRegression;LipinskiFilter;91.032;-6.1922;93.1978
39;clintox;GradientBoostingClassifier;HaoFilter;95.4923;-11.2337;88.236
18;clintox;LogisticRegression;PfizerFilter;91.032;-7.0937;92.2075
23;clintox;LogisticRegression;RuleOfVeberFilter;91.032;-7.9715;91.2432
16;clintox;LogisticRegression;OpreaFilter;91.032;-7.9953;91.2171
36;clintox;GradientBoostingClassifier;GhoseFilter;95.4923;-13.3808;85.9876
27;clintox;LogisticRegression;TiceInsecticidesFilter;91.032;-8.9442;90.1746
19;clintox;LogisticRegression;REOSFilter;91.032;-9.7034;89.3406
5;clintox;LogisticRegression;GhoseFilter;91.032;-12.3132;86.4738
7;clintox;LogisticRegression;GSKFilter;91.032;-12.6928;86.0568
28;clintox;LogisticRegression;ValenceDiscoveryFilter;91.032;-12.7402;86.0047
26;clintox;LogisticRegression;TiceHerbicidesFilter;91.032;-13.879;84.7537
8;clintox;LogisticRegression;HaoFilter;91.032;-14.2823;84.3107
47;clintox;GradientBoostingClassifier;OpreaFilter;95.4923;-19.6679;79.4037
12;clintox;LogisticRegression;MLSMRFilter;91.032;-16.6311;81.7305
61;clintox;GradientBoostingClassifier;ZINCDruglikeFilter;95.4923;-26.7378;72.0
20;clintox;LogisticRegression;RuleOfFourFilter;91.032;-22.6572;75.1108
30;clintox;LogisticRegression;ZINCDruglikeFilter;91.032;-25.694;71.7748
34;clintox;GradientBoostingClassifier;FAF4DruglikeFilter;95.4923;-32.3369;66.1366
3;clintox;LogisticRegression;FAF4DruglikeFilter;91.032;-27.9478;69.2989
52;clintox;GradientBoostingClassifier;RuleOfThreeFilter;95.4923;-34.4365;63.9379
64;clintox;GaussianNB;BrenkFilter;50.0;10.0;120.0
76;clintox;GaussianNB;NIBRFilter;50.0;10.0;120.0
35;clintox;GradientBoostingClassifier;FAF4LeadlikeFilter;95.4923;-36.0142;62.2857
53;clintox;GradientBoostingClassifier;RuleOfTwoFilter;95.4923;-36.382;61.9006
89;clintox;GaussianNB;TiceInsecticidesFilter;50.0;6.6667;113.3333
81;clintox;GaussianNB;REOSFilter;50.0;6.6667;113.3333
72;clintox;GaussianNB;LINTFilter;50.0;6.6667;113.3333
77;clintox;GaussianNB;NIHFilter;50.0;6.6667;113.3333
63;clintox;GaussianNB;BMSFilter;50.0;6.6667;113.3333
90;clintox;GaussianNB;ValenceDiscoveryFilter;50.0;6.6667;113.3333
85;clintox;GaussianNB;RuleOfVeberFilter;50.0;6.4887;112.9775
65;clintox;GaussianNB;FAF4DruglikeFilter;50.0;6.3108;112.6216
4;clintox;LogisticRegression;FAF4LeadlikeFilter;91.032;-35.8719;60.5942
68;clintox;GaussianNB;GlaxoFilter;50.0;3.3333;106.6667
70;clintox;GaussianNB;HaoFilter;50.0;3.3333;106.6667
71;clintox;GaussianNB;InpharmaticaFilter;50.0;3.3333;106.6667
67;clintox;GaussianNB;GhoseFilter;50.0;3.3333;106.6667
73;clintox;GaussianNB;LipinskiFilter;50.0;3.3333;106.6667
74;clintox;GaussianNB;MLSMRFilter;50.0;3.3333;106.6667
88;clintox;GaussianNB;TiceHerbicidesFilter;50.0;3.3333;106.6667
87;clintox;GaussianNB;SureChEMBLFilter;50.0;3.3333;106.6667
86;clintox;GaussianNB;RuleOfXuFilter;50.0;3.3333;106.6667
82;clintox;GaussianNB;RuleOfFourFilter;50.0;3.1554;106.3108
66;clintox;GaussianNB;FAF4LeadlikeFilter;50.0;2.4437;104.8873
21;clintox;LogisticRegression;RuleOfThreeFilter;91.032;-39.8814;56.1897
51;clintox;GradientBoostingClassifier;RuleOfFourFilter;95.4923;-45.1364;52.7329
84;clintox;GaussianNB;RuleOfTwoFilter;50.0;0.0;100.0
80;clintox;GaussianNB;PfizerFilter;50.0;0.0;100.0
83;clintox;GaussianNB;RuleOfThreeFilter;50.0;0.0;100.0
69;clintox;GaussianNB;GSKFilter;50.0;0.0;100.0
79;clintox;GaussianNB;PAINSFilter;50.0;0.0;100.0
78;clintox;GaussianNB;OpreaFilter;50.0;0.0;100.0
75;clintox;GaussianNB;MolecularWeightFilter;50.0;0.0;100.0
62;clintox;GaussianNB;BeyondRo5Filter;50.0;-0.1779;99.6441
91;clintox;GaussianNB;ZINCBasicFilter;50.0;-0.3559;99.2883
22;clintox;LogisticRegression;RuleOfTwoFilter;91.032;-43.1079;52.6453
