;Dataset;Model;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
633;clintox;GradientBoostingClassifier;"GlaxoFilter;RuleOfVeberFilter";94.5433;1.3286;101.4053
506;clintox;GradientBoostingClassifier;"BMSFilter;RuleOfXuFilter";94.5433;1.0913;101.1543
476;clintox;GradientBoostingClassifier;"BeyondRo5Filter;RuleOfVeberFilter";94.5433;0.9964;101.054
685;clintox;GradientBoostingClassifier;"InpharmaticaFilter;LINTFilter";94.5433;0.9253;100.9787
459;clintox;GradientBoostingClassifier;"BeyondRo5Filter;GlaxoFilter";94.5433;0.8304;100.8783
466;clintox;GradientBoostingClassifier;"BeyondRo5Filter;MolecularWeightFilter";94.5433;0.7117;100.7528
619;clintox;GradientBoostingClassifier;"GlaxoFilter;InpharmaticaFilter";94.5433;0.688;100.7277
708;clintox;GradientBoostingClassifier;"LINTFilter;MolecularWeightFilter";94.5433;0.6406;100.6775
634;clintox;GradientBoostingClassifier;"GlaxoFilter;RuleOfXuFilter";94.5433;0.5457;100.5772
710;clintox;GradientBoostingClassifier;"LINTFilter;NIHFilter";94.5433;0.5457;100.5772
620;clintox;GradientBoostingClassifier;"GlaxoFilter;LINTFilter";94.5433;0.4508;100.4768
763;clintox;GradientBoostingClassifier;"MolecularWeightFilter;NIBRFilter";94.5433;0.427;100.4517
462;clintox;GradientBoostingClassifier;"BeyondRo5Filter;InpharmaticaFilter";94.5433;0.427;100.4517
712;clintox;GradientBoostingClassifier;"LINTFilter;PAINSFilter";94.5433;0.3321;100.3513
623;clintox;GradientBoostingClassifier;"GlaxoFilter;MolecularWeightFilter";94.5433;0.261;100.276
454;clintox;GradientBoostingClassifier;"BeyondRo5Filter;BMSFilter";94.5433;0.261;100.276
688;clintox;GradientBoostingClassifier;"InpharmaticaFilter;MolecularWeightFilter";94.5433;0.1423;100.1506
621;clintox;GradientBoostingClassifier;"GlaxoFilter;LipinskiFilter";94.5433;0.1186;100.1255
499;clintox;GradientBoostingClassifier;"BMSFilter;PAINSFilter";94.5433;0.1186;100.1255
492;clintox;GradientBoostingClassifier;"BMSFilter;LINTFilter";94.5433;0.1186;100.1255
467;clintox;GradientBoostingClassifier;"BeyondRo5Filter;NIBRFilter";94.5433;0.0237;100.0251
627;clintox;GradientBoostingClassifier;"GlaxoFilter;PAINSFilter";94.5433;0.0;100.0
639;clintox;GradientBoostingClassifier;"GlaxoFilter;ZINCBasicFilter";94.5433;-0.0712;99.9247
774;clintox;GradientBoostingClassifier;"MolecularWeightFilter;SureChEMBLFilter";94.5433;-0.0949;99.8996
