;Dataset;Model;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
43;bace;LogisticRegression;"BMSFilter;PAINSFilter";79.796;0.0716;100.0897
313;bace;LogisticRegression;"NIHFilter;PAINSFilter";79.796;0.0716;100.0897
286;bace;LogisticRegression;"MolecularWeightFilter;PAINSFilter";79.796;0.0537;100.0673
41;bace;LogisticRegression;"BMSFilter;NIHFilter";79.796;0.0089;100.0112
284;bace;LogisticRegression;"MolecularWeightFilter;NIHFilter";79.796;-0.0895;99.8879
39;bace;LogisticRegression;"BMSFilter;MolecularWeightFilter";79.796;-0.0895;99.8879
465;bace;GradientBoostingClassifier;"BrenkFilter;MolecularWeightFilter";78.4605;1.1811;101.5053
221;bace;LogisticRegression;"InpharmaticaFilter;PfizerFilter";79.796;-0.2237;99.7197
12;bace;LogisticRegression;"BeyondRo5Filter;MolecularWeightFilter";79.796;-0.2819;99.6468
14;bace;LogisticRegression;"BeyondRo5Filter;NIHFilter";79.796;-0.3042;99.6187
0;bace;LogisticRegression;"BeyondRo5Filter;BMSFilter";79.796;-0.3042;99.6187
16;bace;LogisticRegression;"BeyondRo5Filter;PAINSFilter";79.796;-0.34;99.5739
35;bace;LogisticRegression;"BMSFilter;InpharmaticaFilter";79.796;-0.8411;98.946
218;bace;LogisticRegression;"InpharmaticaFilter;NIHFilter";79.796;-0.8411;98.946
220;bace;LogisticRegression;"InpharmaticaFilter;PAINSFilter";79.796;-0.9127;98.8562
216;bace;LogisticRegression;"InpharmaticaFilter;MolecularWeightFilter";79.796;-1.0111;98.7329
713;bace;GradientBoostingClassifier;"NIHFilter;PAINSFilter";78.4605;0.3154;100.402
443;bace;GradientBoostingClassifier;"BMSFilter;PAINSFilter";78.4605;0.2528;100.3222
336;bace;LogisticRegression;"PAINSFilter;PfizerFilter";79.796;-1.1408;98.5703
686;bace;GradientBoostingClassifier;"MolecularWeightFilter;PAINSFilter";78.4605;0.1655;100.211
414;bace;GradientBoostingClassifier;"BeyondRo5Filter;NIHFilter";78.4605;-0.0089;99.9886
8;bace;LogisticRegression;"BeyondRo5Filter;InpharmaticaFilter";79.796;-1.4182;98.2227
400;bace;GradientBoostingClassifier;"BeyondRo5Filter;BMSFilter";78.4605;-0.094;99.8803
44;bace;LogisticRegression;"BMSFilter;PfizerFilter";79.796;-1.4361;98.2003
314;bace;LogisticRegression;"NIHFilter;PfizerFilter";79.796;-1.4361;98.2003
441;bace;GradientBoostingClassifier;"BMSFilter;NIHFilter";78.4605;-0.1387;99.8232
40;bace;LogisticRegression;"BMSFilter;NIBRFilter";79.796;-1.5435;98.0657
298;bace;LogisticRegression;"NIBRFilter;NIHFilter";79.796;-1.5435;98.0657
437;bace;GradientBoostingClassifier;"BMSFilter;LipinskiFilter";78.4605;-0.2438;99.6892
283;bace;LogisticRegression;"MolecularWeightFilter;NIBRFilter";79.796;-1.5838;98.0153
13;bace;LogisticRegression;"BeyondRo5Filter;NIBRFilter";79.796;-1.5838;98.0153
653;bace;GradientBoostingClassifier;"LipinskiFilter;NIHFilter";78.4605;-0.2863;99.6351
439;bace;GradientBoostingClassifier;"BMSFilter;MolecularWeightFilter";78.4605;-0.3065;99.6094
300;bace;LogisticRegression;"NIBRFilter;PAINSFilter";79.796;-1.6732;97.9031
287;bace;LogisticRegression;"MolecularWeightFilter;PfizerFilter";79.796;-1.6822;97.8919
348;bace;LogisticRegression;"PfizerFilter;RuleOfVeberFilter";79.796;-1.6956;97.8751
412;bace;GradientBoostingClassifier;"BeyondRo5Filter;MolecularWeightFilter";78.4605;-0.3624;99.5381
469;bace;GradientBoostingClassifier;"BrenkFilter;PAINSFilter";78.4605;-0.4161;99.4697
684;bace;GradientBoostingClassifier;"MolecularWeightFilter;NIHFilter";78.4605;-0.4228;99.4612
37;bace;LogisticRegression;"BMSFilter;LipinskiFilter";79.796;-1.8701;97.6564
253;bace;LogisticRegression;"LipinskiFilter;NIHFilter";79.796;-1.8701;97.6564
428;bace;GradientBoostingClassifier;"BMSFilter;BrenkFilter";78.4605;-0.5682;99.2758
416;bace;GradientBoostingClassifier;"BeyondRo5Filter;PAINSFilter";78.4605;-0.5928;99.2445
467;bace;GradientBoostingClassifier;"BrenkFilter;NIHFilter";78.4605;-0.6353;99.1903
461;bace;GradientBoostingClassifier;"BrenkFilter;InpharmaticaFilter";78.4605;-0.7136;99.0905
251;bace;LogisticRegression;"LipinskiFilter;MolecularWeightFilter";79.796;-2.0625;97.4153
10;bace;LogisticRegression;"BeyondRo5Filter;LipinskiFilter";79.796;-2.0669;97.4097
255;bace;LogisticRegression;"LipinskiFilter;PAINSFilter";79.796;-2.1027;97.3649
354;bace;LogisticRegression;"PfizerFilter;ZINCBasicFilter";79.796;-2.1161;97.3481
620;bace;GradientBoostingClassifier;"InpharmaticaFilter;PAINSFilter";78.4605;-0.8545;98.9109
698;bace;GradientBoostingClassifier;"NIBRFilter;NIHFilter";78.4605;-0.9171;98.8311
700;bace;GradientBoostingClassifier;"NIBRFilter;PAINSFilter";78.4605;-1.0133;98.7085
440;bace;GradientBoostingClassifier;"BMSFilter;NIBRFilter";78.4605;-1.0402;98.6743
401;bace;GradientBoostingClassifier;"BeyondRo5Filter;BrenkFilter";78.4605;-1.0961;98.603
256;bace;LogisticRegression;"LipinskiFilter;PfizerFilter";79.796;-2.4427;96.9388
235;bace;LogisticRegression;"LINTFilter;NIBRFilter";79.796;-2.5054;96.8603
17;bace;LogisticRegression;"BeyondRo5Filter;PfizerFilter";79.796;-2.5054;96.8603
214;bace;LogisticRegression;"InpharmaticaFilter;LipinskiFilter";79.796;-2.5233;96.8379
655;bace;GradientBoostingClassifier;"LipinskiFilter;PAINSFilter";78.4605;-1.2348;98.4262
683;bace;GradientBoostingClassifier;"MolecularWeightFilter;NIBRFilter";78.4605;-1.2795;98.3692
616;bace;GradientBoostingClassifier;"InpharmaticaFilter;MolecularWeightFilter";78.4605;-1.2907;98.355
466;bace;GradientBoostingClassifier;"BrenkFilter;NIBRFilter";78.4605;-1.3287;98.3065
463;bace;GradientBoostingClassifier;"BrenkFilter;LipinskiFilter";78.4605;-1.369;98.2552
651;bace;GradientBoostingClassifier;"LipinskiFilter;MolecularWeightFilter";78.4605;-1.4137;98.1981
239;bace;LogisticRegression;"LINTFilter;PfizerFilter";79.796;-2.7693;96.5295
238;bace;LogisticRegression;"LINTFilter;PAINSFilter";79.796;-2.7693;96.5295
410;bace;GradientBoostingClassifier;"BeyondRo5Filter;LipinskiFilter";78.4605;-1.4451;98.1582
70;bace;LogisticRegression;"BrenkFilter;PfizerFilter";79.796;-2.8364;96.4454
474;bace;GradientBoostingClassifier;"BrenkFilter;RuleOfXuFilter";78.4605;-1.5457;98.0299
340;bace;LogisticRegression;"PAINSFilter;RuleOfXuFilter";79.796;-2.9035;96.3613
48;bace;LogisticRegression;"BMSFilter;RuleOfXuFilter";79.796;-2.917;96.3445
318;bace;LogisticRegression;"NIHFilter;RuleOfXuFilter";79.796;-2.917;96.3445
260;bace;LogisticRegression;"LipinskiFilter;RuleOfXuFilter";79.796;-2.9304;96.3277
36;bace;LogisticRegression;"BMSFilter;LINTFilter";79.796;-2.9483;96.3052
236;bace;LogisticRegression;"LINTFilter;NIHFilter";79.796;-2.9483;96.3052
21;bace;LogisticRegression;"BeyondRo5Filter;RuleOfXuFilter";79.796;-2.9662;96.2828
349;bace;LogisticRegression;"PfizerFilter;RuleOfXuFilter";79.796;-2.9796;96.266
291;bace;LogisticRegression;"MolecularWeightFilter;RuleOfXuFilter";79.796;-2.9796;96.266
234;bace;LogisticRegression;"LINTFilter;MolecularWeightFilter";79.796;-2.9885;96.2548
448;bace;GradientBoostingClassifier;"BMSFilter;RuleOfXuFilter";78.4605;-1.7224;97.8047
252;bace;LogisticRegression;"LipinskiFilter;NIBRFilter";79.796;-3.0691;96.1538
217;bace;LogisticRegression;"InpharmaticaFilter;NIBRFilter";79.796;-3.0736;96.1482
718;bace;GradientBoostingClassifier;"NIHFilter;RuleOfXuFilter";78.4605;-1.7627;97.7534
408;bace;GradientBoostingClassifier;"BeyondRo5Filter;InpharmaticaFilter";78.4605;-1.8947;97.5852
9;bace;LogisticRegression;"BeyondRo5Filter;LINTFilter";79.796;-3.2793;95.8903
618;bace;GradientBoostingClassifier;"InpharmaticaFilter;NIHFilter";78.4605;-1.9842;97.4711
462;bace;GradientBoostingClassifier;"BrenkFilter;LINTFilter";78.4605;-2.049;97.3885
435;bace;GradientBoostingClassifier;"BMSFilter;InpharmaticaFilter";78.4605;-2.0535;97.3828
225;bace;LogisticRegression;"InpharmaticaFilter;RuleOfXuFilter";79.796;-3.4673;95.6549
67;bace;LogisticRegression;"BrenkFilter;NIHFilter";79.796;-3.4851;95.6324
28;bace;LogisticRegression;"BMSFilter;BrenkFilter";79.796;-3.4851;95.6324
65;bace;LogisticRegression;"BrenkFilter;MolecularWeightFilter";79.796;-3.503;95.61
69;bace;LogisticRegression;"BrenkFilter;PAINSFilter";79.796;-3.5657;95.5315
705;bace;GradientBoostingClassifier;"NIBRFilter;RuleOfXuFilter";78.4605;-2.3264;97.0349
776;bace;GradientBoostingClassifier;"RuleOfVeberFilter;ValenceDiscoveryFilter";78.4605;-2.4383;96.8924
413;bace;GradientBoostingClassifier;"BeyondRo5Filter;NIBRFilter";78.4605;-2.4539;96.8724
691;bace;GradientBoostingClassifier;"MolecularWeightFilter;RuleOfXuFilter";78.4605;-2.4741;96.8468
