,Dataset,Model,Filters,Baseline RMSE,Predicted RMSE,Ratio [%]
109,esol,SGD,RuleOfFourFilter,2090871350297.0676,13841408329.844751,0.6619923472516942
86,esol,MLP,TiceInsecticidesFilter,3.293756602304568,2.4574686088410647,74.60990308517724
78,esol,MLP,REOSFilter,3.293756602304568,2.4695605412594825,74.9770198420729
87,esol,MLP,ValenceDiscoveryFilter,3.293756602304568,2.480177450314565,75.29935419573019
75,esol,MLP,OpreaFilter,3.293756602304568,2.549588513017881,77.40670671396882
64,esol,MLP,FAF4LeadlikeFilter,3.293756602304568,2.613968165532728,79.36130325184905
83,esol,MLP,RuleOfXuFilter,3.293756602304568,2.622213615214186,79.61163898326554
112,esol,SGD,RuleOfVeberFilter,2090871350297.0676,1690997028431.8894,80.87523071142733
65,esol,MLP,GhoseFilter,3.293756602304568,2.6900408450765663,81.67090559133618
119,esol,SGD,ZINCDruglikeFilter,2090871350297.0676,1719328981474.0334,82.23026161938436
85,esol,MLP,TiceHerbicidesFilter,3.293756602304568,2.7179559390370764,82.51842097668612
63,esol,MLP,FAF4DruglikeFilter,3.293756602304568,2.787402206400169,84.62684232495764
89,esol,MLP,ZINCDruglikeFilter,3.293756602304568,2.8708432966858086,87.16015308104865
66,esol,MLP,GlaxoFilter,3.293756602304568,2.8731432585853294,87.22998100633954
79,esol,MLP,RuleOfFourFilter,3.293756602304568,2.878629481185021,87.39654530546999
61,esol,MLP,BMSFilter,3.293756602304568,2.888815882738304,87.70580924883957
74,esol,MLP,NIHFilter,3.293756602304568,2.888815882738304,87.70580924883957
18,esol,SVM,REOSFilter,2.3186604419047514,2.038476864540298,87.91614449874835
117,esol,SGD,ValenceDiscoveryFilter,2090871350297.0676,1838998975107.545,87.9537124484614
104,esol,SGD,NIHFilter,2090871350297.0676,1839889172541.5369,87.9962878768284
60,esol,MLP,BeyondRo5Filter,3.293756602304568,2.922017507790714,88.71382620519815
27,esol,SVM,ValenceDiscoveryFilter,2.3186604419047514,2.0724416342466854,89.38098898794338
77,esol,MLP,PfizerFilter,3.293756602304568,2.945252745888536,89.4192589649098
76,esol,MLP,PAINSFilter,3.293756602304568,2.948028916742305,89.50354481808506
15,esol,SVM,OpreaFilter,2.3186604419047514,2.0868327180815927,90.00165269422912
26,esol,SVM,TiceInsecticidesFilter,2.3186604419047514,2.1043405005728,90.7567344722589
84,esol,MLP,SureChEMBLFilter,3.293756602304568,2.998686989205711,91.04154773026023
19,esol,SVM,RuleOfFourFilter,2.3186604419047514,2.1151654636034003,91.22359727092328
68,esol,MLP,HaoFilter,3.293756602304568,3.018867653444256,91.65424219057418
23,esol,SVM,RuleOfXuFilter,2.3186604419047514,2.1263458482853217,91.70578881910602
100,esol,SGD,LINTFilter,2090871350297.0676,1923785373285.1804,92.0087872939601
71,esol,MLP,LipinskiFilter,3.293756602304568,3.0307714134289694,92.01564594385651
5,esol,SVM,GhoseFilter,2.3186604419047514,2.1500607736063024,92.7285744280889
80,esol,MLP,RuleOfThreeFilter,3.293756602304568,3.062373587901024,92.97510282813093
62,esol,MLP,BrenkFilter,3.293756602304568,3.071211422775004,93.24342365268112
107,esol,SGD,PfizerFilter,2090871350297.0676,1952232972876.684,93.3693492236772
73,esol,MLP,NIBRFilter,3.293756602304568,3.1161942117055497,94.60912228685076
113,esol,SGD,RuleOfXuFilter,2090871350297.0676,1979172706360.302,94.6577945161047
48,esol,Gradient Boosting Regressor,REOSFilter,2.227964517851766,2.111393331148223,94.76781673273943
49,esol,Gradient Boosting Regressor,RuleOfFourFilter,2.227964517851766,2.1155460595397444,94.95420786950336
69,esol,MLP,InpharmaticaFilter,3.293756602304568,3.1341268661809143,95.15356611317411
70,esol,MLP,LINTFilter,3.293756602304568,3.136220939230214,95.21714315611148
45,esol,Gradient Boosting Regressor,OpreaFilter,2.227964517851766,2.128190508367437,95.5217415409949
25,esol,SVM,TiceHerbicidesFilter,2.3186604419047514,2.232863495422391,96.29971922875093
4,esol,SVM,FAF4LeadlikeFilter,2.3186604419047514,2.241911473696424,96.68994360617637
88,esol,MLP,ZINCBasicFilter,3.293756602304568,3.207186240104813,97.37168307642455
56,esol,Gradient Boosting Regressor,TiceInsecticidesFilter,2.227964517851766,2.1826308668353387,97.96524358205943
82,esol,MLP,RuleOfVeberFilter,3.293756602304568,3.239136377704355,98.3417042849494
3,esol,SVM,FAF4DruglikeFilter,2.3186604419047514,2.2806709583043654,98.36157623971977
35,esol,Gradient Boosting Regressor,GhoseFilter,2.227964517851766,2.1930034998780084,98.43080903247655
57,esol,Gradient Boosting Regressor,ValenceDiscoveryFilter,2.227964517851766,2.200504283775387,98.76747435354777
72,esol,MLP,MLSMRFilter,3.293756602304568,3.269915165376484,99.2761627586142
99,esol,SGD,InpharmaticaFilter,2090871350297.0676,2103001668649.1963,100.58015613205495
16,esol,SVM,PAINSFilter,2.3186604419047514,2.3327662054354192,100.60835831222789
53,esol,Gradient Boosting Regressor,RuleOfXuFilter,2.227964517851766,2.243171076663553,100.68253146268458
0,esol,SVM,BeyondRo5Filter,2.3186604419047514,2.335793753194223,100.73893145282615
11,esol,SVM,LipinskiFilter,2.3186604419047514,2.343323208704973,101.06366444842443
29,esol,SVM,ZINCDruglikeFilter,2.3186604419047514,2.346982068588531,101.22146503955163
8,esol,SVM,HaoFilter,2.3186604419047514,2.3614472931651997,101.84532631372704
17,esol,SVM,PfizerFilter,2.3186604419047514,2.368273513639453,102.13972994225688
46,esol,Gradient Boosting Regressor,PAINSFilter,2.227964517851766,2.2758016688941685,102.14712355870586
33,esol,Gradient Boosting Regressor,FAF4DruglikeFilter,2.227964517851766,2.279235860706092,102.30126388654352
67,esol,MLP,GSKFilter,3.293756602304568,3.371868182955008,102.37150433628845
13,esol,SVM,NIBRFilter,2.3186604419047514,2.374195321112319,102.3951277299554
12,esol,SVM,MLSMRFilter,2.3186604419047514,2.3956183586914803,103.31906800132877
2,esol,SVM,BrenkFilter,2.3186604419047514,2.3986869471064045,103.45141115772485
34,esol,Gradient Boosting Regressor,FAF4LeadlikeFilter,2.227964517851766,2.309039564930912,103.63897388982298
114,esol,SGD,SureChEMBLFilter,2090871350297.0676,2170255607263.0227,103.79670690665289
30,esol,Gradient Boosting Regressor,BeyondRo5Filter,2.227964517851766,2.3130266904237,103.81793210306382
55,esol,Gradient Boosting Regressor,TiceHerbicidesFilter,2.227964517851766,2.3147994700297776,103.8975015751929
28,esol,SVM,ZINCBasicFilter,2.3186604419047514,2.4099848409564704,103.9386706824867
52,esol,Gradient Boosting Regressor,RuleOfVeberFilter,2.227964517851766,2.321822251431921,104.21271222356154
6,esol,SVM,GlaxoFilter,2.3186604419047514,2.419182622622831,104.33535583310774
14,esol,SVM,NIHFilter,2.3186604419047514,2.445630372850931,105.47600367227015
1,esol,SVM,BMSFilter,2.3186604419047514,2.445630372850931,105.47600367227015
22,esol,SVM,RuleOfVeberFilter,2.3186604419047514,2.4536666678600554,105.82259581935153
24,esol,SVM,SureChEMBLFilter,2.3186604419047514,2.4542595066887847,105.84816398008844
59,esol,Gradient Boosting Regressor,ZINCDruglikeFilter,2.227964517851766,2.3641856343281717,106.11415107309483
41,esol,Gradient Boosting Regressor,LipinskiFilter,2.227964517851766,2.3659264625323284,106.19228643791811
31,esol,Gradient Boosting Regressor,BMSFilter,2.227964517851766,2.3693011345277624,106.34375527722835
38,esol,Gradient Boosting Regressor,HaoFilter,2.227964517851766,2.3867811569632584,107.12832892260894
43,esol,Gradient Boosting Regressor,NIBRFilter,2.227964517851766,2.392802382616291,107.39858572449188
7,esol,SVM,GSKFilter,2.3186604419047514,2.503082987159042,107.9538401536186
44,esol,Gradient Boosting Regressor,NIHFilter,2.227964517851766,2.4062971477857387,108.00428501015462
39,esol,Gradient Boosting Regressor,InpharmaticaFilter,2.227964517851766,2.4077828138272,108.0709676718199
54,esol,Gradient Boosting Regressor,SureChEMBLFilter,2.227964517851766,2.420104108104039,108.62399686856487
58,esol,Gradient Boosting Regressor,ZINCBasicFilter,2.227964517851766,2.4506694001943594,109.99588999547123
42,esol,Gradient Boosting Regressor,MLSMRFilter,2.227964517851766,2.4606473233184056,110.44373927871148
9,esol,SVM,InpharmaticaFilter,2.3186604419047514,2.5683146945050885,110.7671760853111
36,esol,Gradient Boosting Regressor,GlaxoFilter,2.227964517851766,2.4680288379957,110.77505131793603
105,esol,SGD,OpreaFilter,2090871350297.0676,2320115080392.026,110.96402846891502
81,esol,MLP,RuleOfTwoFilter,3.293756602304568,3.684384651375483,111.85965134149866
116,esol,SGD,TiceInsecticidesFilter,2090871350297.0676,2346213582279.1733,112.21224021964944
96,esol,SGD,GlaxoFilter,2090871350297.0676,2358092649578.158,112.78037978009141
37,esol,Gradient Boosting Regressor,GSKFilter,2.227964517851766,2.520600773425788,113.1346910253394
32,esol,Gradient Boosting Regressor,BrenkFilter,2.227964517851766,2.5211518796283143,113.15942688617157
10,esol,SVM,LINTFilter,2.3186604419047514,2.661100261123501,114.7688645146091
94,esol,SGD,FAF4LeadlikeFilter,2090871350297.0676,2406072472622.504,115.07510838869418
47,esol,Gradient Boosting Regressor,PfizerFilter,2.227964517851766,2.568252261858176,115.27348130007564
93,esol,SGD,FAF4DruglikeFilter,2090871350297.0676,2446625320530.7627,117.01462742713224
90,esol,SGD,BeyondRo5Filter,2090871350297.0676,2448617942287.944,117.10992844873253
95,esol,SGD,GhoseFilter,2090871350297.0676,2489241079786.919,119.05280922392723
40,esol,Gradient Boosting Regressor,LINTFilter,2.227964517851766,2.6698088683280026,119.83174987464653
20,esol,SVM,RuleOfThreeFilter,2.3186604419047514,2.8769209969312377,124.07685683238215
106,esol,SGD,PAINSFilter,2090871350297.0676,2685658369684.412,128.44684917141544
108,esol,SGD,REOSFilter,2090871350297.0676,2706253222636.485,129.43183817846972
115,esol,SGD,TiceHerbicidesFilter,2090871350297.0676,2743810277331.2603,131.22807756399857
50,esol,Gradient Boosting Regressor,RuleOfThreeFilter,2.227964517851766,3.0145678932383246,135.30592022825448
91,esol,SGD,BMSFilter,2090871350297.0676,2919535773061.7188,139.6324921017697
21,esol,SVM,RuleOfTwoFilter,2.3186604419047514,3.3662651462633404,145.1814627715818
97,esol,SGD,GSKFilter,2090871350297.0676,3082411169776.107,147.4223255934978
92,esol,SGD,BrenkFilter,2090871350297.0676,3141208114243.164,150.2344041299751
118,esol,SGD,ZINCBasicFilter,2090871350297.0676,3146171053625.479,150.47176638478862
101,esol,SGD,LipinskiFilter,2090871350297.0676,3249049167626.269,155.3921128224675
51,esol,Gradient Boosting Regressor,RuleOfTwoFilter,2.227964517851766,3.683776856774388,165.34270753675807
