;Dataset;Model;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1159;lipophilicity;SGD;PfizerFilter, RuleOfTwoFilter;482070154095.9755;2.1405;4.4402935650318243e-10
1113;lipophilicity;SGD;NIBRFilter, ZINCBasicFilter;482070154095.9755;252457382879.1599;52.3694281286906
1085;lipophilicity;SGD;MolecularWeightFilter, PAINSFilter;482070154095.9755;264301451210.7948;54.826346116871385
940;lipophilicity;SGD;GlaxoFilter, LipinskiFilter;482070154095.9755;268547106469.5825;55.70705927090383
1128;lipophilicity;SGD;NIHFilter, ZINCBasicFilter;482070154095.9755;289609737358.7494;60.0762637757265
1170;lipophilicity;SGD;REOSFilter, RuleOfVeberFilter;482070154095.9755;291985677139.5556;60.56912560519646
943;lipophilicity;SGD;GlaxoFilter, NIBRFilter;482070154095.9755;293441221117.892;60.87106173751439
1056;lipophilicity;SGD;LipinskiFilter, RuleOfVeberFilter;482070154095.9755;295071375899.5586;61.20921890568085
1123;lipophilicity;SGD;NIHFilter, RuleOfXuFilter;482070154095.9755;309542269455.5844;64.21104207043639
1082;lipophilicity;SGD;MolecularWeightFilter, NIBRFilter;482070154095.9755;313155483842.8684;64.96056252022652
1080;lipophilicity;SGD;MLSMRFilter, ZINCBasicFilter;482070154095.9755;315970932861.2599;65.544595569041
1092;lipophilicity;SGD;MolecularWeightFilter, RuleOfXuFilter;482070154095.9755;316073792726.3042;65.56593268443184
1558;lipophilicity;SGD;BeyondRo5Filter, MolecularWeightFilter;427781094874.2798;280757720871.3308;65.63116608831031
1091;lipophilicity;SGD;MolecularWeightFilter, RuleOfVeberFilter;482070154095.9755;317376763838.8994;65.83621930174768
1616;lipophilicity;SGD;BrenkFilter, NIBRFilter;427781094874.2798;283451257745.6088;66.26081917643229
1580;lipophilicity;SGD;BMSFilter, GlaxoFilter;427781094874.2798;283676424284.3564;66.3134551020133
1122;lipophilicity;SGD;NIHFilter, RuleOfVeberFilter;482070154095.9755;331578621971.3174;68.78223411136615
1217;lipophilicity;SGD;SureChEMBLFilter, ZINCBasicFilter;482070154095.9755;331639308393.2678;68.79482282307848
1108;lipophilicity;SGD;NIBRFilter, RuleOfXuFilter;482070154095.9755;331976925350.637;68.86485764155887
954;lipophilicity;SGD;GlaxoFilter, SureChEMBLFilter;482070154095.9755;338193428876.1745;70.15440097310888
942;lipophilicity;SGD;GlaxoFilter, MolecularWeightFilter;482070154095.9755;341007376008.8106;70.73812247271367
1116;lipophilicity;SGD;NIHFilter, PAINSFilter;482070154095.9755;343779238375.0928;71.31311396362648
1098;lipophilicity;SGD;MolecularWeightFilter, ZINCDruglikeFilter;482070154095.9755;345487407334.1236;71.6674542903439
1570;lipophilicity;SGD;BeyondRo5Filter, SureChEMBLFilter;427781094874.2798;310180102212.6186;72.50907202988414
1559;lipophilicity;SGD;BeyondRo5Filter, NIBRFilter;427781094874.2798;315790811055.0672;73.82065613438917
1046;lipophilicity;SGD;LipinskiFilter, MolecularWeightFilter;482070154095.9755;357743623610.8581;74.20986770727042
1212;lipophilicity;SGD;RuleOfXuFilter, ZINCBasicFilter;482070154095.9755;368080521713.3189;76.3541402814242
1083;lipophilicity;SGD;MolecularWeightFilter, NIHFilter;482070154095.9755;370483676140.659;76.8526474814492
1150;lipophilicity;SGD;PAINSFilter, RuleOfXuFilter;482070154095.9755;377571625687.8968;78.32296243187996
1062;lipophilicity;SGD;LipinskiFilter, ZINCBasicFilter;482070154095.9755;379309216570.8862;78.6834060038841
1101;lipophilicity;SGD;NIBRFilter, PAINSFilter;482070154095.9755;385829467162.4795;80.0359582281181
1597;lipophilicity;SGD;BMSFilter, RuleOfVeberFilter;427781094874.2798;343435348747.6151;80.28296548461242
1107;lipophilicity;SGD;NIBRFilter, RuleOfVeberFilter;482070154095.9755;389651211461.7019;80.82873584912417
