Dataset,Model,Filter type,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bace,LogisticRegression,RuleOfThreeFilter,ROC-AUC,0.38653330434152355,0.5499999999999999,142.29045565347832,-0.483333333,0.9213483146067416,-0.991157498,0.5049019607843137,-0.813727622,0.5490196078431373,0.4564760455171414,-0.375504272,0.7239648682559598,0.4969777973025713,None
bace,LogisticRegression,RuleOfTwoFilter,ROC-AUC,0.38653330434152355,0.5916666666666667,153.0700356272267,-0.416666667,0.8529411764705882,-0.991157498,0.5049019607843137,-0.863013699,0.5367647058823529,0.286390761,-0.33303747,0.753475936,0.32063829063423926,None
bace,LogisticRegression,RuleOfVeberFilter,ROC-AUC,0.38653330434152355,0.3547182975754404,91.76914216479187,-0.704866562,0.6270718232044199,-0.991157498,0.5049019607843137,-1.040443575,0.49264705882352944,0.29733516948128824,-3.503368101,0.2096069868995633,0.25537809647979137,None
bace,LogisticRegression,RuleOfXuFilter,ROC-AUC,0.38653330434152355,0.5147509578544062,133.17117880212342,-0.647413793,0.6020408163265306,-0.991157498,0.5049019607843137,-0.823584837,0.5465686274509803,0.4658017443405571,-0.564432115,0.6736842105263158,0.5124393159114049,None
bace,LogisticRegression,SureChEMBLFilter,ROC-AUC,0.38653330434152355,0.4783980152401205,123.76631194952074,-0.97682084,0.5059523809523809,-0.991157498,0.5049019607843137,-0.892585345,0.5294117647058824,0.45594452900388976,-0.527777778,0.696969697,0.479759718,None
bace,LogisticRegression,TiceHerbicidesFilter,ROC-AUC,0.38653330434152355,0.4073170731707317,105.37696715800833,-0.744625113,0.5898617511520737,-0.991157498,0.5049019607843137,-0.813727622,0.5490196078431373,0.456234447,-0.709854963,0.6624869383490073,0.3429240742994325,None
bace,LogisticRegression,TiceInsecticidesFilter,ROC-AUC,0.38653330434152355,0.45253991291727136,117.07656438251625,-0.507619739,0.7292418772563177,-0.991157498,0.5049019607843137,-0.665869392,0.5857843137254902,0.591626199,-0.676121415,0.5835866261398176,0.595630549,None
bace,LogisticRegression,ValenceDiscoveryFilter,ROC-AUC,0.38653330434152355,0.46039377289377287,119.10843586377993,-1.238095238,0.44680851063829785,-0.991157498,0.5049019607843137,-0.951728637,0.5147058823529411,0.4417385421951632,-0.792109136,0.7015468607825296,0.35305800819313526,None
bace,LogisticRegression,ZINCBasicFilter,ROC-AUC,0.38653330434152355,0.4221276595744681,109.20861277234081,-0.650476889,0.6105263157894737,-0.991157498,0.5049019607843137,-0.853156483,0.5392156862745098,0.3814838974656326,-1.866608161,0.3237410071942446,0.21050899517332167,None
bace,LogisticRegression,ZINCDruglikeFilter,ROC-AUC,0.38653330434152355,0.37544240669240664,97.13067476345648,-0.625402188,0.6377245508982036,-0.991157498,0.5049019607843137,-0.892585345,0.5294117647058824,0.3388417771979416,-1.1805752,0.4594594594594595,0.3085219236209335,None
bace,GradientBoostingClassifier,BeyondRo5Filter,ROC-AUC,0.40284119736174534,0.5013060397675783,124.44259501031445,-0.844634575,0.5473145780051151,-0.863013699,0.5367647058823529,-0.922156991,0.5220588235294118,0.5075137107100578,-4.558333333,0.20689655172413793,0.4023148148148148,None
bace,GradientBoostingClassifier,BMSFilter,ROC-AUC,0.40284119736174534,0.4590120663650075,113.94367541630098,-0.491553544,0.6598240469208211,-0.863013699,0.5367647058823529,-0.646154961,0.5906862745098039,0.5972071223212775,-0.617623254,0.5976331360946746,0.7678854206988774,None
bace,GradientBoostingClassifier,BrenkFilter,ROC-AUC,0.40284119736174534,0.4806682883113559,119.31954612867537,-0.81385226,0.5573122529644269,-0.863013699,0.5367647058823529,-0.675726607,0.5833333333333334,0.6351018337319707,-0.338835837,0.7212903225806452,0.6333637250667818,None
bace,GradientBoostingClassifier,FAF4DruglikeFilter,ROC-AUC,0.40284119736174534,0.47475506712974963,117.85166716785093,-0.604478772,0.636986301,-0.863013699,0.5367647058823529,-0.744727115,0.5661764705882353,0.5807905100142543,-0.416778281,0.6718480138169257,0.6771391407376879,None
bace,GradientBoostingClassifier,FAF4LeadlikeFilter,ROC-AUC,0.40284119736174534,0.35222381635581057,87.43490454,-0.606886657,0.69375,-0.863013699,0.5367647058823529,-0.823584837,0.5465686274509803,0.6099997584015848,-0.392312011,0.7080645161290322,0.6443010058964203,None
bace,GradientBoostingClassifier,GhoseFilter,ROC-AUC,0.40284119736174534,0.44511763317334174,110.49456611897438,-0.495003541,0.696,-0.863013699,0.5367647058823529,-0.734869899,0.5686274509803921,0.6238433475876398,-0.503977766,0.6531645569620254,0.6616154247003647,None
bace,GradientBoostingClassifier,GlaxoFilter,ROC-AUC,0.40284119736174534,0.5215977377165075,129.47974068504234,-0.62212796,0.6317280453257791,-0.863013699,0.5367647058823529,-0.863013699,0.5367647058823529,0.5249450363605614,-1.373099165,0.4223826714801444,0.6618119511672735,None
bace,GradientBoostingClassifier,GSKFilter,ROC-AUC,0.40284119736174534,0.5177362265312404,128.52117159862402,-0.520467836,0.6761133603238867,-0.863013699,0.5367647058823529,-0.803870407,0.5514705882352942,0.4779420647000556,-0.458920385,0.6786600496277916,0.4749629598568713,None
bace,GradientBoostingClassifier,HaoFilter,ROC-AUC,0.40284119736174534,0.5179457364341086,128.57317966141412,-0.406976744,0.76,-0.863013699,0.5367647058823529,-0.843299268,0.5416666666666666,0.5856587180788094,-0.983385236,0.5045180722891566,0.4968858665552963,None
bace,GradientBoostingClassifier,InpharmaticaFilter,ROC-AUC,0.40284119736174534,0.4764624204962824,118.27549506274212,-0.775956284,0.5737704918032787,-0.863013699,0.5367647058823529,-0.892585345,0.5294117647058824,0.509446498,-0.617418561,0.6395348837209303,0.4041776908946899,None
bace,GradientBoostingClassifier,LINTFilter,ROC-AUC,0.40284119736174534,0.498070988,123.63953610411417,-0.93452381,0.5185185185185185,-0.863013699,0.5367647058823529,-0.843299268,0.5416666666666666,0.6155323621077046,-0.387307961,0.7337192474674384,0.631470409,None
bace,GradientBoostingClassifier,LipinskiFilter,ROC-AUC,0.40284119736174534,0.35281186740890685,87.58088043614048,-0.553801872,0.6506666666666666,-0.863013699,0.5367647058823529,-0.872870914,0.5343137254901961,0.40999251044913143,-3.347370626,0.2469879518072289,0.43798449612403095,None
bace,GradientBoostingClassifier,MLSMRFilter,ROC-AUC,0.40284119736174534,0.4337318087318087,107.66818576957115,-0.481288981,0.715,-0.863013699,0.5367647058823529,-0.75458433,0.5637254901960784,0.5282186948853616,-0.379044189,0.697786333,0.5639123487788176,None
bace,GradientBoostingClassifier,MolecularWeightFilter,ROC-AUC,0.40284119736174534,0.3893017990303448,96.63902341168885,-0.82851377,0.5492610837438424,-0.863013699,0.5367647058823529,-0.912299775,0.5245098039215687,0.4105240269623831,-4.4,0.25,0.44999999999999996,None
bace,GradientBoostingClassifier,NIBRFilter,ROC-AUC,0.40284119736174534,0.5912790919860893,146.77721540359974,-0.767416976,0.5701219512195121,-0.863013699,0.5367647058823529,-0.843299268,0.5416666666666666,0.5487907999323525,-0.896470588,0.5533498759305211,0.40390849673202617,None
bace,GradientBoostingClassifier,NIHFilter,ROC-AUC,0.40284119736174534,0.481447964,119.51309025838586,-0.465837104,0.6656891495601173,-0.863013699,0.5367647058823529,-0.616583315,0.5980392156862745,0.5840158488560315,-0.629517542,0.5946745562130178,0.734824225,None
bace,GradientBoostingClassifier,OpreaFilter,ROC-AUC,0.40284119736174534,0.49144433186986375,121.99455643772058,-0.469773725,0.6862745098039216,-0.863013699,0.5367647058823529,-0.774298761,0.5588235294117647,0.6011934961706651,-0.459779494,0.689892051,0.56353362,None
