Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bbbp,LogisticRegression,BeyondRo5Filter,ROC-AUC,0.8362204343939504,0.823604669758516,98.4913350455759,-0.04216642678181137,0.7442455242966752,0.024135681669927966,0.7573529411764706,-0.015293179676741486,0.7475490196078431,0.8333212534125776,-0.28888888888888853,0.8160919540229885,0.7805555555555557,None
bbbp,LogisticRegression,BMSFilter,ROC-AUC,0.8362204343939504,0.7962292609351432,95.21762781511184,-0.0800904977375565,0.7536656891495601,0.024135681669927966,0.7573529411764706,-0.38001014713343517,0.6568627450980392,0.7621463603198764,-0.7960375831368551,0.5532544378698225,0.6881796107963543,None
bbbp,LogisticRegression,BrenkFilter,ROC-AUC,0.8362204343939504,0.8532838304954551,102.0405380447168,-0.052682114966073224,0.7430830039525692,0.024135681669927966,0.7573529411764706,-0.1434369790534178,0.7156862745098039,0.8175448769056075,0.06405457715501406,0.8051612903225807,0.8337132300014396,None
bbbp,LogisticRegression,FAF4DruglikeFilter,ROC-AUC,0.8362204343939504,0.8022912238867865,95.94255185455327,0.0918044684049556,0.7945205479452054,0.024135681669927966,0.7573529411764706,-0.17300862506341996,0.7083333333333334,0.7743470802831534,0.08282248093962497,0.7875647668393783,0.8196347620028848,None
bbbp,LogisticRegression,FAF4LeadlikeFilter,ROC-AUC,0.8362204343939504,0.7038327526132405,84.16832735298347,-0.24615699938512003,0.7625,0.024135681669927966,0.7573529411764706,-0.7151554685801265,0.5735294117647058,0.6620762967794931,-0.31923486115031374,0.7233870967741935,0.6915561152484965,None
bbbp,LogisticRegression,GhoseFilter,ROC-AUC,0.8362204343939504,0.7620583838224879,91.13127980121517,0.01644503894877658,0.8,0.024135681669927966,0.7573529411764706,-0.1434369790534178,0.7156862745098039,0.7615906839651132,-0.009970470731283543,0.7670886075949367,0.7518672919923571,None
bbbp,LogisticRegression,GlaxoFilter,ROC-AUC,0.8362204343939504,0.7819724284199363,93.5127146213151,-0.1604453870625664,0.7365439093484419,0.024135681669927966,0.7573529411764706,-0.38986736247010256,0.6544117647058824,0.7733565267811844,-0.9281430713214824,0.5306859205776173,0.7534804026558152,None
bbbp,LogisticRegression,GSKFilter,ROC-AUC,0.8362204343939504,0.8177900892582334,97.79599440797277,-0.08333333333333348,0.7692307692307693,0.024135681669927966,0.7573529411764706,-0.2321519170834243,0.6936274509803921,0.7452344712618686,0.07620485295762047,0.7965260545905707,0.7721716705803423,None
bbbp,LogisticRegression,HaoFilter,ROC-AUC,0.8362204343939504,0.7626356589147287,91.20031364307042,-0.04457364341085279,0.8218181818181818,0.024135681669927966,0.7573529411764706,-0.3602957164601004,0.6617647058823529,0.7458626271411659,-0.46493195209863547,0.6340361445783133,0.7455398890533216,None
bbbp,LogisticRegression,InpharmaticaFilter,ROC-AUC,0.8362204343939504,0.8298844396667563,99.24230568082373,0.04371584699453557,0.7704918032786885,0.024135681669927966,0.7573529411764706,-0.03500761035007627,0.7426470588235294,0.8357613974052329,0.07824533611958406,0.7945736434108527,0.8220984512715077,None
