Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
clintox,LogisticRegression,BeyondRo5Filter,ROC-AUC,0.9103202846975089,0.9176470588235295,100.80485673550108,0.07871148459383726,0.9486166007905138,0.01684460260972731,0.9527027027027027,-0.5449584816132858,0.9256756756756757,0.8880189798339264,-4.144230769230769,0.8598130841121495,0.8161057692307692,None
clintox,LogisticRegression,BMSFilter,ROC-AUC,0.9103202846975089,0.8706666666666666,95.64399270263225,0.2688888888888894,0.9702127659574468,0.01684460260972731,0.9527027027027027,0.22752075919335712,0.9628378378378378,0.8818505338078291,-0.44729729729729706,0.954248366013072,0.7596283783783784,None
clintox,LogisticRegression,BrenkFilter,ROC-AUC,0.9103202846975089,0.8136986301369863,89.3859714888558,0.17260273972602724,0.9735099337748344,0.01684460260972731,0.9527027027027027,0.15729537366548052,0.9594594594594594,0.8581257413997627,-0.06082279884675068,0.9265927977839336,0.8189454424484365,None
clintox,LogisticRegression,FAF4DruglikeFilter,ROC-AUC,0.9103202846975089,0.7097505668934241,77.96712638665058,-0.26984126984127,0.8857142857142857,0.01684460260972731,0.9527027027027027,-5.530960854092526,0.6858108108108109,0.6308422301304863,-6.495280185359994,0.7249334516415262,0.6607633227495064,None
clintox,LogisticRegression,FAF4LeadlikeFilter,ROC-AUC,0.9103202846975089,0.6142857142857142,67.48017424327041,-1.6428571428571437,0.8648648648648649,0.01684460260972731,0.9527027027027027,-7.778173190984578,0.5777027027027027,0.5516014234875446,-7.2313397967527155,0.5784996133023975,0.528659035159444,None
clintox,LogisticRegression,GhoseFilter,ROC-AUC,0.9103202846975089,0.7461832061068703,81.96930450196659,-0.28816793893129744,0.9629629629629629,0.01684460260972731,0.9527027027027027,-0.7556346381969155,0.9155405405405406,0.7871886120996441,-0.8001043387531517,0.8718905472636815,0.7635966437701069,None
clintox,LogisticRegression,GlaxoFilter,ROC-AUC,0.9103202846975089,0.9287330316742082,102.02266688837078,0.29713423831070895,0.9656652360515021,0.01684460260972731,0.9527027027027027,0.22752075919335712,0.9628378378378378,0.9243179122182681,-0.039473684210526105,0.9620253164556962,0.8179824561403509,None
clintox,LogisticRegression,GSKFilter,ROC-AUC,0.9103202846975089,0.8559322033898304,94.02539059911742,-0.78954802259887,0.9613259668508287,0.01684460260972731,0.9527027027027027,-0.47473309608540903,0.9290540540540541,0.7833926453143535,-0.3096005504653605,0.8902439024390244,0.7657443957556224,None
clintox,LogisticRegression,HaoFilter,ROC-AUC,0.9103202846975089,0.7807606263982102,85.76768413522167,-1.0402684563758382,0.9605263157894737,0.01684460260972731,0.9527027027027027,-0.5449584816132858,0.9256756756756757,0.7674970344009491,-0.4754498468606432,0.8800557880055788,0.7895290964777948,None
clintox,LogisticRegression,InpharmaticaFilter,ROC-AUC,0.9103202846975089,0.8409090909090908,92.3750799630393,0.23272727272727278,0.9620853080568721,0.01684460260972731,0.9527027027027027,0.15729537366548052,0.9594594594594594,0.8571767497034402,0.04385171790235087,0.9408983451536643,0.7064647377938517,None
clintox,LogisticRegression,LINTFilter,ROC-AUC,0.9103202846975089,0.8293650793650794,91.10695359718034,0.30952380952380987,0.9770114942528736,0.01684460260972731,0.9527027027027027,0.22752075919335712,0.9628378378378378,0.8638196915776987,-0.08348134991119038,0.9229508196721311,0.7943199425569706,None
clintox,LogisticRegression,LipinskiFilter,ROC-AUC,0.9103202846975089,0.8970698722764838,98.54442302959029,-0.23553719008264462,0.9486166007905138,0.01684460260972731,0.9527027027027027,-0.5449584816132858,0.9256756756756757,0.8483985765124555,-0.7232085561497326,0.8207547169811321,0.7671657754010694,None
clintox,LogisticRegression,MLSMRFilter,ROC-AUC,0.9103202846975089,0.8624999999999999,94.7468725566849,0.21999999999999997,0.9711538461538461,0.01684460260972731,0.9527027027027027,0.01684460260972731,0.9527027027027027,0.7440094899169633,-0.04616240266963301,0.9404388714733543,0.7510644010586476,None
clintox,LogisticRegression,MolecularWeightFilter,ROC-AUC,0.9103202846975089,0.9227552275522755,101.36599645902635,0.15571955719557218,0.958041958041958,0.01684460260972731,0.9527027027027027,-0.3342823250296558,0.9358108108108109,0.9027283511269276,-12.27659574468085,0.7291666666666666,0.7659574468085106,None
clintox,LogisticRegression,NIBRFilter,ROC-AUC,0.9103202846975089,0.8773684210526316,96.3801901156331,0.15789473684210498,0.96,0.01684460260972731,0.9527027027027027,-0.2640569395017791,0.9391891891891891,0.8825622775800711,-1.1911269558328375,0.9043659043659044,0.7415824915824916,None
clintox,LogisticRegression,NIHFilter,ROC-AUC,0.9103202846975089,0.8706666666666666,95.64399270263225,0.2688888888888894,0.9702127659574468,0.01684460260972731,0.9527027027027027,0.22752075919335712,0.9628378378378378,0.8818505338078291,-0.44729729729729706,0.954248366013072,0.7596283783783784,None
clintox,LogisticRegression,OpreaFilter,ROC-AUC,0.9103202846975089,0.8625429553264605,94.751591261429,-0.41580756013745734,0.9223300970873787,0.01684460260972731,0.9527027027027027,-0.19383155397390261,0.9425675675675675,0.830367734282325,-0.2013404783357835,0.9178794178794178,0.6825058092663726,None
clintox,LogisticRegression,PAINSFilter,ROC-AUC,0.9103202846975089,0.8939729397293973,98.20422050975786,-0.12570725707257036,0.9440559440559441,0.01684460260972731,0.9527027027027027,-0.1236061684460259,0.9459459459459459,0.8915776986951365,-0.8992248062015513,0.7959183673469388,0.8352713178294573,None
clintox,LogisticRegression,PfizerFilter,ROC-AUC,0.9103202846975089,0.9230769230769231,101.40133517772298,0.16581196581196578,0.9672131147540983,0.01684460260972731,0.9527027027027027,-0.1236061684460259,0.9459459459459459,0.8398576512455516,-0.08906050576502933,0.9331797235023042,0.7924697687498647,None
clintox,LogisticRegression,REOSFilter,ROC-AUC,0.9103202846975089,0.859823399558499,94.45284412663729,-0.386313465783664,0.9490445859872612,0.01684460260972731,0.9527027027027027,-0.6151838671411622,0.9222972972972973,0.8132858837485173,-0.8623486719726767,0.8731988472622478,0.7721160003659319,None
clintox,LogisticRegression,RuleOfFourFilter,ROC-AUC,0.9103202846975089,0.9,98.8663017982799,-1.266666666666667,0.7647058823529411,0.01684460260972731,0.9527027027027027,-3.0028469750889677,0.8074324324324325,0.6837485172004745,-1.409545454545455,0.8774193548387097,0.6830252525252525,None
clintox,LogisticRegression,RuleOfTwoFilter,ROC-AUC,0.9103202846975089,0.9500000000000001,104.35887412040657,-0.03333333333333299,0.967741935483871,0.01684460260972731,0.9527027027027027,-0.053380782918149405,0.9493243243243243,0.47924080664294183,-0.07252215954875108,0.932381667918858,0.536834094368341,None
clintox,LogisticRegression,RuleOfVeberFilter,ROC-AUC,0.9103202846975089,0.8599900348779271,94.47114925750489,-0.27154957648231215,0.9525862068965517,0.01684460260972731,0.9527027027027027,-0.6151838671411622,0.9222972972972973,0.8306049822064057,-0.9831996945399006,0.8459119496855346,0.7644775359551993,None
clintox,LogisticRegression,RuleOfXuFilter,ROC-AUC,0.9103202846975089,0.9397180359747205,103.22938549995952,0.13368983957219238,0.9545454545454546,0.01684460260972731,0.9527027027027027,-0.19383155397390261,0.9425675675675675,0.9046263345195731,-0.47763975155279526,0.9200819672131147,0.7409549689440994,None
clintox,LogisticRegression,SureChEMBLFilter,ROC-AUC,0.9103202846975089,0.8894444444444445,97.70675875249762,0.3666666666666666,0.968421052631579,0.01684460260972731,0.9527027027027027,0.15729537366548052,0.9594594594594594,0.8991696322657177,0.051239440520703394,0.9506641366223909,0.8945783132530121,None
clintox,LogisticRegression,TiceHerbicidesFilter,ROC-AUC,0.9103202846975089,0.7956204379562044,87.40005592873081,-0.36253041362530425,0.9714285714285714,0.01684460260972731,0.9527027027027027,-0.3342823250296558,0.9358108108108109,0.7715302491103202,-0.3783551437577608,0.9051282051282051,0.8007569968478364,None
clintox,LogisticRegression,TiceInsecticidesFilter,ROC-AUC,0.9103202846975089,0.8125,89.25430023455824,-0.031249999999999556,0.9696969696969697,0.01684460260972731,0.9527027027027027,-0.3342823250296558,0.9358108108108109,0.8208778173190986,-0.366930518909411,0.9070904645476773,0.8022097625329815,None
clintox,LogisticRegression,ValenceDiscoveryFilter,ROC-AUC,0.9103202846975089,0.739,81.18021892103205,-0.06400000000000006,0.9398496240601504,0.01684460260972731,0.9527027027027027,-0.3342823250296558,0.9358108108108109,0.7829181494661921,-0.6162581699346399,0.9102091020910209,0.7749183006535948,None
clintox,LogisticRegression,ZINCBasicFilter,ROC-AUC,0.9103202846975089,0.9047131147540983,99.38404427126724,-0.049180327868852514,0.953125,0.01684460260972731,0.9527027027027027,-0.5449584816132858,0.9256756756756757,0.8519572953736655,-1.6666666666666665,0.815,0.7216216216216216,None
clintox,LogisticRegression,ZINCDruglikeFilter,ROC-AUC,0.9103202846975089,0.7703962703962703,84.62914463696323,-0.24475524475524457,0.8651685393258427,0.01684460260972731,0.9527027027027027,-4.688256227758006,0.7263513513513513,0.6533807829181495,-7.699872195399031,0.7707930367504836,0.7032980687304743,None
clintox,GradientBoostingClassifier,BeyondRo5Filter,ROC-AUC,0.9504151838671412,0.9521008403361344,100.17736001040456,0.07871148459383726,0.9486166007905138,0.08706998813760392,0.956081081081081,0.08706998813760392,0.956081081081081,0.944246737841044,-0.028846153846153966,0.9719626168224299,0.9475160256410257,None
