Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bace,LogisticRegression,BeyondRo5Filter;BMSFilter,ROC-AUC,0.7979599141016465,0.8071886446886447,101.15654062615265,-0.11886446886446889,0.7248322147651006,-0.19291338582677198,0.7095709570957096,-0.17935755189692215,0.7128712871287128,0.7949176807444525,-0.23809523809523792,0.8076923076923077,0.8380952380952381,None
bace,LogisticRegression,BeyondRo5Filter;BrenkFilter,ROC-AUC,0.7979599141016465,0.7879130828429154,98.74093534259275,-0.29432624113475203,0.6893617021276596,-0.19291338582677198,0.7095709570957096,-0.3691392269148177,0.6666666666666666,0.7523711524695776,-0.2512787723785168,0.6988304093567251,0.783638817845979,None
bace,LogisticRegression,BeyondRo5Filter;FAF4DruglikeFilter,ROC-AUC,0.7979599141016465,0.8157142857142856,102.22497036491202,-0.17714285714285705,0.7669902912621359,-0.19291338582677198,0.7095709570957096,-1.1282659269864,0.48184818481848185,0.6006621331424482,-0.7251076040172166,0.5688622754491018,0.6257871034592699,None
bace,LogisticRegression,BeyondRo5Filter;FAF4LeadlikeFilter,ROC-AUC,0.7979599141016465,0.7760617760617761,97.25573457351882,-0.11969111969111967,0.7413793103448276,-0.19291338582677198,0.7095709570957096,-1.2773801002147462,0.44554455445544555,0.606254473872584,-0.6344840100764269,0.5918367346938775,0.6787992079757483,None
bace,LogisticRegression,BeyondRo5Filter;GhoseFilter,ROC-AUC,0.7979599141016465,0.7021978021978023,87.99913251135499,-0.625274725274725,0.6091954022988506,-0.19291338582677198,0.7095709570957096,-1.385826771653544,0.41914191419141916,0.5247852541159628,-0.8355890205325227,0.5425138632162662,0.6143905874611438,None
bace,LogisticRegression,BeyondRo5Filter;GlaxoFilter,ROC-AUC,0.7979599141016465,0.7424242424242423,93.04029304029302,-0.27923976608187107,0.6857142857142857,-0.19291338582677198,0.7095709570957096,-0.43691839656406617,0.6501650165016502,0.6742125984251968,-0.6535470001954276,0.5881435257410297,0.6396032831737346,None
bace,LogisticRegression,BeyondRo5Filter;GSKFilter,ROC-AUC,0.7979599141016465,0.725925925925926,90.97273097273097,-0.523232323232323,0.6282051282051282,-0.19291338582677198,0.7095709570957096,-1.3722709377236941,0.42244224422442245,0.5251879026485327,-0.7396248763553652,0.5652173913043478,0.6050947889693236,None
bace,LogisticRegression,BeyondRo5Filter;HaoFilter,ROC-AUC,0.7979599141016465,0.7851851851851851,98.39907635826,-0.46296296296296346,0.6835443037974683,-0.19291338582677198,0.7095709570957096,-0.992707587687903,0.5148514851485149,0.615336435218325,-0.6876472739414563,0.5784313725490197,0.6061898780468415,None
bace,LogisticRegression,BeyondRo5Filter;InpharmaticaFilter,ROC-AUC,0.7979599141016465,0.7842105263157896,98.27693251968226,-0.23310696095076433,0.6988847583643123,-0.19291338582677198,0.7095709570957096,-0.20646921975662158,0.7062706270627063,0.7837777380100215,-0.13236961451247176,0.7235294117647059,0.7718962585034014,None
bace,LogisticRegression,BeyondRo5Filter;LINTFilter,ROC-AUC,0.7979599141016465,0.7671419489601308,96.13790560191097,-0.5184815184815186,0.6545454545454545,-0.19291338582677198,0.7095709570957096,-0.38269506084466753,0.6633663366336634,0.7651664280601289,-0.10641523737325853,0.7314148681055156,0.7884961622287501,None
bace,LogisticRegression,BeyondRo5Filter;LipinskiFilter,ROC-AUC,0.7979599141016465,0.7834033613445378,98.17577894580123,-0.24553571428571397,0.6953405017921147,-0.19291338582677198,0.7095709570957096,-0.233580887616321,0.6996699669966997,0.7772906227630637,-0.5127118644067798,0.6218487394957983,0.6802259887005648,None
bace,LogisticRegression,BeyondRo5Filter;MLSMRFilter,ROC-AUC,0.7979599141016465,0.7912234042553192,99.15578342630015,-0.3656914893617027,0.6708860759493671,-0.19291338582677198,0.7095709570957096,-1.11471009305655,0.48514851485148514,0.557444523979957,-0.8848514569050341,0.5295169946332737,0.6025154088020077,None
bace,LogisticRegression,BeyondRo5Filter;MolecularWeightFilter,ROC-AUC,0.7979599141016465,0.8041576479076478,100.77669738748453,-0.13636363636363602,0.72,-0.19291338582677198,0.7095709570957096,-0.19291338582677198,0.7095709570957096,0.7951413743736577,-0.36363636363636354,0.7333333333333333,0.7954545454545454,None
bace,LogisticRegression,BeyondRo5Filter;NIBRFilter,ROC-AUC,0.7979599141016465,0.8045892295597484,100.83078301816269,-0.07173742138364769,0.735191637630662,-0.19291338582677198,0.7095709570957096,-0.15224588403722294,0.7194719471947195,0.7821224051539012,-0.20745341614906843,0.7037037037037037,0.7018633540372671,None
bace,LogisticRegression,BeyondRo5Filter;NIHFilter,ROC-AUC,0.7979599141016465,0.8071886446886447,101.15654062615265,-0.11886446886446889,0.7248322147651006,-0.19291338582677198,0.7095709570957096,-0.17935755189692215,0.7128712871287128,0.7949176807444525,-0.23809523809523792,0.8076923076923077,0.8380952380952381,None
bace,LogisticRegression,BeyondRo5Filter;OpreaFilter,ROC-AUC,0.7979599141016465,0.8533834586466166,106.9456552347453,0.022556390977443663,0.8076923076923077,-0.19291338582677198,0.7095709570957096,-1.033375089477452,0.504950495049505,0.5982462419470292,-0.6890689008539161,0.5777331995987964,0.6157817643318766,None
bace,LogisticRegression,BeyondRo5Filter;PAINSFilter,ROC-AUC,0.7979599141016465,0.8021683904917438,100.52740448683257,-0.13935764833968411,0.7190635451505016,-0.19291338582677198,0.7095709570957096,-0.17935755189692215,0.7128712871287128,0.7945597709377237,0.0,0.7777777777777778,0.7916666666666667,None
bace,LogisticRegression,BeyondRo5Filter;PfizerFilter,ROC-AUC,0.7979599141016465,0.7661574618096357,96.01453008728961,-0.5777516647081864,0.6415094339622641,-0.19291338582677198,0.7095709570957096,-0.39625089477451714,0.6600660066006601,0.7729062276306371,0.09086509376890506,0.7758620689655172,0.8248805724179652,None
bace,LogisticRegression,BeyondRo5Filter;REOSFilter,ROC-AUC,0.7979599141016465,0.7044745057232049,88.28444803725654,-0.29032258064516125,0.6903225806451613,-0.19291338582677198,0.7095709570957096,-0.6944792412312102,0.5874587458745875,0.6781943450250538,-0.5637908564107474,0.6121621621621621,0.6889537666315688,None
bace,LogisticRegression,BeyondRo5Filter;RuleOfFourFilter,ROC-AUC,0.7979599141016465,0.463235294117647,58.05245174993073,-1.5147058823529416,0.7631578947368421,-0.19291338582677198,0.7095709570957096,-0.4640300644237656,0.6435643564356436,0.6311292054402291,-0.7016351853133145,0.5810097965335342,0.6441580756013745,None
bace,LogisticRegression,BeyondRo5Filter;RuleOfVeberFilter,ROC-AUC,0.7979599141016465,0.7777152051488334,97.4629416095914,-0.20201126307320982,0.6995515695067265,-0.19291338582677198,0.7095709570957096,-0.43691839656406617,0.6501650165016502,0.7496868289191124,-0.49954291518537364,0.6290726817042607,0.7216226510919248,None
bace,LogisticRegression,BeyondRo5Filter;RuleOfXuFilter,ROC-AUC,0.7979599141016465,0.7794980773122849,97.68637039742202,-0.2645213519530458,0.6901408450704225,-0.19291338582677198,0.7095709570957096,-0.3284717251252687,0.6765676567656765,0.7682981388690051,-0.34871339840283966,0.6631578947368421,0.7298136645962733,None
bace,LogisticRegression,BeyondRo5Filter;SureChEMBLFilter,ROC-AUC,0.7979599141016465,0.7507369800196528,94.08204181094011,-0.20848345889289233,0.7006369426751592,-0.19291338582677198,0.7095709570957096,-0.5182534001431642,0.6303630363036303,0.6679044380816034,-0.5536569569539416,0.6117969821673526,0.6834729041780884,None
bace,LogisticRegression,BeyondRo5Filter;TiceHerbicidesFilter,ROC-AUC,0.7979599141016465,0.8148880105401844,102.12142190846716,-0.04216073781291141,0.7522123893805309,-0.19291338582677198,0.7095709570957096,-0.4640300644237656,0.6435643564356436,0.7406048675733715,-0.10089910089910092,0.7252631578947368,0.7839027639027638,None
bace,LogisticRegression,BeyondRo5Filter;TiceInsecticidesFilter,ROC-AUC,0.7979599141016465,0.7409698169223157,92.85802504960529,-0.21746660069272594,0.7218045112781954,-0.19291338582677198,0.7095709570957096,-0.8300375805297069,0.5544554455445545,0.6195866141732282,-0.7705978814873911,0.5576470588235294,0.6137454017639499,None
bace,LogisticRegression,BeyondRo5Filter;ValenceDiscoveryFilter,ROC-AUC,0.7979599141016465,0.7316095132743362,91.6849957429242,-0.1992533185840708,0.7231638418079096,-0.19291338582677198,0.7095709570957096,-0.38269506084466753,0.6633663366336634,0.7328203292770221,-0.2484132543675308,0.7027027027027027,0.7385584495531639,None
bace,LogisticRegression,BeyondRo5Filter;ZINCBasicFilter,ROC-AUC,0.7979599141016465,0.7512560929883764,94.14709682931255,-0.3048368953880767,0.6767241379310345,-0.19291338582677198,0.7095709570957096,-0.43691839656406617,0.6501650165016502,0.7506710808876162,-0.5200084468377151,0.655367231638418,0.6853376975328195,None
bace,LogisticRegression,BeyondRo5Filter;ZINCDruglikeFilter,ROC-AUC,0.7979599141016465,0.7969591384225531,99.87458321384224,-0.08394044979410786,0.7542372881355932,-0.19291338582677198,0.7095709570957096,-0.8300375805297069,0.5544554455445545,0.6271921975662134,-0.580153136203233,0.6054054054054054,0.6848539309015004,None
bace,LogisticRegression,BMSFilter;BrenkFilter,ROC-AUC,0.7979599141016465,0.7858654572940288,98.48432777212453,-0.3435374149659862,0.6835443037974683,-0.19291338582677198,0.7095709570957096,-0.3555833929849681,0.66996699669967,0.7631084466714387,-0.23880597014925375,0.7018072289156626,0.7925146992311172,None
bace,LogisticRegression,BMSFilter;FAF4DruglikeFilter,ROC-AUC,0.7979599141016465,0.8157142857142856,102.22497036491202,-0.17714285714285705,0.7669902912621359,-0.19291338582677198,0.7095709570957096,-1.1282659269864,0.48184818481848185,0.6006621331424482,-0.7251076040172166,0.5688622754491018,0.6257871034592699,None
bace,LogisticRegression,BMSFilter;FAF4LeadlikeFilter,ROC-AUC,0.7979599141016465,0.7760617760617761,97.25573457351882,-0.11969111969111967,0.7413793103448276,-0.19291338582677198,0.7095709570957096,-1.2773801002147462,0.44554455445544555,0.606254473872584,-0.6344840100764269,0.5918367346938775,0.6787992079757483,None
bace,LogisticRegression,BMSFilter;GhoseFilter,ROC-AUC,0.7979599141016465,0.7021978021978023,87.99913251135499,-0.625274725274725,0.6091954022988506,-0.19291338582677198,0.7095709570957096,-1.385826771653544,0.41914191419141916,0.5247852541159628,-0.8355890205325227,0.5425138632162662,0.6143905874611438,None
bace,LogisticRegression,BMSFilter;GlaxoFilter,ROC-AUC,0.7979599141016465,0.7477582846003897,93.70875295687323,-0.28083170890188414,0.6818181818181818,-0.19291338582677198,0.7095709570957096,-0.4640300644237656,0.6435643564356436,0.6823103078024337,-0.6307333970377453,0.5937007874015748,0.6446388756171365,None
