Dataset,Model,Filters,Baseline RMSE,Filtered RMSE,Mixed RMSE,Rest RMSE,Improvement (%)
esol,SVM,BeyondRo5Filter,2.3186604419047514,2.3438248324199855,2.335793753194223,2.985723793321455,-1.0852986517750685
esol,SVM,BMSFilter,2.3186604419047514,2.125648563999311,2.445630372850931,2.7424661264266246,8.324283901910345
esol,SVM,BrenkFilter,2.3186604419047514,2.142686148345368,2.3986869471064045,2.1554585722209247,7.589480994242637
esol,SVM,FAF4DruglikeFilter,2.3186604419047514,1.5453956902331005,2.2806709583043654,2.5985089235905727,33.34963316303543
esol,SVM,FAF4LeadlikeFilter,2.3186604419047514,1.1113014848989047,2.241911473696424,2.3343321855662613,52.07140015784355
esol,SVM,GhoseFilter,2.3186604419047514,1.296776448499738,2.1500607736063024,2.6049318634679355,44.07217093700655
esol,SVM,GlaxoFilter,2.3186604419047514,2.404199560940016,2.419182622622831,2.2336224573295005,-3.689161098767668
esol,SVM,GSKFilter,2.3186604419047514,1.5363524565568647,2.503082987159042,3.9407495930520167,33.73965291378457
esol,SVM,HaoFilter,2.3186604419047514,1.8632542771743053,2.3614472931651993,3.7281552213876523,19.640916647386952
esol,SVM,InpharmaticaFilter,2.3186604419047514,2.1190072212605577,2.5683146945050885,2.763833410816754,8.610714058682134
esol,SVM,LINTFilter,2.3186604419047514,2.2110353064667216,2.661100261123501,2.77140280486839,4.641694553154019
esol,SVM,LipinskiFilter,2.3186604419047514,2.2969887788356345,2.343323208704973,3.0935573573336557,0.9346630786228438
esol,SVM,MLSMRFilter,2.3186604419047514,1.9259713291372282,2.3956183586914803,2.231557729837043,16.9360336541962
esol,SVM,NIBRFilter,2.3186604419047514,1.877063364895189,2.374195321112319,2.868025515660019,19.045353473438986
esol,SVM,NIHFilter,2.3186604419047514,2.125648563999311,2.445630372850931,2.7424661264266246,8.324283901910345
esol,SVM,OpreaFilter,2.3186604419047514,1.5257828971186378,2.0868327180815927,2.26304640002693,34.19550057682332
esol,SVM,PAINSFilter,2.3186604419047514,2.331169631740813,2.3327662054354192,2.137959106023468,-0.5395007224854975
esol,SVM,PfizerFilter,2.3186604419047514,1.178327474715234,2.368273513639453,2.178641194763535,49.18067978305386
esol,SVM,REOSFilter,2.3186604419047514,1.4226351497620433,2.038476864540298,2.47940018583277,38.644092767918806
esol,SVM,RuleOfFourFilter,2.3186604419047514,0.3849139220808695,2.1151654636034003,2.4433210054602705,83.39929749417439
esol,SVM,RuleOfThreeFilter,2.3186604419047514,1.3620434509191692,2.8769209969312377,3.253235655903327,41.257312787021675
esol,SVM,RuleOfTwoFilter,2.3186604419047514,1.071573813106293,3.3662651462633404,3.329340931535113,53.78478910754141
esol,SVM,RuleOfVeberFilter,2.3186604419047514,2.420665131161525,2.4536666678600554,3.4347573857039415,-4.399293980837382
esol,SVM,RuleOfXuFilter,2.3186604419047514,1.6789683306863274,2.1263458482853217,2.4137684137520634,27.588865521547635
esol,SVM,SureChEMBLFilter,2.3186604419047514,2.081572046106059,2.4542595066887847,2.533527597814263,10.225231410077761
esol,SVM,TiceHerbicidesFilter,2.3186604419047514,1.0255358401631682,2.232863495422391,2.5092681923188107,55.770330936396064
esol,SVM,TiceInsecticidesFilter,2.3186604419047514,1.3041555742527817,2.1043405005728,2.607581170598525,43.753921415874345
esol,SVM,ValenceDiscoveryFilter,2.3186604419047514,1.3973222285909728,2.0724416342466854,2.3322948290697654,39.7357973018641
esol,SVM,ZINCBasicFilter,2.3186604419047514,2.3698936403624584,2.4099848409564704,3.1735321948873745,-2.209603335261101
